ODC_0	ODC_1	ODC_2	ODC_5	ODC_6	IBD-AP_0	PSO-AP_0	RA_AP_0	RA_AP_2	CTR_0	MP-ST_0	MP-ST_2	MP-ST_3	MP-ST_5	MP-ST_6	MP-TA_0	BRE-ST_0	BRE-ST_1	COL_0	COL_2	MM-ST_0	UM-ST_0	UM-ST_1
Signaling by moderate kinase activity BRAF mutants	0.000183993818057256	0.000453148867090669	0.000175945219062124	0.000253504156405255	0.000342101849958623	0.00118173592190455	0.00697398759694691	4.6055629592276e-05	3.41413649305622e-05	5.08852625176221e-09	0.000162881226038539	3.82503020878821e-05	6.15489887118313e-05	2.41934845319354e-05	3.00729320931864e-05	4.11591042126367e-05	1.29068052898313e-09	5.96094223078031e-08	2.06251883395085e-06	2.35968784685208e-08	1.23103483144438e-09	3.38859206236151e-06	2.03104208519841e-07
Oncogenic MAPK signaling	4.32760257085863e-05	0.00941165620696198	0.00699860428911952	0.0050935826034124	0.000549967630367865	0.00184070765025583	0.0103674078013426	6.76123658519155e-07	1.40942962487013e-06	2.68732795147857e-10	2.43931307766135e-05	3.34340009983316e-05	5.75289333492871e-06	0.000133518088612618	8.51868421509566e-06	9.44262716873192e-06	4.38808372596111e-09	6.81730051914438e-09	3.10611744569466e-07	2.69969056890876e-08	2.08745300837275e-10	3.26526658849361e-07	5.78846796138355e-10
Signaling by BRAF and RAF1 fusions	6.13117559020414e-05	0.151838004463322	0.161842982760058	0.100164230398207	0.121030465877241	0.00149055047400391	0.00642700043947517	2.39835344086074e-07	8.75546112506773e-06	5.1059499595398e-08	2.35338505905444e-05	8.60267088228888e-05	3.88519750242717e-05	0.000108848815402909	1.63874284853828e-05	2.54411434668754e-05	8.60109163863386e-09	2.87693476148125e-08	1.95060603251303e-06	9.90500752092197e-09	5.33037785073363e-11	1.01451430012701e-06	3.48072870548917e-09
Signaling by BRAF and RAF fusions	3.75598278873841e-05	0.202236411781201	0.134907278115575	0.107957832323063	0.119592005144167	0.00108304340119804	0.0087434433274824	9.71333943170577e-07	1.67216192925792e-06	6.3009626827173e-09	2.90386553640914e-05	3.47307590976169e-05	0.000106759726780796	0.000329542222535628	0.000149464966484407	5.15899113212436e-06	9.9427388373361e-09	2.86446940033696e-08	8.04802185464302e-07	4.39732017400601e-07	1.36817674268227e-09	5.8367152014328e-07	8.98777878537104e-09
Signaling by RAF1 mutants	8.89473920309801e-05	0.000411900859397672	0.000277664716399967	0.000210593058837449	0.000225357012588117	0.00148339844936636	0.00906615258305064	7.24294352133382e-07	1.23146890792851e-05	7.46919882948393e-08	6.14344218425173e-05	7.39565679268958e-05	0.000144891936440847	0.000253062018841951	5.44411629484469e-05	5.14796373106554e-05	3.09998675989557e-08	1.53378569961694e-07	2.03219496169104e-06	1.65072704739401e-07	2.97189764238168e-09	6.58968207769279e-07	2.7441962918857e-08
Signaling by RAS mutants	6.35977524890797e-05	0.000335164318471287	0.000451989312142472	0.000365793445752204	0.000289969772082565	0.00114623711078843	0.0111756348533577	5.15693997786403e-06	3.5374779053171e-05	6.95631339403945e-09	6.63898371842147e-05	6.71591106247009e-05	3.87952455032089e-05	0.000441523293245012	3.16931519527309e-05	6.38979914569331e-05	5.37065349191794e-08	6.73073933406618e-08	3.352289615845e-06	7.22257045779459e-08	8.70308717684127e-09	1.38740069591322e-06	5.05415815427638e-08
Signaling by high-kinase activity BRAF mutants	8.71426869424401e-05	0.00086964220729995	0.000505886661458433	0.000259495924360081	0.000388152986046016	0.00304574690482896	0.0144916344923847	7.84888058865979e-06	9.77014270628386e-07	4.06146622011019e-08	0.000129754067171794	0.000394826248179392	0.000142038443275737	0.000560172584912225	0.000108470833105513	3.23430582644306e-06	6.54081474282366e-08	4.84918976840577e-07	2.59181415941288e-06	2.40542025905079e-08	1.74942573639916e-09	3.94840520834094e-06	6.67579093402857e-07
MAP2K and MAPK activation	9.34297654995283e-05	0.00035212764074375	0.00047187233142319	0.000628897994313097	0.000748277720011726	0.00529820976967307	0.0270104869079838	1.73104535718787e-06	2.06506778744384e-05	7.18944965407871e-08	0.000181708344844003	0.000152289043544782	0.000248925286155282	0.000262730013044783	5.19639049778533e-05	2.46782043314389e-05	9.13294746431416e-08	2.99537335306768e-07	5.44937255928674e-06	1.94565254145219e-08	1.19186794387674e-09	4.23300141321488e-06	8.54799529417946e-08
Signaling downstream of RAS mutants	0.000119930096225307	0.000512826584307528	0.0010272987066175	0.000213792824245938	0.000171938866410238	0.00113604277449933	0.00722241622621798	1.53244536953207e-05	6.22192930192016e-05	3.68752262762864e-09	0.00013092324830342	0.000135514853560688	0.000201006562980591	0.000173622947768026	1.07509635687609e-05	7.82161815815051e-05	1.14815227312036e-07	4.34797983205779e-08	5.98882379554375e-07	5.91051309010338e-08	1.94849772035877e-08	1.66706007251791e-07	2.45355794248497e-07
EPH-Ephrin signaling	0.00100000472164031	0.00235866346399728	0.00307319862370474	0.00184199608496023	0.00443989133567767	0.000823573058988772	0.00236062236289495	0.000972668678797784	0.00157347426117498	7.27794095621813e-09	0.000568196877245587	2.73150615047881e-06	4.28215150994594e-07	1.247741612478e-06	6.4274737177983e-07	0.00182794145003019	1.58192465367186e-07	1.87018217584225e-08	1.93950721408504e-05	2.03814821939029e-07	6.77734997648011e-08	2.30294516817992e-06	1.66832693302309e-08
Paradoxical activation of RAF signaling by kinase inactive BRAF	7.53538506519825e-05	0.0005071073549547	0.000609664675479236	0.000216232266133768	0.000309279169963479	0.0010137517749977	0.009009686744337	1.3546354356603e-05	2.45305309767691e-05	6.19302640463077e-08	6.53853708993538e-05	5.26070739665622e-05	0.000100514745919829	0.000232010275971121	1.43929955820166e-05	2.19536794503746e-05	2.58919281027045e-07	6.66922531706518e-08	9.48352736329931e-07	4.03080150943959e-08	8.13846999319814e-10	2.685284285127e-06	7.02174200878996e-08
VEGFA-VEGFR2 Pathway	0.000104474313924714	0.000212361170504929	7.80279211505751e-05	6.12713544255731e-05	5.53740981776764e-05	2.96162903517211e-05	1.68877811374098e-05	2.0987059857423e-07	1.04886134916976e-06	4.91295872197532e-10	1.21494457574066e-05	7.06417037745594e-06	8.23588719951649e-06	5.60624063539551e-07	7.12201576414697e-07	1.83125647214529e-05	4.89573754066818e-07	2.68402711357499e-10	1.06925260635551e-07	4.9230716485722e-10	9.32063469656201e-09	1.19928463713004e-05	2.19599858557055e-09
Extra-nuclear estrogen signaling	0.00171608279209891	0.00191787991231926	0.00381606584983226	0.00289647602716603	0.00226199204569874	0.00262585837598512	0.00388998403098938	0.000606672566021701	0.000120093080947048	4.45886847818714e-07	9.11327057636929e-05	0.000848203686182796	0.000173945880266362	0.000537642070418789	0.000141671831488284	0.000450634549803625	5.36350612059274e-07	3.20188358403376e-06	0.000521319890424566	1.28532894967679e-05	4.41824952764603e-06	3.13129880134533e-05	5.2157276557442e-06
IRS-related events triggered by IGF1R	0.00180651567417713	0.000576084175019484	0.000470696183374515	0.000612710661011705	0.000406095814070247	0.00025179338631359	7.06542076089239e-06	9.70098057252234e-05	5.69206071450689e-06	2.10414397905337e-06	0.000530110219180813	0.000240033771296314	1.97682790454778e-05	0.00050716685996271	2.87861980664661e-05	4.30500738088561e-05	7.01768273133525e-07	3.06440063894018e-06	0.00583650078362479	0.000100194450476502	0.000627361376721936	0.000106533221323853	7.3633468606084e-06
IGF1R signaling cascade	0.000491655388308901	0.00137207142287822	0.00127536690716115	0.00108537514300711	0.000964251315342315	0.000138204492330649	4.67379271695801e-06	1.08830541881108e-05	4.09559282225927e-06	1.38164197932047e-06	0.000673509335228598	3.46496099881729e-06	1.12919043277667e-05	0.000154755371381824	0.000214172358863059	1.81798799306507e-05	1.18595549530544e-06	2.56999004018154e-06	0.00941698411149803	6.14859716402227e-05	0.000101977529872642	2.42655599415468e-05	5.02062908657785e-06
Constitutive Signaling by Aberrant PI3K in Cancer	0.00546712211970047	0.0224002207354511	0.0208546374079779	0.0177339034950954	0.0160506811365179	0.779862695566104	0.000179563722683486	0.000776218419644414	0.000309668542396495	1.38155578291088e-06	0.00048166993054086	0.000453515864070341	0.000390541310578039	0.00032267543731294	9.62097794717958e-05	1.05597135112194e-06	1.21115028667309e-06	4.47258848132272e-06	3.55774079400801e-05	9.45215674464991e-06	0.00147925438124038	5.35974883935541e-06	0.000201540004027343
IRS-mediated signalling	0.000543701026491521	0.00106255313589814	0.0010907378161243	0.000590976342098642	0.00112925695647269	0.000340629690390066	2.26004818429101e-05	5.80390729517936e-05	3.83009072314464e-05	1.92655853688789e-06	0.00355547180968421	0.000463100490891137	0.000427527850305336	0.000368402591613521	5.50564231070617e-05	9.3119327264668e-06	1.53465144380029e-06	3.5091100570424e-06	9.4465462958622e-06	1.14676864963872e-05	0.000578413976247918	0.000168315584929053	8.00365382139325e-06
CD28 co-stimulation	0.000256147658945235	0.000756730200301783	0.00064865427024674	0.000966420297382417	0.000924209104951408	0.994528139086982	0.00605921266108133	0.00237561052832452	0.000556957519220701	7.90893106006334e-05	0.000503744219753848	0.00058540814960339	0.000128264393572454	4.61480447317357e-05	0.000141347588818685	0.000727368464619372	1.66592986826259e-06	5.09157658896273e-05	0.000215567206237857	2.7331589983145e-05	0.00233527414615562	2.01075757679641e-05	3.19863406289312e-05
Signaling by Insulin receptor	0.000950160965217439	0.00525547479261946	0.00307428040355158	0.00461958909576566	0.00440151861543553	0.000162592405810355	2.98655854149478e-05	3.48363959769498e-06	2.19509339966858e-05	3.49802217220982e-06	1.76625846224795e-05	8.33266871554865e-05	0.000333662222292701	0.000412400797058503	0.000204277111926423	4.78489217635934e-06	2.43945670640727e-06	4.021084708038e-07	1.31271041557597e-05	1.47455820657857e-05	6.41194187262678e-05	5.31016729004606e-05	3.10459890256315e-06
Signaling by FGFR	0.00162256608800918	0.00423862987582872	0.0063804275738127	0.00788833270229095	0.00240057107863683	0.00182010301423539	0.00193475384303985	0.000243887089838561	0.000424572388137444	9.84330010032649e-07	0.00180412098823643	0.00214254200851473	0.0017591666584727	0.00289859518253985	0.000713391596875831	0.000201393687047191	3.18314279568421e-06	1.72554077401085e-06	0.000312671163820582	7.69273544956883e-05	4.97975585210058e-05	0.000674839519117936	0.000107911286661994
Signaling by ERBB2	0.00015480611463137	0.000966029861429787	0.00040350990448302	0.000620806021926292	0.00064804566337907	9.74178871932351e-06	0.000658445537337184	1.31364088017164e-05	1.2732563471523e-05	1.19645530693343e-06	3.72472947812813e-05	0.000108669298165334	0.000135516199407106	0.000128442463463391	2.02092405224949e-05	7.27160280037642e-05	3.96488100339868e-06	1.42656019591952e-05	1.25264877114887e-05	8.10773715961202e-07	5.5704178833982e-07	8.66968703694858e-06	0.000242501093313226
