CommunityID	pathway	ORA.P.Value	ORA.Adj.P.Value	Community.Pathway.Overlap	CommunityMeanQScore	CommunitySize	CommunityGenes
51	Homology Directed Repair	1.48208891800408e-49	4.51592493315842e-46	RFC2_POLE2_RPA3_POLK_PARP2_RPA1_HUS1_TOPBP1_TIPIN_POLD3_NBN_WRN_FEN1_RAD9A_POLD4_CLSPN_POLE_ATRIP_MRE11_ATR_DNA2_RAD52_EXO1_PARP1_POLH_RPA2_RAD50_PCNA_RFC3_RFC1_RAD1_RAD51_RFC4_RAD9B_RBBP8_CHEK1_POLD1_RFC5_RAD17_TIMELESS_RHNO1_POLD2	1.48909973865085e-05	85	RFC2_DMC1_POLE2_CHRAC1_RPA3_POLK_MAD2L2_HELB_PARP2_RPA1_MACROD1_REV1_HUS1_BACH1_TOPBP1_TIPIN_CHTF18_LIG1_POLD3_ZRANB3_NBN_POLA2_MDP1_ETAA1_UHRF2_CEP164_SPRTN_WRN_FEN1_DONSON_RAD9A_POLD4_CLSPN_ATAD5_PRIMPOL_RCHY1_DSCC1_POLE_ATRIP_MRE11_PIF1_TOP1MT_PURA_RAD54B_ATR_CDAN1_ZBTB14_SMARCAL1_PRIM1_DNA2_RAD52_REV3L_RFWD3_EXO1_PARP1_CHD1L_RAD54L_POLH_RPA4_RPA2_RAD50_POLA1_PCNA_FBH1_RFC3_HUS1B_RFC1_RAD1_RAD51_RFC4_RAD9B_PURB_RBBP8_PARG_RPAIN_CHEK1_POLD1_RFC5_CHTF8_RAD17_POLG2_TIMELESS_RHNO1_POLD2_PRIM2
19	Integrin cell surface interactions	8.37248635509074e-48	1.27554829619807e-44	ITGA3_ICAM3_MADCAM1_ICAM5_ITGB8_VTN_THBS1_ITGAV_ITGA2B_ITGAE_ITGA9_ICAM1_TNC_ITGB7_ITGB6_ITGA5_VCAM1_ITGB5_ITGA2_JAM3_FGB_FGA_FBN1_ITGA11_FGG_ICAM4_FN1_COL18A1_ITGAL_ITGA10_ITGA8_ITGAD_SPP1_ITGB1_ITGA4_ITGB2_JAM2_ICAM2_ITGAM_ITGB3_ITGAX	0.000284378021780997	86	ITGA3_ICAM3_ITGB4_MADCAM1_PLAT_ICAM5_ITGB8_SERPINE1_VTN_SELPLG_SNX17_LRP1_FGL2_TNS4_THBS1_ITGAV_ITGA2B_ITGAE_SELP_CD80_ITGA9_ICAM1_F13A1_TNC_ITGB7_MFGE8_ITGB6_THY1_GPC2_ITGA5_VCAM1_ITGB5_ITGA2_EDIL3_JAM3_CD28_FGB_FGA_PLG_BTN2A1_CSPG4_SPHK1_CD209_NCL_SERPINF2_FBN1_ITGA11_CD86_FGG_PLAUR_DMP1_ICAM4_FN1_COL18A1_ITGAL_TGM2_THBS2_F13B_CCN2_IGSF8_ADAM12_ITGA10_MMP9_SDC4_PLAU_ITGA8_SAT1_CD9_ITGAD_SPP1_ITGB1_ITGA4_ITGB2_FGL1_JAM2_MDK_NPNT_SERPINB2_ICAM2_TGFBI_ITGAM_ITGB3_ADAM8_ITGAX_GRIP2_SPON2
26	Protein folding	3.19771294348177e-46	3.24781044626299e-43	TUBB1_TBCB_GAPDHS_TUBA4A_CCT7_KIF13A_TUBB2B_PFDN1_TUBB4A_CCT6A_CCT5_VBP1_CCT8_CCT3_CCT2_TUBA1A_TUBA1C_TBCA_TCP1_TUBA3E_TUBB6_TUBB3_CCT6B_TUBA8_TUBA1B_TUBB4B_TBCD_FBXL3_PFDN2_FBXW4_PFDN4_TBCC_FBXO6_TUBAL3_CCT4_PFDN6_TBCE_PFDN5	2.12997810718413e-05	85	PPP5C_VASH1_PDRG1_TUBB1_TBCB_CDC37_GAPDHS_MKKS_TUBA4A_CCDC117_DCLK1_CCT7_CYP27A1_KIF13A_TUBB2B_PFDN1_EHD2_KIF1B_TUBB4A_PDCL3_TXNDC9_CCT6A_CCT5_HSPB8_VBP1_CCT8_AIFM1_CCT3_TSC1_TCP11L2_CCT2_TUBA1A_TUBA1C_TBCA_TCP1_TUBA3E_TUBB6_TUBB3_EML4_ISG20L2_PSMG2_CCT6B_SPATA8_PSMG1_TUBA8_EML1_TCP11L1_TUBA1B_DCX_TUBB_TUBB4B_STMN4_TBCD_FBXL3_EML6_C17orf102_STIP1_CCT8L2_PFDN2_BAG3_FBXW4_PFDN4_TBCC_PSAT1_FBXO6_TUBAL3_CAMSAP1_BBS10_KIF7_CCT4_PNPLA1_PFDN6_PSMG4_KIF5C_VKORC1L1_STMN1_CAMSAP3_VASH2_BBS12_KIF1A_TBCE_PFDN5_TUBB8_GTF2I_EML2
51	HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)	8.01972444907366e-45	6.10902509908186e-42	RFC2_POLE2_RPA3_POLK_RPA1_HUS1_TOPBP1_TIPIN_POLD3_NBN_WRN_RAD9A_POLD4_CLSPN_POLE_ATRIP_MRE11_ATR_DNA2_RAD52_EXO1_POLH_RPA2_RAD50_PCNA_RFC3_RFC1_RAD1_RAD51_RFC4_RAD9B_RBBP8_CHEK1_POLD1_RFC5_RAD17_TIMELESS_RHNO1_POLD2	1.48909973865085e-05	85	RFC2_DMC1_POLE2_CHRAC1_RPA3_POLK_MAD2L2_HELB_PARP2_RPA1_MACROD1_REV1_HUS1_BACH1_TOPBP1_TIPIN_CHTF18_LIG1_POLD3_ZRANB3_NBN_POLA2_MDP1_ETAA1_UHRF2_CEP164_SPRTN_WRN_FEN1_DONSON_RAD9A_POLD4_CLSPN_ATAD5_PRIMPOL_RCHY1_DSCC1_POLE_ATRIP_MRE11_PIF1_TOP1MT_PURA_RAD54B_ATR_CDAN1_ZBTB14_SMARCAL1_PRIM1_DNA2_RAD52_REV3L_RFWD3_EXO1_PARP1_CHD1L_RAD54L_POLH_RPA4_RPA2_RAD50_POLA1_PCNA_FBH1_RFC3_HUS1B_RFC1_RAD1_RAD51_RFC4_RAD9B_PURB_RBBP8_PARG_RPAIN_CHEK1_POLD1_RFC5_CHTF8_RAD17_POLG2_TIMELESS_RHNO1_POLD2_PRIM2
51	HDR through Homologous Recombination (HRR)	1.2312575351605e-43	7.50328341926811e-41	RFC2_POLE2_RPA3_POLK_RPA1_HUS1_TOPBP1_POLD3_NBN_WRN_RAD9A_POLD4_POLE_ATRIP_MRE11_ATR_DNA2_EXO1_POLH_RPA2_RAD50_PCNA_RFC3_RFC1_RAD1_RAD51_RFC4_RAD9B_RBBP8_CHEK1_POLD1_RFC5_RAD17_RHNO1_POLD2	1.48909973865085e-05	85	RFC2_DMC1_POLE2_CHRAC1_RPA3_POLK_MAD2L2_HELB_PARP2_RPA1_MACROD1_REV1_HUS1_BACH1_TOPBP1_TIPIN_CHTF18_LIG1_POLD3_ZRANB3_NBN_POLA2_MDP1_ETAA1_UHRF2_CEP164_SPRTN_WRN_FEN1_DONSON_RAD9A_POLD4_CLSPN_ATAD5_PRIMPOL_RCHY1_DSCC1_POLE_ATRIP_MRE11_PIF1_TOP1MT_PURA_RAD54B_ATR_CDAN1_ZBTB14_SMARCAL1_PRIM1_DNA2_RAD52_REV3L_RFWD3_EXO1_PARP1_CHD1L_RAD54L_POLH_RPA4_RPA2_RAD50_POLA1_PCNA_FBH1_RFC3_HUS1B_RFC1_RAD1_RAD51_RFC4_RAD9B_PURB_RBBP8_PARG_RPAIN_CHEK1_POLD1_RFC5_CHTF8_RAD17_POLG2_TIMELESS_RHNO1_POLD2_PRIM2
51	DNA Double-Strand Break Repair	8.48417358200532e-43	4.30854615072837e-40	RFC2_POLE2_RPA3_POLK_PARP2_RPA1_HUS1_TOPBP1_TIPIN_POLD3_NBN_WRN_FEN1_RAD9A_POLD4_CLSPN_POLE_ATRIP_MRE11_ATR_DNA2_RAD52_EXO1_PARP1_POLH_RPA2_RAD50_PCNA_RFC3_RFC1_RAD1_RAD51_RFC4_RAD9B_RBBP8_CHEK1_POLD1_RFC5_RAD17_TIMELESS_RHNO1_POLD2	1.48909973865085e-05	85	RFC2_DMC1_POLE2_CHRAC1_RPA3_POLK_MAD2L2_HELB_PARP2_RPA1_MACROD1_REV1_HUS1_BACH1_TOPBP1_TIPIN_CHTF18_LIG1_POLD3_ZRANB3_NBN_POLA2_MDP1_ETAA1_UHRF2_CEP164_SPRTN_WRN_FEN1_DONSON_RAD9A_POLD4_CLSPN_ATAD5_PRIMPOL_RCHY1_DSCC1_POLE_ATRIP_MRE11_PIF1_TOP1MT_PURA_RAD54B_ATR_CDAN1_ZBTB14_SMARCAL1_PRIM1_DNA2_RAD52_REV3L_RFWD3_EXO1_PARP1_CHD1L_RAD54L_POLH_RPA4_RPA2_RAD50_POLA1_PCNA_FBH1_RFC3_HUS1B_RFC1_RAD1_RAD51_RFC4_RAD9B_PURB_RBBP8_PARG_RPAIN_CHEK1_POLD1_RFC5_CHTF8_RAD17_POLG2_TIMELESS_RHNO1_POLD2_PRIM2
59	Neddylation	5.51495555820228e-42	2.40058136940605e-39	RBX1_UBE2M_VHL_DDB2_DCUN1D5_BTBD1_COPS4_ERCC8_COPS3_FEM1A_DCUN1D1_FBXO17_LRR1_COPS2_DDB1_COPS6_FEM1B_FBXW5_WDTC1_ASB4_COPS8_COPS5_DCAF4_DDA1_DTL_COP1_DCAF6_DCAF8_COPS7B_DCAF17_CUL4A_DCAF10_DCAF16_GPS1_CUL4B_DCUN1D4_DCAF11_DCUN1D2_COPS7A_CAND1_CUL2_DCAF7	3.87399864294189e-05	71	TRIB2_RBX1_CDKN1B_CRBN_UNG_TRPC4AP_UBE2M_DCAF15_BTBD2_VHL_DDB2_DCUN1D5_BTBD1_SAMHD1_COPS4_ERCC8_COPS3_FEM1A_ZER1_DCUN1D1_FBXO17_ZYG11B_LRR1_COPS2_DDB1_COPS6_ETV5_FEM1B_TRIB1_FBXW5_KLHDC3_DCAF4L2_WDTC1_ASB4_DCAF4L1_BCRP2_DYRK2_COPS8_COPS5_DCAF4_DDA1_DCAF12L2_DCAF12_DTL_COP1_DCAF6_DCAF8_THEMIS_DCAF12L1_STK40_COPS7B_DCAF17_CUL4A_DCAF10_DCAF16_GPS1_CUL4B_DCUN1D4_DCAF1_TESPA1_DCAF8L1_ETV1_DCAF11_DCUN1D2_COPS7A_CAND1_CUL2_PRAME_DET1_DCAF8L2_DCAF7
141	Signaling by Rho GTPases, Miro GTPases and RHOBTB3	7.4359001585885e-41	2.83214847290239e-38	ARHGDIG_RHOV_ARHGDIB_RHPN2_ARHGAP20_ANLN_RHOF_ARHGDIA_RHOB_RTKN_RHOC_PKN3_RHOD_RHOJ_ROCK2_DIAPH2_RHOT2_ARHGEF25_ARHGEF1_RHOBTB1_RAP1GDS1_NET1_RHOT1_RHOU_KIF14_PKN2_RND3_RHOH_CIT_PRC1_DIAPH1_ROCK1_DIAPH3_RHOA_MCF2L	4.27715400410929e-05	38	RASL10A_ARHGDIG_RHOV_ARHGDIB_RHPN2_ARHGAP20_ANLN_RHOF_ARHGDIA_RHOB_RTKN_RHOC_PKN3_RHOD_RHOJ_ROCK2_DIAPH2_RHOT2_ARHGEF25_ARHGEF1_RHOBTB1_RAP1GDS1_NET1_RHOT1_RHOU_KIF14_PKN2_RND3_SHROOM2_RHOH_CIT_PRC1_DIAPH1_ROCK1_DIAPH3_RHOA_PRRC1_MCF2L
26	Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding	6.03618654972538e-40	2.04358449077925e-37	TUBB1_TUBA4A_CCT7_TUBB2B_PFDN1_TUBB4A_CCT6A_CCT5_VBP1_CCT8_CCT3_CCT2_TUBA1A_TUBA1C_TCP1_TUBA3E_TUBB6_TUBB3_CCT6B_TUBA8_TUBA1B_TUBB4B_PFDN2_PFDN4_TUBAL3_CCT4_PFDN6_PFDN5	2.12997810718413e-05	85	PPP5C_VASH1_PDRG1_TUBB1_TBCB_CDC37_GAPDHS_MKKS_TUBA4A_CCDC117_DCLK1_CCT7_CYP27A1_KIF13A_TUBB2B_PFDN1_EHD2_KIF1B_TUBB4A_PDCL3_TXNDC9_CCT6A_CCT5_HSPB8_VBP1_CCT8_AIFM1_CCT3_TSC1_TCP11L2_CCT2_TUBA1A_TUBA1C_TBCA_TCP1_TUBA3E_TUBB6_TUBB3_EML4_ISG20L2_PSMG2_CCT6B_SPATA8_PSMG1_TUBA8_EML1_TCP11L1_TUBA1B_DCX_TUBB_TUBB4B_STMN4_TBCD_FBXL3_EML6_C17orf102_STIP1_CCT8L2_PFDN2_BAG3_FBXW4_PFDN4_TBCC_PSAT1_FBXO6_TUBAL3_CAMSAP1_BBS10_KIF7_CCT4_PNPLA1_PFDN6_PSMG4_KIF5C_VKORC1L1_STMN1_CAMSAP3_VASH2_BBS12_KIF1A_TBCE_PFDN5_TUBB8_GTF2I_EML2
346	Neddylation	6.73967761869755e-40	2.05357977041714e-37	NEDD8_WSB1_ASB1_RNF7_ASB6_ANKRD9_ASB16_ASB5_SOCS5_SPSB4_DCUN1D3_ASB8_FBXL13_ASB7_SPSB1_ZBTB16_SENP8_ASB13_NAE1_UBA3_ASB12_TULP4_CUL5_ASB18_ASB10_ASB15_WSB2_ASB11_ASB14_KLHL5_SPSB2_ASB2_SPSB3_UBE2F	2.24041400215248e-05	38	NEDD8_KHNYN_WSB1_ASB1_RNF7_ASB6_ANKRD9_ASB16_ASB5_SOCS5_OR4S2_SPSB4_DCUN1D3_ASB8_FBXL13_PAWR_ASB7_SPSB1_ZBTB16_SENP8_ASB13_NAE1_UBA3_ASB12_TULP4_CUL5_SOCS4_ASB18_ASB10_ASB15_WSB2_ASB11_ASB14_KLHL5_SPSB2_ASB2_SPSB3_UBE2F
