#category	term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO Process	GO:0006954	Inflammatory response	16	538	1.15	1.01e-10	9606.ENSP00000216117,9606.ENSP00000221930,9606.ENSP00000248244,9606.ENSP00000263317,9606.ENSP00000264657,9606.ENSP00000337383,9606.ENSP00000345347,9606.ENSP00000346839,9606.ENSP00000363089,9606.ENSP00000371067,9606.ENSP00000380252,9606.ENSP00000385675,9606.ENSP00000398632,9606.ENSP00000415743,9606.ENSP00000437955,9606.ENSP00000450482	HMOX1,TGFB1,TICAM1,NOX4,STAT3,NLRP3,HMGB1,FN1,TLR4,JAK2,NFE2L2,IL6,CD44,CD36,HIF1A,BDKRB2
GO Process	GO:0048583	Regulation of response to stimulus	31	3931	0.58	2.25e-10	9606.ENSP00000216117,9606.ENSP00000221930,9606.ENSP00000248244,9606.ENSP00000248553,9606.ENSP00000248923,9606.ENSP00000263317,9606.ENSP00000263980,9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000280612,9606.ENSP00000320866,9606.ENSP00000335062,9606.ENSP00000337383,9606.ENSP00000345347,9606.ENSP00000346839,9606.ENSP00000357704,9606.ENSP00000358072,9606.ENSP00000363089,9606.ENSP00000371067,9606.ENSP00000378431,9606.ENSP00000378897,9606.ENSP00000380252,9606.ENSP00000385675,9606.ENSP00000386559,9606.ENSP00000398632,9606.ENSP00000415743,9606.ENSP00000437955,9606.ENSP00000450482,9606.ENSP00000478931,9606.ENSP00000498596	HMOX1,TGFB1,TICAM1,HSPB1,GGT1,NOX4,SLC9A1,STAT3,TP53,ATM,SLC7A11,CALR,PDCD1,NLRP3,HMGB1,FN1,S100A4,ATG5,TLR4,JAK2,MMRN1,ASAH2,NFE2L2,IL6,CD8A,CD44,CD36,HIF1A,BDKRB2,AIFM2,STING1
GO Process	GO:0002682	Regulation of immune system process	21	1438	0.85	5.09e-10	9606.ENSP00000216117,9606.ENSP00000221930,9606.ENSP00000248244,9606.ENSP00000248923,9606.ENSP00000264657,9606.ENSP00000278616,9606.ENSP00000280612,9606.ENSP00000320866,9606.ENSP00000335062,9606.ENSP00000337383,9606.ENSP00000345347,9606.ENSP00000346839,9606.ENSP00000358072,9606.ENSP00000363089,9606.ENSP00000371067,9606.ENSP00000380252,9606.ENSP00000385675,9606.ENSP00000386559,9606.ENSP00000415743,9606.ENSP00000437955,9606.ENSP00000498596	HMOX1,TGFB1,TICAM1,GGT1,STAT3,ATM,SLC7A11,CALR,PDCD1,NLRP3,HMGB1,FN1,ATG5,TLR4,JAK2,NFE2L2,IL6,CD8A,CD36,HIF1A,STING1
GO Process	GO:0010941	Regulation of cell death	22	1651	0.81	5.09e-10	9606.ENSP00000216117,9606.ENSP00000221930,9606.ENSP00000248553,9606.ENSP00000261024,9606.ENSP00000263980,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000280612,9606.ENSP00000320866,9606.ENSP00000335062,9606.ENSP00000345347,9606.ENSP00000358072,9606.ENSP00000363089,9606.ENSP00000371067,9606.ENSP00000378897,9606.ENSP00000380252,9606.ENSP00000385675,9606.ENSP00000398632,9606.ENSP00000415743,9606.ENSP00000437955,9606.ENSP00000450482,9606.ENSP00000478931	HMOX1,TGFB1,HSPB1,SLC40A1,SLC9A1,TP53,ATM,SLC7A11,CALR,PDCD1,HMGB1,ATG5,TLR4,JAK2,ASAH2,NFE2L2,IL6,CD44,CD36,HIF1A,BDKRB2,AIFM2
GO Process	GO:0070887	Cellular response to chemical stimulus	26	2609	0.68	5.09e-10	9606.ENSP00000216117,9606.ENSP00000221930,9606.ENSP00000248244,9606.ENSP00000248553,9606.ENSP00000261024,9606.ENSP00000263317,9606.ENSP00000263980,9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000280612,9606.ENSP00000320866,9606.ENSP00000337383,9606.ENSP00000345347,9606.ENSP00000358072,9606.ENSP00000363089,9606.ENSP00000371067,9606.ENSP00000378897,9606.ENSP00000380252,9606.ENSP00000385675,9606.ENSP00000385834,9606.ENSP00000398632,9606.ENSP00000415743,9606.ENSP00000437955,9606.ENSP00000450482,9606.ENSP00000498596	HMOX1,TGFB1,TICAM1,HSPB1,SLC40A1,NOX4,SLC9A1,STAT3,TP53,ATM,SLC7A11,CALR,NLRP3,HMGB1,ATG5,TLR4,JAK2,ASAH2,NFE2L2,IL6,TF,CD44,CD36,HIF1A,BDKRB2,STING1
GO Process	GO:0062197	Cellular response to chemical stress	12	272	1.33	8.88e-10	9606.ENSP00000216117,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000280612,9606.ENSP00000337383,9606.ENSP00000358072,9606.ENSP00000371067,9606.ENSP00000380252,9606.ENSP00000385675,9606.ENSP00000415743,9606.ENSP00000437955,9606.ENSP00000450482	HMOX1,TP53,ATM,SLC7A11,NLRP3,ATG5,JAK2,NFE2L2,IL6,CD36,HIF1A,BDKRB2
GO Process	GO:0042981	Regulation of apoptotic process	20	1462	0.82	3.73e-09	9606.ENSP00000216117,9606.ENSP00000221930,9606.ENSP00000248553,9606.ENSP00000261024,9606.ENSP00000263980,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000280612,9606.ENSP00000320866,9606.ENSP00000335062,9606.ENSP00000345347,9606.ENSP00000358072,9606.ENSP00000371067,9606.ENSP00000378897,9606.ENSP00000380252,9606.ENSP00000385675,9606.ENSP00000398632,9606.ENSP00000437955,9606.ENSP00000450482,9606.ENSP00000478931	HMOX1,TGFB1,HSPB1,SLC40A1,SLC9A1,TP53,ATM,SLC7A11,CALR,PDCD1,HMGB1,ATG5,JAK2,ASAH2,NFE2L2,IL6,CD44,HIF1A,BDKRB2,AIFM2
GO Process	GO:0048584	Positive regulation of response to stimulus	23	2131	0.71	3.73e-09	9606.ENSP00000216117,9606.ENSP00000221930,9606.ENSP00000248244,9606.ENSP00000248553,9606.ENSP00000263317,9606.ENSP00000263980,9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000320866,9606.ENSP00000337383,9606.ENSP00000345347,9606.ENSP00000346839,9606.ENSP00000357704,9606.ENSP00000363089,9606.ENSP00000371067,9606.ENSP00000380252,9606.ENSP00000385675,9606.ENSP00000386559,9606.ENSP00000398632,9606.ENSP00000415743,9606.ENSP00000437955,9606.ENSP00000498596	HMOX1,TGFB1,TICAM1,HSPB1,NOX4,SLC9A1,STAT3,TP53,ATM,CALR,NLRP3,HMGB1,FN1,S100A4,TLR4,JAK2,NFE2L2,IL6,CD8A,CD44,CD36,HIF1A,STING1
GO Process	GO:1902531	Regulation of intracellular signal transduction	21	1726	0.77	5.09e-09	9606.ENSP00000216117,9606.ENSP00000221930,9606.ENSP00000248244,9606.ENSP00000248553,9606.ENSP00000263317,9606.ENSP00000263980,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000320866,9606.ENSP00000337383,9606.ENSP00000345347,9606.ENSP00000346839,9606.ENSP00000357704,9606.ENSP00000363089,9606.ENSP00000371067,9606.ENSP00000380252,9606.ENSP00000385675,9606.ENSP00000398632,9606.ENSP00000415743,9606.ENSP00000437955,9606.ENSP00000450482	HMOX1,TGFB1,TICAM1,HSPB1,NOX4,SLC9A1,TP53,ATM,CALR,NLRP3,HMGB1,FN1,S100A4,TLR4,JAK2,NFE2L2,IL6,CD44,CD36,HIF1A,BDKRB2
GO Process	GO:0010628	Positive regulation of gene expression	18	1146	0.88	5.15e-09	9606.ENSP00000216117,9606.ENSP00000221930,9606.ENSP00000248244,9606.ENSP00000248553,9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000320866,9606.ENSP00000337383,9606.ENSP00000345347,9606.ENSP00000346839,9606.ENSP00000363089,9606.ENSP00000371067,9606.ENSP00000380252,9606.ENSP00000385675,9606.ENSP00000415743,9606.ENSP00000437955,9606.ENSP00000498596	HMOX1,TGFB1,TICAM1,HSPB1,STAT3,TP53,ATM,CALR,NLRP3,HMGB1,FN1,TLR4,JAK2,NFE2L2,IL6,CD36,HIF1A,STING1
