PMID	kw1	kw2	link	link_explicit	QuerySet
33634378	1-methyl-4-phenylpyridinium/toxicity	cell survival/drug effects	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/33634378/"", ""33634378"")"	https://pubmed.ncbi.nlm.nih.gov/33634378	pmid-ferroptosi-set.txt
33634378	1-methyl-4-phenylpyridinium/toxicity	mptp poisoning/drug therapy	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/33634378/"", ""33634378"")"	https://pubmed.ncbi.nlm.nih.gov/33634378	pmid-ferroptosi-set.txt
33634378	1-methyl-4-phenylpyridinium/toxicity	pc12 cells	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/33634378/"", ""33634378"")"	https://pubmed.ncbi.nlm.nih.gov/33634378	pmid-ferroptosi-set.txt
33634378	1-methyl-4-phenylpyridinium/toxicity	phospholipid hydroperoxide glutathione peroxidase/biosynthesis	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/33634378/"", ""33634378"")"	https://pubmed.ncbi.nlm.nih.gov/33634378	pmid-ferroptosi-set.txt
33634378	1-methyl-4-phenylpyridinium/toxicity	thioredoxins/administration & dosage	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/33634378/"", ""33634378"")"	https://pubmed.ncbi.nlm.nih.gov/33634378	pmid-ferroptosi-set.txt
34229160	ACSL4	GPX4	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/34229160/"", ""34229160"")"	https://pubmed.ncbi.nlm.nih.gov/34229160	pmid-ferroptosi-set.txt
35855531	ACSL4	GPX4	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/35855531/"", ""35855531"")"	https://pubmed.ncbi.nlm.nih.gov/35855531	pmid-ferroptosi-set.txt
33121683	ACSL4	GPX4	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/33121683/"", ""33121683"")"	https://pubmed.ncbi.nlm.nih.gov/33121683	pmid-ferroptosi-set.txt
34482070	ACSL4	GPX4	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/34482070/"", ""34482070"")"	https://pubmed.ncbi.nlm.nih.gov/34482070	pmid-ferroptosi-set.txt
37060026	ACSL4	GPX4	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/37060026/"", ""37060026"")"	https://pubmed.ncbi.nlm.nih.gov/37060026	pmid-ferroptosi-set.txt
35855531	ACSL4	IFNG	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/35855531/"", ""35855531"")"	https://pubmed.ncbi.nlm.nih.gov/35855531	pmid-ferroptosi-set.txt
34229160	ACSL4	MCU	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/34229160/"", ""34229160"")"	https://pubmed.ncbi.nlm.nih.gov/34229160	pmid-ferroptosi-set.txt
35855531	ACSL4	NOX1	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/35855531/"", ""35855531"")"	https://pubmed.ncbi.nlm.nih.gov/35855531	pmid-ferroptosi-set.txt
37060026	ACSL4	SLC39A14	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/37060026/"", ""37060026"")"	https://pubmed.ncbi.nlm.nih.gov/37060026	pmid-ferroptosi-set.txt
37060026	ACSL4	TFRC	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/37060026/"", ""37060026"")"	https://pubmed.ncbi.nlm.nih.gov/37060026	pmid-ferroptosi-set.txt
37060026	ACSL4	VDAC1	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/37060026/"", ""37060026"")"	https://pubmed.ncbi.nlm.nih.gov/37060026	pmid-ferroptosi-set.txt
33121683	ACSL4	antitubercular agents/administration & dosage	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/33121683/"", ""33121683"")"	https://pubmed.ncbi.nlm.nih.gov/33121683	pmid-ferroptosi-set.txt
34482070	ACSL4	biomarkers tumor	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/34482070/"", ""34482070"")"	https://pubmed.ncbi.nlm.nih.gov/34482070	pmid-ferroptosi-set.txt
34482070	ACSL4	breast neoplasms/diagnosis	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/34482070/"", ""34482070"")"	https://pubmed.ncbi.nlm.nih.gov/34482070	pmid-ferroptosi-set.txt
