kw1	kw2	pg	crit_p	edge_weight	inv_edge_weight	R1C1	iteration
DNM1L	DENR	0.0	0.0	0.0084745762711864	0.643193521582541	1	0
DNM1L	FKBP8	0.0	0.0	0.0084745762711864	0.643193521582541	1	0
DNM1L	FUNDC1	0.0	0.0	0.0084745762711864	0.643193521582541	1	0
DNM1L	NFE2L2	0.0004975532052463	0.0009036812408369	0.0508474576271186	0.643193521582541	1	0
DNM1L	PINK1	0.0	0.0	0.0084745762711864	0.643193521582541	1	0
DNM1L	UTRN	0.0	0.0	0.0084745762711864	0.643193521582541	1	0
GLS	CDH1	7.95087432337027e-07	1.94208574324728e-06	0.0084745762711864	0.643193521582541	1	0
GLS	CDH2	7.95087432337027e-07	1.94208574324728e-06	0.0084745762711864	0.643193521582541	1	0
GLS	EGFR	0.0018869183339988	0.0031243469390338	0.0254237288135593	0.643193521582541	1	0
GLS	FTH1	0.0055414834654826	0.0085024083524234	0.0338983050847457	0.643193521582541	1	0
GLS	MMP9	7.95087432337027e-07	1.94208574324728e-06	0.0084745762711864	0.643193521582541	1	0
GLS	SLC40A1	7.95087432337027e-07	1.94208574324728e-06	0.0084745762711864	0.643193521582541	1	0
GLS	VIM	7.95087432337027e-07	1.94208574324728e-06	0.0084745762711864	0.643193521582541	1	0
IDO1	CD274	2.28639293076149e-06	5.41116695075316e-06	0.0338983050847457	0.643193521582541	1	0
IDO1	NOC2L	0.0	0.0	0.0084745762711864	0.643193521582541	1	0
LCN2	CDKN2A	4.5239729407065e-08	1.27282448845628e-07	0.0084745762711864	0.643193521582541	1	0
TF	GLRX5	0.0023666487764341	0.0038493589744871	0.059322033898305	0.643193521582541	1	0
TF	SLC39A14	0.0003990265556311	0.0007332037728471	0.059322033898305	0.643193521582541	1	0
TF	TFRC	6.274738506562021e-10	2.23351356774848e-09	0.0001311273958848	0.129984703461932	3	0
TF	VDAC1	0.0003990265556311	0.0007332037728471	0.0593220338983051	0.643193521582541	1	0
DENR	FKBP8	0.0	0.0	0.0084745762711864	0.643193521582541	1	0
DENR	FUNDC1	0.0	0.0	0.0084745762711864	0.643193521582541	1	0
DENR	NFE2L2	0.0004975532052463	0.0009036812408369	0.0508474576271186	0.643193521582541	1	0
DENR	PINK1	0.0	0.0	0.0084745762711864	0.643193521582541	1	0
DENR	UTRN	0.0	0.0	0.0084745762711864	0.643193521582541	1	0
MMP2	IFNG	5.6210813781376594e-11	2.17565762952064e-10	0.0254237288135593	0.643193521582541	1	0
MMP2	SRF	0.0	0.0	0.0084745762711864	0.643193521582541	1	0
P4HB	PADI1	0.0	0.0	0.0084745762711864	0.643193521582541	1	0
P4HB	PDIA2	0.0	0.0	0.0084745762711864	0.643193521582541	1	0
HMGCR	EEF1A2	0.0	0.0	0.0084745762711864	0.643193521582541	1	0
MIR6516	ADAMTS9-AS1	8.79296635503124e-14	4.24238861862052e-13	0.0169491525423728	0.643193521582541	1	0
GPX4	ACSL4	1.41345257809178e-06	3.37635020247119e-06	0.0001505114457113	0.0123899221684959	5	0
GPX4	MCU	0.0008210403085373	0.0014480381554478	0.186440677966102	0.643193521582541	1	0
PDCD1	CD274	1.55764290354909e-13	7.47086010727829e-13	0.0338983050847457	0.643193521582541	1	0
PDCD1	IFNG	0.0	0.0	0.0254237288135593	0.643193521582541	1	0
GCLM	CASP9	7.92287602191522e-09	2.54168366391e-08	0.0169491525423728	0.643193521582541	1	0
GCLM	CTNNB1	7.92287602191522e-09	2.54168366391e-08	0.0169491525423728	0.643193521582541	1	0
GCLM	GCLC	1.86387572043145e-11	7.53748247772819e-11	0.0004345936549326	0.322337075728984	2	0
GCLM	HMOX1	3.86813655717244e-06	8.97164656977692e-06	0.0014486455164421	0.322337075728984	2	0
GCLM	TCF7L2	7.92287602191522e-09	2.54168366391e-08	0.0169491525423728	0.643193521582541	1	0
PEBP1	XAB2	0.0	0.0	0.0084745762711864	0.643193521582541	1	0
ATF4	EIF2S1	1.66209646847992e-05	3.62551302189018e-05	0.0337534405331015	0.643193521582541	1	0
ATF4	GABPA	1.03086460523372e-06	2.47093124510767e-06	0.0337534405331015	0.643193521582541	1	0
ATF4	NFE2L2	2.74324864157904e-06	6.42685126462244e-06	0.0021729682746631	0.322337075728984	2	0
ACSL4	IFNG	0.0005381208198234	0.0009762705714815	0.122810172488723	0.643193521582541	1	0
ACSL4	MCU	0.0	0.0	0.0423728813559322	0.643193521582541	1	0
ACSL4	NOX1	1.67049152288712e-10	6.14826676059587e-10	0.0423728813559322	0.643193521582541	1	0
ACSL4	SLC39A14	1.88690625346766e-08	5.9017292510577e-08	0.0423728813559322	0.643193521582541	1	0
ACSL4	TFRC	0.0009266215874724	0.0016195936139717	0.122810172488723	0.643193521582541	1	0
ACSL4	VDAC1	1.88690625346766e-08	5.9017292510577e-08	0.0423728813559322	0.643193521582541	1	0
HIF1A	NCL	0.0	0.0	0.0084745762711864	0.643193521582541	1	0
GGT1	SLC7A11	0.004400314041403	0.0068050556406718	0.0847457627118643	0.643193521582541	1	0
GGT1	SLC9A1	8.454692501658201e-10	2.95338469968318e-09	0.0254237288135593	0.643193521582541	1	0
MPC1	KDM5A	9.04880170793376e-10	3.11404030527975e-09	0.0084745762711864	0.643193521582541	1	0
IFNG	CD274	0.0007555044762606	0.0013397282797736	0.0991023393127429	0.643193521582541	1	0
IFNG	NOX1	2.2204460492503099e-16	1.6369491071099502e-15	0.0254237288135593	0.643193521582541	1	0
IFNG	SRF	5.6210813781376594e-11	2.17565762952064e-10	0.0254237288135593	0.643193521582541	1	0
CBR1	FTH1	0.0005722347310298	0.0010320132658432	0.0338983050847457	0.643193521582541	1	0
NOC2L	CD274	2.28639293076149e-06	5.41116695075316e-06	0.0338983050847457	0.643193521582541	1	0
GALNT14	EGFR	0.0001190696848334	0.0002366340025258	0.0254237288135593	0.643193521582541	1	0
GALNT14	MTOR	1.4029182482389e-08	4.41629239255051e-08	0.0169491525423728	0.643193521582541	1	0
SLC9A1	SLC7A11	0.0062139744816632	0.0095042993249043	0.0186575551859012	0.322337075728984	2	0
PINK1	FKBP8	0.0	0.0	0.0084745762711864	0.643193521582541	1	0
PINK1	FUNDC1	0.0	0.0	0.0084745762711864	0.643193521582541	1	0
PINK1	NFE2L2	0.0004975532052463	0.0009036812408369	0.0508474576271186	0.643193521582541	1	0
PINK1	UTRN	0.0	0.0	0.0084745762711864	0.643193521582541	1	0
FXN	CASP3	0.0	0.0	0.0084745762711864	0.643193521582541	1	0
FXN	GAA	0.0	0.0	0.0084745762711864	0.643193521582541	1	0
CASP3	GAA	0.0	0.0	0.0084745762711864	0.643193521582541	1	0
CDH1	CDH2	7.95087432337027e-07	1.94208574324728e-06	0.0084745762711864	0.643193521582541	1	0
CDH1	EGFR	0.0018869183339988	0.0031243469390338	0.0254237288135593	0.643193521582541	1	0
CDH1	FTH1	0.0055414834654826	0.0085024083524234	0.0338983050847457	0.643193521582541	1	0
CDH1	MMP9	7.95087432337027e-07	1.94208574324728e-06	0.0084745762711864	0.643193521582541	1	0
CDH1	SLC40A1	7.95087432337027e-07	1.94208574324728e-06	0.0084745762711864	0.643193521582541	1	0
CDH1	VIM	7.95087432337027e-07	1.94208574324728e-06	0.0084745762711864	0.643193521582541	1	0
FTH1	CDH2	0.0055414834654826	0.0085024083524234	0.0338983050847457	0.643193521582541	1	0
FTH1	MMP9	0.0055414834654826	0.0085024083524234	0.0338983050847457	0.643193521582541	1	0
FTH1	SLC40A1	0.0055414834654826	0.0085024083524234	0.0338983050847457	0.643193521582541	1	0
FTH1	VIM	0.0055414834654826	0.0085024083524234	0.0338983050847457	0.643193521582541	1	0
TFRC	SLC39A14	3.5277336607464297e-12	1.4935400633203598e-11	0.0254237288135593	0.643193521582541	1	0
