kw1	kw2	pg	crit_p	edge_weight	inv_edge_weight	R1C1	iteration
1-methyl-4-phenylpyridinium/toxicity	cell survival/drug effects	6.38675546171807e-06	1.44420693108827e-05	0.0593220338983051	0.643193521582541	1	0
1-methyl-4-phenylpyridinium/toxicity	mptp poisoning/drug therapy	0.0	0.0	0.0084745762711864	0.643193521582541	1	0
1-methyl-4-phenylpyridinium/toxicity	pc12 cells	0.0	0.0	0.0169491525423728	0.643193521582541	1	0
1-methyl-4-phenylpyridinium/toxicity	phospholipid hydroperoxide glutathione peroxidase/biosynthesis	0.0	0.0	0.0084745762711864	0.643193521582541	1	0
1-methyl-4-phenylpyridinium/toxicity	thioredoxins/administration & dosage	0.0	0.0	0.0084745762711864	0.643193521582541	1	0
cell survival/drug effects	anthelmintics/pharmacology	0.0024711672872856	0.0040126618430333	0.0593220338983051	0.643193521582541	1	0
cell survival/drug effects	antineoplastic agents/analysis	0.0003601294793559	0.000663231652646	0.0593220338983051	0.643193521582541	1	0
cell survival/drug effects	b7-h1 antigen/metabolism	7.42235309241224e-05	0.0001517798011721	0.059322033898305	0.643193521582541	1	0
cell survival/drug effects	benzophenanthridines/pharmacology	0.0034576698058652	0.0055062826679677	0.059322033898305	0.643193521582541	1	0
cell survival/drug effects	cation transport proteins/genetics	0.0034576698058652	0.0055062826679677	0.059322033898305	0.643193521582541	1	0
cell survival/drug effects	cell cycle/drug effects	0.0024711672872856	0.0040126618430333	0.0593220338983051	0.643193521582541	1	0
cell survival/drug effects	diosgenin/analogs & derivatives	0.0034576698058652	0.0055062826679677	0.0593220338983051	0.643193521582541	1	0
cell survival/drug effects	docetaxel/pharmacology	0.0001765303011255	0.0003450590282329	0.0593220338983051	0.643193521582541	1	0
cell survival/drug effects	dose-response relationship drug	0.0003601294793559	0.000663231652646	0.0593220338983051	0.643193521582541	1	0
cell survival/drug effects	hemoglobins/chemistry	0.0003601294793559	0.000663231652646	0.059322033898305	0.643193521582541	1	0
cell survival/drug effects	iron/chemistry	4.9700118465168e-09	1.63751641163464e-08	0.0030421555845284	0.322337075728984	2	0
cell survival/drug effects	kidney	7.42235309241224e-05	0.0001517798011721	0.0593220338983051	0.643193521582541	1	0
cell survival/drug effects	malondialdehyde/metabolism	0.0034576698058652	0.0055062826679677	0.0593220338983051	0.643193521582541	1	0
cell survival/drug effects	mebendazole/analogs & derivatives	0.0024711672872856	0.0040126618430333	0.0593220338983051	0.643193521582541	1	0
cell survival/drug effects	mptp poisoning/drug therapy	6.38675546171807e-06	1.44420693108827e-05	0.0593220338983051	0.643193521582541	1	0
cell survival/drug effects	oxygen/analysis	0.0003601294793559	0.000663231652646	0.0593220338983051	0.643193521582541	1	0
cell survival/drug effects	pc12 cells	0.004657838120425	0.0071987456900829	0.115601912212082	0.643193521582541	1	0
cell survival/drug effects	phospholipid hydroperoxide glutathione peroxidase/biosynthesis	6.38675546171807e-06	1.44420693108827e-05	0.059322033898305	0.643193521582541	1	0
cell survival/drug effects	photosensitizing agents/analysis	0.0003601294793559	0.000663231652646	0.0593220338983051	0.643193521582541	1	0
cell survival/drug effects	prostatic neoplasms castration-resistant/drug therapy	4.56231215628655e-06	1.05017227858216e-05	0.0030421555845284	0.322337075728984	2	0
cell survival/drug effects	protein isoforms/genetics	0.0001765303011255	0.0003450590282329	0.0593220338983051	0.643193521582541	1	0
cell survival/drug effects	reactive oxygen species/metabolism	0.002508959403018	0.0040726712761183	0.0081397377180895	0.0434987478385336	4	0
cell survival/drug effects	receptor endothelin b/metabolism	6.38675546171807e-06	1.44420693108827e-05	0.0593220338983051	0.643193521582541	1	0
cell survival/drug effects	receptors androgen/genetics	0.0001765303011255	0.0003450590282329	0.0593220338983051	0.643193521582541	1	0
cell survival/drug effects	rna small interfering	0.0034576698058652	0.0055062826679677	0.0593220338983051	0.643193521582541	1	0
cell survival/drug effects	thioredoxins/administration & dosage	6.38675546171807e-06	1.44420693108827e-05	0.0593220338983051	0.643193521582541	1	0
cell survival/drug effects	transferrin/genetics	0.0034576698058652	0.0055062826679677	0.059322033898305	0.643193521582541	1	0
cell survival/drug effects	tumor suppressor protein p53/genetics	0.0024711672872856	0.0040126618430333	0.0593220338983051	0.643193521582541	1	0
mptp poisoning/drug therapy	pc12 cells	0.0	0.0	0.0169491525423728	0.643193521582541	1	0
mptp poisoning/drug therapy	phospholipid hydroperoxide glutathione peroxidase/biosynthesis	0.0	0.0	0.0084745762711864	0.643193521582541	1	0
mptp poisoning/drug therapy	thioredoxins/administration & dosage	0.0	0.0	0.0084745762711864	0.643193521582541	1	0
pc12 cells	anthracenes/pharmacology	1.11022302462516e-15	7.818087859824261e-15	0.0169491525423728	0.643193521582541	1	0
pc12 cells	cerebral cortex/drug effects	1.11022302462516e-15	7.818087859824261e-15	0.0169491525423728	0.643193521582541	1	0
pc12 cells	cyclohexylamines/pharmacology	8.18784176681575e-07	1.99696461109575e-06	0.0337534405331015	0.643193521582541	1	0
pc12 cells	lung/drug effects	1.11022302462516e-15	7.818087859824261e-15	0.0169491525423728	0.643193521582541	1	0
pc12 cells	neurons/drug effects	1.11022302462516e-15	7.818087859824261e-15	0.0169491525423728	0.643193521582541	1	0
pc12 cells	neurotoxicity syndromes/etiology	1.11022302462516e-15	7.818087859824261e-15	0.0169491525423728	0.643193521582541	1	0
pc12 cells	phenylenediamines/pharmacology	8.18784176681575e-07	1.99696461109575e-06	0.0337534405331015	0.643193521582541	1	0
pc12 cells	phospholipid hydroperoxide glutathione peroxidase/biosynthesis	0.0	0.0	0.0169491525423728	0.643193521582541	1	0
pc12 cells	thioredoxins/administration & dosage	0.0	0.0	0.0169491525423728	0.643193521582541	1	0
pc12 cells	zinc oxide/administration & dosage	1.11022302462516e-15	7.818087859824261e-15	0.0169491525423728	0.643193521582541	1	0
phospholipid hydroperoxide glutathione peroxidase/biosynthesis	thioredoxins/administration & dosage	0.0	0.0	0.0084745762711864	0.643193521582541	1	0
antitubercular agents/administration & dosage	chemical and drug induced liver injury/etiology	0.0	0.0	0.0084745762711864	0.643193521582541	1	0
antitubercular agents/administration & dosage	glutathione/therapeutic use	0.0	0.0	0.0084745762711864	0.643193521582541	1	0
antitubercular agents/administration & dosage	iron/administration & dosage	0.0	0.0	0.0084745762711864	0.643193521582541	1	0
antitubercular agents/administration & dosage	isoniazid/administration & dosage	0.0	0.0	0.0084745762711864	0.643193521582541	1	0
antitubercular agents/administration & dosage	liver/drug effects	5.92748072847371e-13	2.74047567266152e-12	0.0169491525423728	0.643193521582541	1	0
antitubercular agents/administration & dosage	rifampin/administration & dosage	0.0	0.0	0.0084745762711864	0.643193521582541	1	0
biomarkers tumor	antineoplastic agents/pharmacology	0.0028023171301814	0.0045187595550542	0.0832971171954223	0.643193521582541	1	0
biomarkers tumor	breast neoplasms/diagnosis	0.0	0.0	0.0169491525423728	0.643193521582541	1	0
biomarkers tumor	carcinoma hepatocellular/diagnosis	6.8833827526759706e-15	4.6393809341341604e-14	0.0169491525423728	0.643193521582541	1	0
biomarkers tumor	coenzyme a ligases/genetics	0.0	0.0	0.0169491525423728	0.643193521582541	1	0
biomarkers tumor	crispr-cas systems	6.8833827526759706e-15	4.6393809341341604e-14	0.0169491525423728	0.643193521582541	1	0
biomarkers tumor	ferroptosis/genetics	0.0002250279626806	0.0004312077318689	0.0669274228596261	0.643193521582541	1	0
biomarkers tumor	gene expression regulation neoplastic	0.005033230398565	0.0077494255078065	0.0832971171954223	0.643193521582541	1	0
biomarkers tumor	phospholipid hydroperoxide glutathione peroxidase/genetics	0.0028023171301814	0.0045187595550542	0.0832971171954223	0.643193521582541	1	0
biomarkers tumor	phosphotransferases (alcohol group acceptor)/antagonists & inhibitors	6.8833827526759706e-15	4.6393809341341604e-14	0.0169491525423728	0.643193521582541	1	0
breast neoplasms/diagnosis	coenzyme a ligases/genetics	0.0	0.0	0.0084745762711864	0.643193521582541	1	0
breast neoplasms/diagnosis	ferroptosis/genetics	2.07812914654326e-08	6.45836947136819e-08	0.0338983050847457	0.643193521582541	1	0
breast neoplasms/diagnosis	gene expression regulation neoplastic	1.69139099620574e-05	3.6453552961126e-05	0.0423728813559322	0.643193521582541	1	0
breast neoplasms/diagnosis	phospholipid hydroperoxide glutathione peroxidase/genetics	4.83383681737504e-06	1.11109843448437e-05	0.0423728813559322	0.643193521582541	1	0
cation transport proteins	cyclooxygenase 2	0.0	0.0	0.0084745762711864	0.643193521582541	1	0
cation transport proteins	ethanol	0.0	0.0	0.0084745762711864	0.643193521582541	1	0
cd4-positive t-lymphocytes	cd8-positive t-lymphocytes	0.0	0.0	0.0084745762711864	0.643193521582541	1	0
cd4-positive t-lymphocytes	colorectal neoplasms/drug therapy	6.91829140642142e-08	1.89610990008389e-07	0.0338983050847457	0.643193521582541	1	0
cd8-positive t-lymphocytes	colorectal neoplasms/drug therapy	6.91829140642142e-08	1.89610990008389e-07	0.0338983050847457	0.643193521582541	1	0
chemical and drug induced liver injury/etiology	glutathione/therapeutic use	0.0	0.0	0.0084745762711864	0.643193521582541	1	0
chemical and drug induced liver injury/etiology	iron/administration & dosage	0.0	0.0	0.0084745762711864	0.643193521582541	1	0
chemical and drug induced liver injury/etiology	isoniazid/administration & dosage	0.0	0.0	0.0084745762711864	0.643193521582541	1	0
chemical and drug induced liver injury/etiology	liver/drug effects	5.92748072847371e-13	2.74047567266152e-12	0.0169491525423728	0.643193521582541	1	0
chemical and drug induced liver injury/etiology	rifampin/administration & dosage	0.0	0.0	0.0084745762711864	0.643193521582541	1	0
