KW	category	node_weight	occurrence	btw_cnt	cls_cnt	strength	qscore	Knode	ranking
1-methyl-4-phenylpyridinium/toxicity	MESH	0.0084745762711864	1	0	0.424088850610342	1.78403239208729	0.0887874681122449	5.92142449364674	296
a549 cells	MESH	0.0084745762711864	1	8.83815953438595	0.401576024872429	3.21125830575713	0.256377551020408	8.24979777154409	190
activating transcription factor 4/genetics	MESH	0.0084745762711864	1	0	0.469511436588813	3.21125830575713	0.216318558673469	10.6755800331349	91
activating transcription factor 4/metabolism	MESH	0.0084745762711864	1	0	0.386872561661154	2.14083887050475	0.116230867346939	6.90158805190304	230
adamts9 protein/physiology	MESH	0.0084745762711864	1	11.0040237540237	0.422911344310134	3.92487126259205	0.324477838010204	12.1654234604506	28
adenine/administration & dosage	MESH	0.0084745762711864	1	0	0.447244075571002	3.21125830575713	0.216318558673469	8.65921312314881	180
adenosine triphosphate	MESH	0.0084745762711864	1	61.7884615384615	0.550816780169105	1.42722591366984	0.07080078125	5.27253334808238	341
adenosine triphosphate/metabolism	MESH	0.0084745762711864	1	21.3611111111111	0.533923256272085	3.56806478417459	0.335170200892857	11.0112266016474	82
aging/genetics	MESH	0.0084745762711864	1	244.36324283523	0.555438409630152	4.28167774100951	0.571612922512755	6.07309767878198	282
alcohol oxidoreductases/genetics	MESH	0.0084745762711864	1	315.93284368971	0.570289669484008	3.56806478417459	0.525151466836735	10.2523989869823	115
amino acid transport system y+/analysis	MESH	0.0084745762711864	1	0	0.47120002600123	2.49764534892221	0.146902901785714	7.65962937984406	208
amino acid transport system y+/antagonists & inhibitors	MESH	0.0084745762711864	1	68.543825249398	0.535280828817535	3.56806478417459	0.392319036989796	6.5640601519246	240
amino acid transport system y+/genetics	MESH	0.0169491525423728	2	1375.49037086073	0.528458279009895	5.31614714369798	0.761599170918367	10.8324653547985	87
amino acid transport system y+/metabolism	MESH	0.0169491525423728	2	868.915939452704	0.442496653478329	5.70890365467935	0.759227519132653	10.8756893909707	84
aminolevulinic acid/pharmacology	MESH	0.0084745762711864	1	0	0.562433645354044	1.42722591366984	0.0468152104591837	4.30304639039573	391
amp-activated protein kinases/metabolism	MESH	0.0084745762711864	1	0	0.489735686304569	3.21125830575713	0.216318558673469	11.6085917710862	56
amyotrophic lateral sclerosis/drug therapy	MESH	0.0084745762711864	1	0	0.365721711945149	1.42722591366984	0.0468152104591837	5.81776109023776	307
androgen antagonists/pharmacology	MESH	0.0084745762711864	1	49.8835114625001	0.466551429769196	4.28167774100951	0.418596540178571	11.7565050938387	44
androstenes/pharmacology	MESH	0.0084745762711864	1	49.8835114625001	0.466551429769196	4.28167774100951	0.418596540178571	11.7565050938387	46
aniline compounds/pharmacology	MESH	0.0084745762711864	1	13.386346986347	0.468119854863496	4.28167774100951	0.371108697385204	10.5899532151094	107
anthelmintics/pharmacology	MESH	0.0084745762711864	1	409.251170282743	0.521191816393225	3.56806478417459	0.551409040178571	11.1962292111949	68
anthracenes/pharmacology	MESH	0.0084745762711864	1	0	0.36400844602017	2.85445182733967	0.179996412627551	5.87970219076502	301
antibiotics antineoplastic/administration & dosage	MESH	0.0084745762711864	1	0	0.464931541774025	1.42722591366984	0.0468152104591837	3.17155443624085	440
antibodies monoclonal/metabolism	MESH	0.0084745762711864	1	0	1.55474202777969	2.14083887050475	1	0	5
antigens/metabolism	MESH	0.0084745762711864	1	0	1.55474202777969	2.14083887050475	1	0	7
antimalarials/pharmacology	MESH	0.0084745762711864	1	375.84311007541	0.551681710273397	2.49764534892221	0.320103236607143	9.02370521462205	166
antimetabolites antineoplastic/pharmacology	MESH	0.0084745762711864	1	262.318328980057	0.455212675928531	1.78403239208729	0.179219148596939	10.6038009075511	98
antineoplastic agents	MESH	0.0169491525423728	2	1322.74629046276	0.586376829116504	4.99529069784443	0.745899433992347	9.51756273836266	154
antineoplastic agents phytogenic/isolation & purification	MESH	0.0084745762711864	1	0	0.489735686304569	3.21125830575713	0.216318558673469	11.6085917710862	54
antineoplastic agents/administration & dosage	MESH	0.0423728813559322	5	3156.74689003806	0.630386493833678	7.42103598163884	0.889339524872449	6.80534438119246	235
antineoplastic agents/adverse effects	MESH	0.0169491525423728	2	924.670989974937	0.594757119116339	2.49764534892221	0.345493861607143	5.65594479931943	316
antineoplastic agents/analysis	MESH	0.0084745762711864	1	75.9680264180264	0.455128658246749	2.49764534892221	0.242117745535714	6.95441798508943	226
antineoplastic agents/chemistry	MESH	0.0423728813559322	5	2177.11836066233	0.581486801173635	8.84826189530867	0.872359295280612	7.77468050725265	202
antineoplastic agents/pharmacology	MESH	0.0423728813559322	5	3859.56302970854	0.575553002004691	9.43337077855709	0.93196946747449	12.2549913950337	27
antineoplastic agents/therapeutic use	MESH	0.0338983050847457	4	10695.2349034351	0.756679545589746	6.57891895121741	0.902921715561224	4.93104159556454	369
antioxidants/pharmacology	MESH	0.0254237288135593	3	2373.27790113596	0.476898647568825	5.67295362211544	0.822953204719388	7.72847108446731	206
antitubercular agents/administration & dosage	MESH	0.0084745762711864	1	0	0.971713767362307	2.14083887050475	0.3515625	-0.1280517578125	15
apoptosis	MESH	0.0423728813559322	5	2305.26923076923	0.803304729418806	7.56652902904892	0.8642578125	4.47204327027249	377
apoptosis/drug effects	MESH	0.0847457627118644	10	2886.85397757874	0.532146572638997	9.43337077855709	0.916797871492347	9.45358252517894	156
apoptosis/genetics	MESH	0.0084745762711864	1	0	0.469511436588813	3.21125830575713	0.216318558673469	10.6755800331349	95
artemisinins/pharmacology	MESH	0.0254237288135593	3	690.97619047619	0.541170872012204	5.67295362211544	0.731734295280612	11.0375728322436	80
artesunate/administration & dosage	MESH	0.0169491525423728	2	514.491083371869	0.518333398773222	3.56806478417459	0.566854671556122	10.8483401993721	85
artesunate/pharmacology	MESH	0.0084745762711864	1	375.84311007541	0.551681710273397	2.49764534892221	0.320103236607143	9.02370521462205	165
arthritis rheumatoid/genetics	MESH	0.0084745762711864	1	101.435853115317	0.500980255335357	3.21125830575713	0.369878029336735	7.80305036769626	199
ascorbic acid/pharmacology	MESH	0.0084745762711864	1	24.5	0.483737703914697	1.78403239208729	0.120575573979592	5.32066834593561	331
asthma/chemically induced	MESH	0.0084745762711864	1	0	0.447244075571002	3.21125830575713	0.216318558673469	8.65921312314881	174
autophagy	MESH	0.0254237288135593	3	478.096153846154	0.678625682564358	2.78255176221187	0.331891741071429	5.23552659048442	343
autophagy/drug effects	MESH	0.0338983050847457	4	4066.99813526795	0.529316451638227	9.43337077855709	0.936304209183674	9.89059297356308	125
azo compounds/chemistry	MESH	0.0084745762711864	1	0	0.557755605858455	3.56806478417459	0.250219228316327	4.959296219774	365
b7-h1 antigen/antagonists & inhibitors	MESH	0.0084745762711864	1	13.386346986347	0.468119854863496	4.28167774100951	0.371108697385204	10.5899532151094	103
b7-h1 antigen/metabolism	MESH	0.0084745762711864	1	35.4	0.582371641680518	2.14083887050475	0.161431760204082	5.41683877869885	325
benzamides/pharmacology	MESH	0.0084745762711864	1	49.8835114625001	0.466551429769196	4.28167774100951	0.418596540178571	11.7565050938387	42
benzophenanthridines/pharmacology	MESH	0.0084745762711864	1	131.693141669849	0.498868761039137	3.56806478417459	0.45719068877551	9.74912472696721	135
benzylidene compounds/pharmacology	MESH	0.0084745762711864	1	13.386346986347	0.468119854863496	4.28167774100951	0.371108697385204	10.5899532151094	100
beta catenin/antagonists & inhibitors	MESH	0.0084745762711864	1	262.318328980057	0.455212675928531	1.78403239208729	0.179219148596939	10.6038009075511	97
bevacizumab/therapeutic use	MESH	0.0084745762711864	1	244.36324283523	0.555438409630152	4.28167774100951	0.571612922512755	6.07309767878198	281
biflavonoids/administration & dosage	MESH	0.0084745762711864	1	8.83815953438595	0.401576024872429	3.21125830575713	0.256377551020408	8.24979777154409	184
biological products	MESH	0.0084745762711864	1	457.190729188161	0.599580004935083	2.85445182733967	0.403325294961735	7.21045598952496	215
biological transport	MESH	0.0084745762711864	1	0	0.376198685422721	1.78403239208729	0.0887874681122449	9.76942753327591	129
biomarkers tumor	MESH	0.0169491525423728	2	1127.48893316825	0.473189148466609	3.21125830575713	0.520766900510204	14.0756284970634	1
biomarkers tumor/metabolism	MESH	0.0084745762711864	1	61.7884615384615	0.550816780169105	1.42722591366984	0.07080078125	5.27253334808238	340
biomarkers/chemistry	MESH	0.0084745762711864	1	0	0.541886217782656	3.21125830575713	0.216318558673469	5.18229497908958	353
biomarkers/metabolism	MESH	0.0084745762711864	1	0	1.55474202777969	2.14083887050475	1	0	4
blood cells/drug effects	MESH	0.0084745762711864	1	0	1.55474202777969	0.356806478417459	1	0	2
bone neoplasms/drug therapy	MESH	0.0084745762711864	1	0	0.534185164292651	1.78403239208729	0.0887874681122449	4.07166533435905	412
brain neoplasms/genetics	MESH	0.0084745762711864	1	0	0.372665293250581	1.78403239208729	0.0887874681122449	9.7520644611143	132
brain neoplasms/prevention & control	MESH	0.0084745762711864	1	0	0.380726211213217	1.42722591366984	0.0468152104591837	5.38351300893756	329
breast neoplasms/diagnosis	MESH	0.0084745762711864	1	135.003543264524	0.427221496319189	1.78403239208729	0.163325095663265	12.5957238145642	20
breast neoplasms/drug therapy	MESH	0.0338983050847457	4	2790.79550387241	0.502734498167464	6.0657101330968	0.84953463807398	6.8580246057575	234
breast neoplasms/pathology	MESH	0.0084745762711864	1	61.7884615384615	0.550816780169105	1.42722591366984	0.07080078125	5.27253334808238	342
breast neoplasms/therapy	MESH	0.0084745762711864	1	0	0.541759918453388	1.42722591366984	0.0468152104591837	4.34440631620202	386
bronchi/cytology	MESH	0.0084745762711864	1	0	0.447244075571002	3.21125830575713	0.216318558673469	8.65921312314881	177
calreticulin/metabolism	MESH	0.0084745762711864	1	24.5	0.483737703914697	1.78403239208729	0.120575573979592	5.32066834593561	332
carbolines/administration & dosage	MESH	0.0169491525423728	2	846.160999800894	0.53208377735736	3.53211475161069	0.511743662308674	9.04861694015804	164
carbolines/pharmacology	MESH	0.0084745762711864	1	49.8835114625001	0.466551429769196	4.28167774100951	0.418596540178571	11.7565050938387	49
carbon monoxide/administration & dosage	MESH	0.0084745762711864	1	0	0.464931541774025	1.42722591366984	0.0468152104591837	3.17155443624085	439
carbon/pharmacology	MESH	0.0084745762711864	1	457.190729188161	0.599580004935083	2.85445182733967	0.403325294961735	7.21045598952496	214
carbonic anhydrase ix/metabolism	MESH	0.0084745762711864	1	0	0.533105182627279	0.713612956834918	0.0113002232142857	4.20151364892694	402
carcinogenesis/drug effects	MESH	0.0254237288135593	3	1046.01040813901	0.494982825994703	5.67295362211544	0.769411670918367	9.06650355308078	163
carcinoma hepatocellular/diagnosis	MESH	0.0084745762711864	1	24.9322344322344	0.479121975746167	2.14083887050475	0.15999681122449	13.3140942003518	4
carcinoma hepatocellular/diagnostic imaging	MESH	0.0084745762711864	1	0	0.533950204463987	1.78403239208729	0.0887874681122449	3.9857491587958	425
carcinoma hepatocellular/drug therapy	MESH	0.0254237288135593	3	1805.15951532862	0.600930515151045	4.99529069784443	0.762894610969388	6.42401855106613	258
carcinoma hepatocellular/metabolism	MESH	0.0084745762711864	1	0	1.11053001984264	3.21125830575713	0.87890625	0.138320922851562	4
carcinoma non-small-cell lung/drug therapy	MESH	0.0084745762711864	1	8.83815953438595	0.401576024872429	3.21125830575713	0.256377551020408	8.24979777154409	186
carcinoma pancreatic ductal/drug therapy	MESH	0.0084745762711864	1	21.3611111111111	0.533923256272085	3.56806478417459	0.335170200892857	11.0112266016474	81
