"entity"	"membership"
"1-methyl-4-phenylpyridinium/toxicity"	1
"EDN3"	1
"EDNRB"	1
"MAPK8"	1
"TP53"	1
"anthelmintics/pharmacology"	1
"anthracenes/pharmacology"	1
"antineoplastic agents/pharmacology"	1
"benzophenanthridines/pharmacology"	1
"cation transport proteins/genetics"	1
"cell cycle/drug effects"	1
"cell survival/drug effects"	1
"cerebral cortex/drug effects"	1
"cyclohexylamines/pharmacology"	1
"digestive system diseases/drug therapy"	1
"diosgenin/analogs & derivatives"	1
"docetaxel/pharmacology"	1
"gene expression regulation/drug effects"	1
"gene regulatory networks/drug effects"	1
"iron/chemistry"	1
"lung/drug effects"	1
"malondialdehyde/metabolism"	1
"mebendazole/analogs & derivatives"	1
"mptp poisoning/drug therapy"	1
"nervous system diseases/drug therapy"	1
"neurons/drug effects"	1
"neurotoxicity syndromes/etiology"	1
"pc12 cells"	1
"phenylenediamines/pharmacology"	1
"phospholipid hydroperoxide glutathione peroxidase/biosynthesis"	1
"prostatic neoplasms castration-resistant/drug therapy"	1
"protein isoforms/genetics"	1
"reactive oxygen species/metabolism"	1
"receptor endothelin b/metabolism"	1
"receptors androgen/genetics"	1
"rna small interfering"	1
"thioredoxins/administration & dosage"	1
"transferrin/genetics"	1
"tumor suppressor protein p53/genetics"	1
"urologic diseases/drug therapy"	1
"zinc oxide/administration & dosage"	1
"ACSL4"	2
"CD47"	2
"GPX4"	2
"MCU"	2
"SLC39A14"	2
"TF"	2
"TFRC"	2
"VDAC1"	2
"antibodies monoclonal/metabolism"	2
"antigens/metabolism"	2
"antitubercular agents/administration & dosage"	2
"biomarkers/metabolism"	2
"carcinoma hepatocellular/metabolism"	2
"cation transport proteins"	2
"cd47 antigen/metabolism"	2
"cell membrane/drug effects"	2
"chemical and drug induced liver injury/etiology"	2
"cyclooxygenase 2"	2
"ethanol"	2
"exosomes/metabolism"	2
"fluorescent dyes/metabolism"	2
"glutathione/therapeutic use"	2
"golgi apparatus/metabolism"	2
"hek293 cells/metabolism"	2
"heterografts"	2
"iron overload/drug therapy"	2
"iron/administration & dosage"	2
"isoniazid/administration & dosage"	2
"kidney/drug effects"	2
"liver/drug effects"	2
"phospholipid hydroperoxide glutathione peroxidase"	2
"piperazine/pharmacology"	2
"piperazines/metabolism"	2
"receptors transferrin/metabolism"	2
"rifampin/administration & dosage"	2
"rose bengal/metabolism"	2
"ADAMTS9-AS1"	3
"ERBB2"	3
"HSPB1"	3
"HSPB2"	3
"IFNG"	3
"MIR6516"	3
"MMP2"	3
"SRF"	3
"adamts9 protein/physiology"	3
"antineoplastic agents/analysis"	3
"biomarkers tumor"	3
"brain neoplasms/genetics"	3
"brain neoplasms/prevention & control"	3
"breast neoplasms/diagnosis"	3
"breast neoplasms/drug therapy"	3
"cell membrane"	3
"cell movement/genetics"	3
"cell proliferation/genetics"	3
"cells cultured"	3
"coenzyme a ligases/genetics"	3
"dose-response relationship drug"	3
"endometriosis/genetics"	3
"endometrium/cytology"	3
"ferroptosis/genetics"	3
"gene expression/genetics"	3
"glioblastoma/genetics"	3
"hemoglobins/chemistry"	3
"hsp27 heat-shock proteins/genetics"	3
"hydrogen peroxide/therapeutic use"	3
"isografts"	3
"metal-organic frameworks/therapeutic use"	3
"micrornas/genetics"	3
"oxygen/analysis"	3
"phospholipid hydroperoxide glutathione peroxidase/genetics"	3
"photosensitizing agents/analysis"	3
"piperazines"	3
"quinolines/pharmacology"	3
"receptor erbb-2/antagonists & inhibitors"	3
"rna long noncoding/physiology"	3
"stromal cells/physiology"	3
"CASP9"	4
"CTNNB1"	4
"GCLC"	4
"GCLM"	4
"HMOX1"	4
"NOX1"	4
"TCF7L2"	4
"amyotrophic lateral sclerosis/drug therapy"	4
"antimetabolites antineoplastic/pharmacology"	4
"antioxidants/pharmacology"	4
"beta catenin/antagonists & inhibitors"	4
"carcinogenesis/drug effects"	4
"cd4-positive t-lymphocytes"	4
"cd8-positive t-lymphocytes"	4
"colorectal neoplasms/drug therapy"	4
"depression chemical"	4
"diterpenes/pharmacology"	4
"edaravone/pharmacology"	4
"energy metabolism/drug effects"	4
"fluorouracil/pharmacology"	4
"lipids/chemistry"	4
"liver neoplasms/drug therapy"	4
"methylene blue/pharmacology"	4
"motor neurons/drug effects"	4
"neuroprotective agents/pharmacology"	4
"organoids/drug effects"	4
"plant extracts/pharmacology"	4
"proanthocyanidins/metabolism"	4
"sorafenib/pharmacology"	4
"triple negative breast neoplasms/pathology"	4
"ATF4"	5
"CBR1"	5
