KW	category	node_weight	occurrence
porphyrins/pharmacology	MESH	0.025423728813559324	3
apoptosis	MESH	0.0423728813559322	5
esters	MESH	0.00847457627118644	1
iron	MESH	0.03389830508474576	4
bone neoplasms/drug therapy	MESH	0.00847457627118644	1
ferric compounds	MESH	0.01694915254237288	2
tissue distribution	MESH	0.03389830508474576	4
neoplasms/diagnostic imaging	MESH	0.03389830508474576	4
photosensitizing agents/pharmacology	MESH	0.11864406779661017	14
ferroptosis	MESH	0.3559322033898305	42
osteosarcoma/drug therapy	MESH	0.00847457627118644	1
ferritins	MESH	0.00847457627118644	1
photosensitizing agents/therapeutic use	MESH	0.03389830508474576	4
SDHD	GENE	0.00847457627118644	1
carcinoma hepatocellular/drug therapy	MESH	0.025423728813559324	3
sorafenib/pharmacology	MESH	0.01694915254237288	2
doxorubicin	MESH	0.00847457627118644	1
hemin/pharmacology	MESH	0.01694915254237288	2
mitochondria	MESH	0.01694915254237288	2
glutathione	MESH	0.03389830508474576	4
oxides	MESH	0.00847457627118644	1
manganese compounds	MESH	0.00847457627118644	1
coordination complexes/pharmacology	MESH	0.00847457627118644	1
iridium/pharmacology	MESH	0.00847457627118644	1
hypoxia	MESH	0.00847457627118644	1
mitochondria/drug effects	MESH	0.05084745762711865	6
mitochondrial membrane transport proteins/genetics	MESH	0.00847457627118644	1
carcinoma pancreatic ductal/drug therapy	MESH	0.00847457627118644	1
iron-binding proteins/genetics	MESH	0.00847457627118644	1
adenosine triphosphate/metabolism	MESH	0.00847457627118644	1
biological products	MESH	0.00847457627118644	1
indoles/pharmacology	MESH	0.00847457627118644	1
drug resistance neoplasm	MESH	0.0423728813559322	5
rna interference	MESH	0.00847457627118644	1
iron/metabolism	MESH	0.11864406779661017	14
protein kinase inhibitors/pharmacology	MESH	0.00847457627118644	1
erlotinib hydrochloride/pharmacology	MESH	0.00847457627118644	1
glutathione peroxidase/metabolism	MESH	0.00847457627118644	1
monocarboxylic acid transporters/genetics	MESH	0.00847457627118644	1
glutaredoxins/antagonists & inhibitors	MESH	0.00847457627118644	1
carbon/pharmacology	MESH	0.00847457627118644	1
dna damage	MESH	0.00847457627118644	1
