kw1	kw2	pg	crit_p	edge_weight	inv_edge_weight	R1C1	iteration
1-methyl-4-phenylpyridinium/toxicity	cell survival/drug effects	6.38675546171807e-06	1.44420693108827e-05	0.0593220338983051	0.643193521582541	1	0
1-methyl-4-phenylpyridinium/toxicity	mptp poisoning/drug therapy	0	0	0.0084745762711864	0.643193521582541	1	0
1-methyl-4-phenylpyridinium/toxicity	pc12 cells	0	0	0.0169491525423728	0.643193521582541	1	0
1-methyl-4-phenylpyridinium/toxicity	phospholipid hydroperoxide glutathione peroxidase/biosynthesis	0	0	0.0084745762711864	0.643193521582541	1	0
1-methyl-4-phenylpyridinium/toxicity	thioredoxins/administration & dosage	0	0	0.0084745762711864	0.643193521582541	1	0
ACSL4	GPX4	1.41345257809178e-06	3.37635020247119e-06	0.0001505114457113	0.0123899221684959	5	0
ACSL4	IFNG	0.0005381208198234	0.0009762705714815	0.122810172488723	0.643193521582541	1	0
ACSL4	MCU	0	0	0.0423728813559322	0.643193521582541	1	0
ACSL4	NOX1	1.67049152288712e-10	6.14826676059587e-10	0.0423728813559322	0.643193521582541	1	0
ACSL4	SLC39A14	1.88690625346766e-08	5.9017292510577e-08	0.0423728813559322	0.643193521582541	1	0
ACSL4	TFRC	0.0009266215874724	0.0016195936139717	0.122810172488723	0.643193521582541	1	0
ACSL4	VDAC1	1.88690625346766e-08	5.9017292510577e-08	0.0423728813559322	0.643193521582541	1	0
ACSL4	antitubercular agents/administration & dosage	9.95067602760358e-08	2.67602893391348e-07	0.0423728813559322	0.643193521582541	1	0
ACSL4	biomarkers tumor	8.31630931339422e-05	0.0001694204652348	0.0832971171954223	0.643193521582541	1	0
ACSL4	breast neoplasms/diagnosis	2.3767549039988e-09	8.04859391743305e-09	0.0423728813559322	0.643193521582541	1	0
ACSL4	cation transport proteins	1.88690625346766e-08	5.9017292510577e-08	0.0423728813559322	0.643193521582541	1	0
