entity	category	node_weight	occurrence	btw_cnt	cls_cnt	strength	qscore	Knode	ranking	repGM	repGT
CBR1	GENE	0.0084745762711864	1	306.146283111585	0.562745920036411	4.28167774100951	0.509162751231621	12.624763889001	102	1.0983567721232743	8.47457627118644
CASP9	GENE	0.0084745762711864	1	89.4266413467545	0.473031664087165	3.92487126259205	0.359573080381454	15.9395670034821	13	1.0983567721232743	8.47457627118644
CDH1	GENE	0.0084745762711864	1	63.4876913896645	0.484709621552611	5.35209717626189	0.433144210432999	14.8700178075722	33	1.0983567721232743	8.47457627118644
VIM	GENE	0.0084745762711864	1	63.4876913896645	0.484709621552611	5.35209717626189	0.433144210432999	14.8700178075722	34	1.0983567721232743	8.47457627118644
GCLC	GENE	0.0254237288135593	3	2654.01433125873	0.546666884850771	8.96871420244792	0.862561897645673	14.3920951108911	52	1.0983567721232743	8.47457627118644
GALNT14	GENE	0.0084745762711864	1	245.280132955326	0.502655391502831	3.92487126259205	0.433194868352731	14.8747589766052	22	1.0983567721232743	8.47457627118644
HMOX1	GENE	0.0423728813559322	5	3417.30847189007	0.546611522026128	10.9091489342384	0.904180544825927	13.9727436026437	55	1.0983567721232743	8.47457627118644
GCLM	GENE	0.0169491525423728	2	138.327770609261	0.498565087008288	6.63552295967611	0.588119451374729	16.787161421101	2	1.0983567721232743	8.47457627118644
GLS	GENE	0.0084745762711864	1	63.4876913896645	0.484709621552611	5.35209717626189	0.433144210432999	14.8700178075722	28	1.0983567721232743	8.47457627118644
EGFR	GENE	0.0254237288135593	3	1947.0146699114	0.507231751078283	9.95463136312495	0.845002596218386	16.8621679004959	1	1.0983567721232743	8.47457627118644
MMP9	GENE	0.0084745762711864	1	63.4876913896645	0.484709621552611	5.35209717626189	0.433144210432999	14.8700178075722	32	1.0983567721232743	8.47457627118644
MTOR	GENE	0.0169491525423728	2	280.016251803752	0.503900028387437	4.95934066528052	0.585402920429072	13.9121173185325	57	1.0983567721232743	8.47457627118644
CDH2	GENE	0.0084745762711864	1	63.4876913896645	0.484709621552611	5.35209717626189	0.433144210432999	14.8700178075722	29	1.0983567721232743	8.47457627118644
FTH1	GENE	0.0338983050847457	4	1584.90838489783	0.543949099745439	9.59782488470749	0.825344157242183	13.8282956850042	58	1.0983567721232743	8.47457627118644
CTNNB1	GENE	0.0084745762711864	1	89.4266413467545	0.473031664087165	3.92487126259205	0.359573080381454	15.9395670034821	16	1.0983567721232743	8.47457627118644
SLC40A1	GENE	0.0084745762711864	1	63.4876913896645	0.484709621552611	5.35209717626189	0.433144210432999	14.8700178075722	36	1.0983567721232743	8.47457627118644
TCF7L2	GENE	0.0084745762711864	1	89.4266413467545	0.473031664087165	3.92487126259205	0.359573080381454	15.9395670034821	15	1.0983567721232743	8.47457627118644
