PMID	kw1	kw2	link	link_explicit	QuerySet
33634378	1-methyl-4-phenylpyridinium/toxicity	cell survival/drug effects	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/33634378/"", ""33634378"")"	https://pubmed.ncbi.nlm.nih.gov/33634378	pmid-ferroptosi-set.txt
33634378	1-methyl-4-phenylpyridinium/toxicity	mptp poisoning/drug therapy	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/33634378/"", ""33634378"")"	https://pubmed.ncbi.nlm.nih.gov/33634378	pmid-ferroptosi-set.txt
33634378	1-methyl-4-phenylpyridinium/toxicity	pc12 cells	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/33634378/"", ""33634378"")"	https://pubmed.ncbi.nlm.nih.gov/33634378	pmid-ferroptosi-set.txt
33634378	1-methyl-4-phenylpyridinium/toxicity	phospholipid hydroperoxide glutathione peroxidase/biosynthesis	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/33634378/"", ""33634378"")"	https://pubmed.ncbi.nlm.nih.gov/33634378	pmid-ferroptosi-set.txt
33634378	1-methyl-4-phenylpyridinium/toxicity	thioredoxins/administration & dosage	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/33634378/"", ""33634378"")"	https://pubmed.ncbi.nlm.nih.gov/33634378	pmid-ferroptosi-set.txt
31613630	cell survival/drug effects	EDN3	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/31613630/"", ""31613630"")"	https://pubmed.ncbi.nlm.nih.gov/31613630	pmid-ferroptosi-set.txt
31613630	cell survival/drug effects	EDNRB	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/31613630/"", ""31613630"")"	https://pubmed.ncbi.nlm.nih.gov/31613630	pmid-ferroptosi-set.txt
32155051	cell survival/drug effects	MMP2	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/32155051/"", ""32155051"")"	https://pubmed.ncbi.nlm.nih.gov/32155051	pmid-ferroptosi-set.txt
32155051	cell survival/drug effects	SRF	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/32155051/"", ""32155051"")"	https://pubmed.ncbi.nlm.nih.gov/32155051	pmid-ferroptosi-set.txt
33197601	cell survival/drug effects	TP53	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/33197601/"", ""33197601"")"	https://pubmed.ncbi.nlm.nih.gov/33197601	pmid-ferroptosi-set.txt
33197601	cell survival/drug effects	anthelmintics/pharmacology	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/33197601/"", ""33197601"")"	https://pubmed.ncbi.nlm.nih.gov/33197601	pmid-ferroptosi-set.txt
32155051	cell survival/drug effects	antineoplastic agents/analysis	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/32155051/"", ""32155051"")"	https://pubmed.ncbi.nlm.nih.gov/32155051	pmid-ferroptosi-set.txt
34473493	cell survival/drug effects	b7-h1 antigen/metabolism	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/34473493/"", ""34473493"")"	https://pubmed.ncbi.nlm.nih.gov/34473493	pmid-ferroptosi-set.txt
33878610	cell survival/drug effects	benzophenanthridines/pharmacology	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/33878610/"", ""33878610"")"	https://pubmed.ncbi.nlm.nih.gov/33878610	pmid-ferroptosi-set.txt
33878610	cell survival/drug effects	cation transport proteins/genetics	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/33878610/"", ""33878610"")"	https://pubmed.ncbi.nlm.nih.gov/33878610	pmid-ferroptosi-set.txt
33197601	cell survival/drug effects	cell cycle/drug effects	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/33197601/"", ""33197601"")"	https://pubmed.ncbi.nlm.nih.gov/33197601	pmid-ferroptosi-set.txt
29431006	cell survival/drug effects	cell cycle/drug effects	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/29431006/"", ""29431006"")"	https://pubmed.ncbi.nlm.nih.gov/29431006	('cell differentiation', 'neoplastic stem cells/drug effects', 'reactive oxygen species/metabolism')
33878610	cell survival/drug effects	diosgenin/analogs & derivatives	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/33878610/"", ""33878610"")"	https://pubmed.ncbi.nlm.nih.gov/33878610	pmid-ferroptosi-set.txt
