"KW"	"category"	"node_weight"	"occurrence"	"btw_cnt"	"cls_cnt"	"strength"	"qscore"	"Knode"	"ranking"	"CommunityMembership"
"1-methyl-4-phenylpyridinium/toxicity"	"MESH"	0.0084745762711864	1	0	0.647129803788748	1.78403239208729	0.0722116908103214	135.931527134606	270	1
"3t3-l1 cells"	"MESH"	0.0057142857142857	1	0	0.748781097408571	4.69851187640561	0.373238739248529	135.079371252703	284	2
"44'-diisothiocyanostilbene-22'-disulfonic acid/pharmacology"	"MESH"	0.0057142857142857	1	0	0.746827311718792	6.26468250187414	0.457630715255772	104.340994826442	516	3
"ACSL4"	"GENE"	0.0285714285714285	5	10196	1.32769804594913	11.1869022235213	0.876764797419647	63.1956384060837	724	2
"ADAMTS9-AS1"	"GENE"	0.0084745762711864	1	0	0.739504709682443	4.63848421942697	0.348878168854685	113.303484983737	435	4
"AKT1"	"GENE"	0.0057142857142857	1	0	0.780664417289276	4.30696922003847	0.29928700769579	129.970609358762	316	5
"ATF4"	"GENE"	0.0169491525423728	2	253.666666666667	0.708813187319797	7.45698601420274	0.703995020371209	179.109730257757	15	4
"BAX"	"GENE"	0.0057142857142857	1	0	0.753341824645407	5.09005453277274	0.413259676324129	109.814429732787	478	3
"BCL2"	"GENE"	0.0057142857142857	1	0	0.74992367840984	4.30696922003847	0.29928700769579	111.434950683186	464	2
"BLVRB"	"GENE"	0.0171428571428571	3	412.166666666666	0.838765594048669	7.98219543674	0.733248571186057	152.380957453756	154	6
"BMI1"	"GENE"	0.0057142857142857	1	0	0.673528807627099	4.69851187640561	0.373238739248529	155.613156377723	133	7
"CA2"	"GENE"	0.0057142857142857	1	0	0.650401006176201	6.65622515824128	0.507221876414667	178.617104836407	18	8
"CALR"	"GENE"	0.0057142857142857	1	0	0.668380622614701	2.3492559382028	0.0983123019465822	141.760662887005	223	7
"CASP3"	"GENE"	0.0171428571428571	3	2657.41666666667	0.905685079746974	14.1108861254934	0.870147691263015	163.938711604552	92	9
"CASP9"	"GENE"	0.0114285714285714	2	113.666666666667	0.754561851442771	8.72759167284668	0.698690018107741	118.317303353272	412	10
"CBR1"	"GENE"	0.0057142857142857	1	2.93333333333333	0.717855872389443	4.62903952050626	0.338055964237211	176.479663848614	31	6
"CCL2"	"GENE"	0.0057142857142857	1	0	0.781475281624978	5.09005453277274	0.413259676324129	128.06615046956	332	2
"CD274"	"GENE"	0.04	7	5568.83333333333	1.19883443967681	19.4347153973593	0.925478864870982	72.4288176922898	715	2
"CD47"	"GENE"	0.0114285714285714	2	5676.75	0.75428645117053	5.56051424395994	0.619535847668628	97.0627400729554	634	11
"CDH1"	"GENE"	0.0057142857142857	1	0	0.750971486989379	6.65622515824128	0.507221876414667	158.895967003832	113	10
"CDH2"	"GENE"	0.0114285714285714	2	328.666666666667	0.749309625258173	10.9631943782798	0.774388863739249	159.468866039281	106	10
"CDKN2A"	"GENE"	0.0114285714285714	2	98	0.783079015058562	10.8937220223804	0.724154028972386	141.12588456959	240	5
"CTNNB1"	"GENE"	0.0084745762711864	1	0	0.694362734614472	3.92487126259205	0.269706315074694	121.086000613304	400	10
"DENR"	"GENE"	0.0114285714285714	2	142.083333333333	0.722070300162082	11.2991387256851	0.758063603440471	186.351923010156	9	4
"DNM1L"	"GENE"	0.0114285714285714	2	142.083333333333	0.722070300162082	11.2991387256851	0.758063603440471	186.351923010156	11	4
"EDN3"	"GENE"	0.0084745762711864	1	0	0.63986955639195	1.78403239208729	0.0722116908103214	129.442580909128	321	6
"EDNRB"	"GENE"	0.0084745762711864	1	0	0.63986955639195	1.78403239208729	0.0722116908103214	129.442580909128	323	6
"EEF1A2"	"GENE"	0.0084745762711864	1	0	0.672898018928192	1.42722591366984	0.0330607741059303	95.9849480682542	653	3
