kw1	kw2	pg	crit_p	edge_weight	inv_edge_weight	R1C1	iteration
ACSL4	GPX4	1.5887291482386e-13	5.47277844795042e-13	2.03957706588322e-05	0.0086865126117781	5	1
ACSL4	IFNG	6.12193920805915e-05	0.0001042511736714	0.110390254529963	0.608457343632866	1	1
ACSL4	MCU	0	0	0.0423728813559322	0.643193521582541	1	0
ACSL4	NOX1	0	0	0.028571428571433	0.608457343632866	1	1
ACSL4	SLC39A14	1.88690625346766e-08	5.9017292510577e-08	0.0423728813559322	0.643193521582541	1	0
ACSL4	TFRC	0.0009266215874724	0.0016195936139717	0.122810172488723	0.643193521582541	1	0
ACSL4	VDAC1	1.88690625346766e-08	5.9017292510577e-08	0.0423728813559322	0.643193521582541	1	0
ADAMTS9-AS1	MIR6516	8.79296635503124e-14	4.24238861862052e-13	0.0169491525423728	0.643193521582541	1	0
AKT1	MTOR	1.43507317140745e-10	4.03386169860009e-10	0.0171428571428598	0.608457343632866	1	1
AKT1	SOD2	2.30440111437247e-11	6.66781177842135e-11	0.0114285714285725	0.608457343632866	1	1
ATF4	EIF2S1	1.66209646847992e-05	3.62551302189018e-05	0.0337534405331015	0.643193521582541	1	0
ATF4	GABPA	1.03086460523372e-06	2.47093124510767e-06	0.0337534405331015	0.643193521582541	1	0
ATF4	NFE2L2	2.74324864157904e-06	6.42685126462244e-06	0.0021729682746631	0.322337075728984	2	0
BAX	CASP9	4.89497331557232e-13	1.61568236386879e-12	0.0114285714285731	0.608457343632866	1	1
BAX	MMP9	1.96929694773473e-10	5.49821958035427e-10	0.0114285714285731	0.608457343632866	1	1
BLVRB	IDH1	1.10455954597244e-05	1.99506805025352e-05	0.0171428571428598	0.608457343632866	1	1
BLVRB	IDH2	1.10455954597244e-05	1.99506805025352e-05	0.0171428571428598	0.608457343632866	1	1
CA2	FXN	1.62435792316895e-06	3.20202964240143e-06	0.0171428571428598	0.608457343632866	1	1
CA2	GAA	2.99021007954536e-09	7.71204337164903e-09	0.0114285714285731	0.608457343632866	1	1
