KW	category	node_weight	occurrence	btw_cnt	cls_cnt	strength	qscore	Knode	ranking
ACSL4	GENE	0.0285714285714285	5	708.5	0.926094790105155	3.20162471379233	0.803055555555556	4.95271990740743	43
ADAMTS9-AS1	GENE	0.0084745762711864	1	0	1.55474202777969	0.356806478417459	1	0	1
AKT1	GENE	0.0057142857142857	1	0	0.428258134571316	0.783085312734268	0.2	5.49681250000002	39
ATF4	GENE	0.0169491525423728	2	11	1.3434229867353	1.39127588110593	0.21301775147929	0.615384615384615	11
BAX	GENE	0.0057142857142857	1	0	0.475749139166508	0.783085312734268	0.2	7.70764351851855	3
BCL2	GENE	0.0057142857142857	1	NA	NA	NA	NA	NA	NA
BLVRB	GENE	0.0171428571428571	3	0	1.64350058465789	0.783085312734268	1	0	1
BMI1	GENE	0.0057142857142857	1	NA	NA	NA	NA	NA	NA
CA2	GENE	0.0057142857142857	1	0	0.30046170280771	0.783085312734268	0.2	3.7077800925926	52
CALR	GENE	0.0057142857142857	1	NA	NA	NA	NA	NA	NA
CASP3	GENE	0.0171428571428571	3	168	0.404182473324303	2.28126003164241	0.580833333333333	6.61444675925926	21
CASP9	GENE	0.0114285714285714	2	23.5714285714286	0.611460692423367	2.60185388277124	0.501111111111111	6.75014814814818	17
CBR1	GENE	0.0057142857142857	1	0	0.383773360424709	0.391542656367134	0.07	7.94710416666668	2
CCL2	GENE	0.0057142857142857	1	0	0.461958691480744	1.1746279691014	0.29	3.61853472222224	53
CD274	GENE	0.04	7	420	0.618002898009354	2.99487298847733	0.733333333333333	4.05024074074076	50
CD47	GENE	0.0114285714285714	2	NA	NA	NA	NA	NA	NA
CDH1	GENE	0.0057142857142857	1	21.4047619047619	0.661137826196772	3.52388390730421	0.6	7.32226388888892	7
CDH2	GENE	0.0114285714285714	2	69.9047619047619	0.644519302069183	3.52388390730421	0.675	7.00321759259262	13
CDKN2A	GENE	0.0114285714285714	2	318	0.510597912549672	1.56617062546854	0.53	7.15262500000001	12
CTNNB1	GENE	0.0084745762711864	1	0	0.585116748944991	1.78403239208729	0.38	6.90260185185187	15
DENR	GENE	0.0114285714285714	2	2	1.68896124935069	4.3903156228754	0.710059171597633	1.0150204824761	3
DNM1L	GENE	0.0114285714285714	2	2	1.68896124935069	4.3903156228754	0.710059171597633	1.0150204824761	2
EDN3	GENE	0.0084745762711864	1	0	1.55474202777969	0.356806478417459	1	0	2
EDNRB	GENE	0.0084745762711864	1	0	1.55474202777969	0.356806478417459	1	0	1
EEF1A2	GENE	0.0084745762711864	1	0	1.55474202777969	0.356806478417459	1	0	2
EGFR	GENE	0.0171428571428571	3	270	0.81197381715288	4.56252006328482	0.837777777777778	5.74201388888892	35
