kw1	kw2	pg	crit_p	edge_weight	inv_edge_weight	R1C1	iteration
1-methyl-4-phenylpyridinium/toxicity	cell survival/drug effects	6.38675546171807e-06	1.44420693108827e-05	0.0593220338983051	0.643193521582541	1	0
1-methyl-4-phenylpyridinium/toxicity	mptp poisoning/drug therapy	0	0	0.0084745762711864	0.643193521582541	1	0
1-methyl-4-phenylpyridinium/toxicity	pc12 cells	0	0	0.0169491525423728	0.643193521582541	1	0
1-methyl-4-phenylpyridinium/toxicity	phospholipid hydroperoxide glutathione peroxidase/biosynthesis	0	0	0.0084745762711864	0.643193521582541	1	0
1-methyl-4-phenylpyridinium/toxicity	thioredoxins/administration & dosage	0	0	0.0084745762711864	0.643193521582541	1	0
3t3-l1 cells	adipocytes/drug effects	0	0	0.0057142857142865	0.608457343632866	1	1
3t3-l1 cells	b7-h1 antigen/metabolism	2.22044604925031e-16	9.86699551375977e-16	0.0171428571428598	0.608457343632866	1	1
3t3-l1 cells	carcinoma hepatocellular/drug therapy	3.36444461179752e-09	8.62355712998102e-09	0.0342857142857195	0.608457343632866	1	1
3t3-l1 cells	cell differentiation/drug effects	0.0004737481697469	0.0007389312340234	0.0514285714285792	0.608457343632866	1	1
3t3-l1 cells	cell proliferation/drug effects	1.01434464997441e-05	1.8475563267391e-05	0.0400000000000063	0.608457343632866	1	1
3t3-l1 cells	hep g2 cells	1.31301782824167e-06	2.62313425107742e-06	0.0400000000000063	0.608457343632866	1	1
3t3-l1 cells	interferon-gamma/metabolism	0	0	0.0057142857142865	0.608457343632866	1	1
3t3-l1 cells	lipid metabolism/drug effects	0	0	0.0171428571428598	0.608457343632866	1	1
3t3-l1 cells	plant extracts	0	0	0.0057142857142865	0.608457343632866	1	1
3t3-l1 cells	quercetin/chemistry	0	0	0.0057142857142865	0.608457343632866	1	1
44'-diisothiocyanostilbene-22'-disulfonic acid/pharmacology	anion transport proteins/antagonists & inhibitors	0	0	0.0057142857142865	0.608457343632866	1	1
