c1	c2	weight	query
1	10	2.80943258653727	TF_TFRC_VIM
1	10	2.05557471329312	SLC39A14_TF_VIM
1	11	2.12473616804155	IL6_TNF_oxidative stress/drug effects
1	11	2.10004704948718	IL13_adenine/administration & dosage_oxidative stress/drug effects
1	12	3.23724538254368	artesunate/administration & dosage_oxidative stress/drug effects_sorafenib/administration & dosage
1	12	3.10088487722003	TF_TFRC_glutaredoxins/antagonists & inhibitors
1	15	4.23463484016238	RPE_aging/genetics_oxidative stress/drug effects
1	15	3.14717149046885	aging/genetics_oxidative stress_oxidative stress/drug effects
1	2	5.50812251213673	ACSL4_GPX4_SLC39A14
1	2	4.87308155800823	ACSL4_GPX4_TFRC
1	3	2.9200689734619	TF_TFRC_cell membrane/drug effects
1	3	2.85515987300333	antibodies monoclonal/metabolism_antigens/metabolism_cell membrane/drug effects
1	4	2.69536866296973	GABPA_nf-e2-related factor 2/genetics_oxidative stress/drug effects
1	4	2.65395312381572	NFE2L2_nf-e2-related factor 2/genetics_oxidative stress/drug effects
1	5	3.13880694552309	MTOR_superoxide dismutase/biosynthesis_tor serine-threonine kinases/antagonists & inhibitors
1	5	2.79262851713	TF_TFRC_carcinoma renal cell/chemically induced
1	6	8.37120804306827	cell survival/drug effects_mptp poisoning/drug therapy_reactive oxygen species/metabolism
1	6	7.69156381441117	cell survival/drug effects_reactive oxygen species/metabolism_rna small interfering
1	7	2.70394009615686	TF_TFRC_rna interference
1	7	2.13074799347341	POU5F1_acetophenones/pharmacology_neurons/drug effects
1	8	4.93929581425703	cell line_ferrocyanides/administration & dosage_oxidative stress/drug effects
1	8	4.68000147186044	GAA_cell line_oxidative stress/drug effects
1	9	5.27981902036859	TF_iron overload/drug therapy_iron/metabolism
1	9	5.25058970542941	TF_iron/metabolism_malondialdehyde/metabolism
10	12	3.5648418897732	apoptosis/drug effects_autophagy/drug effects_membrane potential mitochondrial/drug effects
10	12	3.0002936164763	cell proliferation/drug effects_cisplatin/pharmacology_membrane potential mitochondrial/drug effects
10	13	2.31399769660067	CTNNB1_TCF7L2_drug resistance neoplasm/drug effects
10	13	1.90060427330409	CASP9_CTNNB1_drug resistance neoplasm/drug effects
10	14	2.5225838659641	FTH1_chlorophyllides/chemistry_folic acid/analogs & derivatives
10	14	2.4378339492198	FTH1_manganese compounds/chemistry_silicon dioxide/chemistry
10	2	6.16436558814559	ACSL4_GPX4_HMOX1
10	2	5.42296320333959	ACSL4_GPX4_epithelial-mesenchymal transition/drug effects
10	3	3.04323308289428	CASP9_mcf-7 cells_tumor microenvironment/drug effects
10	3	3.03001756769694	MMP9_mcf-7 cells_tumor microenvironment/drug effects
10	4	3.90509297825437	GABPA_NFE2L2_a549 cells
10	4	3.58332973501034	GABPA_NFE2L2_membrane potential mitochondrial/drug effects
10	5	4.24764649717722	EGFR_HMOX1_SLC7A11
10	5	4.01879763344699	HMOX1_SLC7A11_colorectal neoplasms/drug therapy
10	6	3.01428944038255	HMOX1_antioxidants/pharmacology_colorectal neoplasms/drug therapy
10	6	2.9110602799355	amyotrophic lateral sclerosis/drug therapy_antioxidants/pharmacology_diterpenes/pharmacology
10	7	2.17321401617929	CDH2_POU5F1_acetophenones/pharmacology
10	7	2.15001176109819	CDH2_POU5F1_glutathione/pharmacology
10	8	2.58989266837543	HMOX1_colorectal neoplasms/drug therapy_mutation
10	8	2.16739889548532	cell line_ferrocyanides/administration & dosage_fluorouracil/pharmacology
10	9	3.02435871296007	cell proliferation_neoplasm metastasis_neoplastic stem cells/metabolism
10	9	2.41405985027154	cell proliferation_homeostasis_neoplasm metastasis
11	12	1.41315590792017	IL13_IL1B_cisplatin/pharmacology
11	12	1.1200526942345	IL1B_IL6_cisplatin/pharmacology
11	13	1.78832156941278	IL6_TNF_piperazines/pharmacology
11	13	1.44129183386049	TNF_acetyl coenzyme a/metabolism_piperazines/pharmacology
11	14	1.80956722729798	CD47_carcinoma hepatocellular/metabolism_hypoxia/drug therapy
11	14	1.74803930134015	IL6_TNF_glutathione/metabolism
11	15	2.16527567680232	IL13_adenine/administration & dosage_epithelial cells/drug effects
11	15	2.14174174666593	IL6_TNF_epithelial cells/drug effects
11	2	5.50812251213673	ACSL4_GPX4_antitubercular agents/administration & dosage
11	2	4.69986664641331	ACSL4_GPX4_liver/drug effects
11	7	1.81284682968993	IL6_TNF_imidazoles/pharmacology
11	7	1.46581709413764	TNF_acetyl coenzyme a/metabolism_imidazoles/pharmacology
11	8	2.3989457115024	cell line_cyclohexylamines/administration & dosage_ferrocyanides/administration & dosage
11	8	2.09847396446527	cell line_cyclohexylamines/administration & dosage_deferoxamine/pharmacology
11	9	2.85064750581651	TNF_cells cultured_fibroblasts/cytology
11	9	2.82192407473558	IL6_TNF_cells cultured
12	13	3.11077923737857	cisplatin/pharmacology_drug resistance neoplasm/drug effects_mitochondria/drug effects
12	13	3.11014915766706	cell proliferation/drug effects_cisplatin/pharmacology_drug resistance neoplasm/drug effects
12	14	3.27623174714648	cell proliferation/drug effects_cisplatin/pharmacology_ketones/chemistry
12	14	3.20675773568887	apoptosis/drug effects_autophagy/drug effects_mammary neoplasms animal/drug therapy
12	15	4.13446333199113	RPE_aging/genetics_dna damage
12	15	3.00273332530564	NTHL1_dna damage_oxidants/pharmacology
12	2	5.45396205969877	ACSL4_GPX4_cell line tumor/drug effects
12	2	5.44992717109148	ACSL4_GPX4_artemisinins/pharmacology
12	3	3.49451573583492	apoptosis/drug effects_cerebrovascular disorders/drug therapy_neuroprotective agents/administration & dosage
12	3	3.47217386424577	apoptosis/drug effects_autophagy/drug effects_cerebrovascular disorders/drug therapy
12	4	3.08015677871355	cell line tumor/drug effects_chlorophyllides/metabolism_lung neoplasms/drug therapy
12	4	2.85134315036416	EIF2S1_activating transcription factor 4/metabolism_endocytosis/drug effects
12	5	4.39261958688523	MTOR_apoptosis/drug effects_tor serine-threonine kinases/antagonists & inhibitors
12	5	3.25250130924295	MTOR_ovarian neoplasms/drug therapy_tor serine-threonine kinases/antagonists & inhibitors
12	6	7.80195074156357	cell survival/drug effects_reactive oxygen species/metabolism_silver/chemistry
12	6	4.55913828334968	drug resistance neoplasm_mitochondria/drug effects_protein kinase inhibitors/pharmacology
