KW	category	node_weight	occurrence
porphyrins/pharmacology	MESH	0.017142857142857144	3
apoptosis	MESH	0.04	7
esters	MESH	0.005714285714285714	1
cell line tumor	MESH	0.37142857142857144	65
iron	MESH	0.022857142857142857	4
bone neoplasms/drug therapy	MESH	0.005714285714285714	1
ferric compounds	MESH	0.011428571428571429	2
tissue distribution	MESH	0.02857142857142857	5
neoplasms/diagnostic imaging	MESH	0.022857142857142857	4
photosensitizing agents/pharmacology	MESH	0.08571428571428572	15
ferroptosis	MESH	0.24	42
osteosarcoma/drug therapy	MESH	0.005714285714285714	1
ferritins	MESH	0.005714285714285714	1
photosensitizing agents/therapeutic use	MESH	0.022857142857142857	4
SDHD	GENE	0.005714285714285714	1
carcinoma hepatocellular/drug therapy	MESH	0.03428571428571429	6
sorafenib/pharmacology	MESH	0.011428571428571429	2
doxorubicin	MESH	0.011428571428571429	2
pancreatic neoplasms/drug therapy	MESH	0.011428571428571429	2
hemin/pharmacology	MESH	0.011428571428571429	2
mitochondria	MESH	0.011428571428571429	2
glutathione	MESH	0.022857142857142857	4
oxides	MESH	0.011428571428571429	2
manganese compounds	MESH	0.005714285714285714	1
coordination complexes/pharmacology	MESH	0.005714285714285714	1
aniline compounds/pharmacology	MESH	0.011428571428571429	2
iridium/pharmacology	MESH	0.005714285714285714	1
hypoxia	MESH	0.005714285714285714	1
CASP3	GENE	0.017142857142857144	3
CDKN2A	GENE	0.011428571428571429	2
intracellular signaling peptides and proteins/biosynthesis	MESH	0.005714285714285714	1
mitochondrial membranes/drug effects	MESH	0.005714285714285714	1
mitochondrial proteins/metabolism	MESH	0.011428571428571429	2
gene expression regulation developmental	MESH	0.005714285714285714	1
cellular senescence/genetics	MESH	0.005714285714285714	1
recombinant fusion proteins/metabolism	MESH	0.005714285714285714	1
oxidative stress/genetics	MESH	0.011428571428571429	2
retinal pigment epithelium/metabolism	MESH	0.017142857142857144	3
sulfonamides/pharmacology	MESH	0.005714285714285714	1
rna/genetics	MESH	0.005714285714285714	1
proto-oncogene proteins c-bcl-2/antagonists & inhibitors	MESH	0.005714285714285714	1
BCL2	GENE	0.005714285714285714	1
MT-RNR2	GENE	0.005714285714285714	1
STAT3	GENE	0.005714285714285714	1
fibroblasts/cytology	MESH	0.011428571428571429	2
glutathione/metabolism	MESH	0.03428571428571429	6
