kw1	kw2	pg	crit_p	edge_weight	inv_edge_weight	R1C1	iteration
LCN2	CDKN2A	1.136419292002699e-09	3.002574351478971e-09	0.0114285714285731	0.6084573436328657	1	1
LCN2	TF	0.0019297290394429	0.0028036749886428	0.0457142857142905	0.6084573436328657	1	1
LCN2	SLC7A11	0.0054940714279511	0.0075280435865216	0.0571428571428655	0.6084573436328657	1	1
CDKN2A	STAT3	1.5210055437364645e-14	5.86977110301092e-14	0.0114285714285731	0.6084573436328657	1	1
CDKN2A	CASP3	2.5371312539212987e-05	4.469755592603599e-05	0.0340886699507466	0.6084573436328657	1	1
CDKN2A	MT-RNR2	1.5210055437364645e-14	5.86977110301092e-14	0.0114285714285731	0.6084573436328657	1	1
TF	TFRC	6.274738506562021e-10	2.23351356774848e-09	0.0001311273958848	0.129984703461932	3	0
TF	VDAC1	0.0003990265556311	0.0007332037728471	0.0593220338983051	0.643193521582541	1	0
TF	SLC39A14	0.0003990265556311	0.0007332037728471	0.059322033898305	0.643193521582541	1	0
TF	CDH1	0.0032926290544561	0.0046269882643162	0.0457142857142905	0.6084573436328657	1	1
TF	GLS	0.0032926290544561	0.0046269882643162	0.0457142857142905	0.6084573436328657	1	1
TF	SLC40A1	0.0032926290544561	0.0046269882643162	0.0457142857142905	0.6084573436328657	1	1
TF	VIM	0.0032926290544561	0.0046269882643162	0.0457142857142928	0.6084573436328657	1	1
TF	GLRX5	7.823463694245358e-05	0.0001322303644447	0.0457142857142905	0.6084573436328657	1	1
SLC7A11	GGT1	3.752472925111494e-05	6.483381382945414e-05	0.0571428571428655	0.6084573436328657	1	1
SLC7A11	MPC1	0.0031953965381179	0.0045049927093256	0.0571428571428655	0.6084573436328657	1	1
SLC7A11	TP53	0.0016192398708647	0.002377578697143	0.0571428571428659	0.6084573436328657	1	1
SLC7A11	GPX4	9.26008627031294e-05	0.0001551930535191	0.000304779381874	0.001981704430213	6	1
SLC7A11	HMOX1	0.0001040597747731	0.0001733167744295	0.0012845153197089	0.1066711817498276	3	1
SLC7A11	EGFR	0.0015386916369019	0.0022784824790037	0.0085936387710375	0.284910593826126	2	1
SLC7A11	SLC9A1	3.122173930858452e-05	5.436879660722694e-05	0.0085936387710371	0.284910593826126	2	1
SLC7A11	KDM5A	0.0031953965381179	0.0045049927093256	0.0571428571428655	0.6084573436328657	1	1
TFRC	ACSL4	0.0009266215874724	0.0016195936139717	0.122810172488723	0.643193521582541	1	0
TFRC	SLC39A14	3.5277336607464297e-12	1.4935400633203598e-11	0.0254237288135593	0.643193521582541	1	0
TFRC	VDAC1	3.5277336607464297e-12	1.4935400633203598e-11	0.0254237288135593	0.643193521582541	1	0
ACSL4	VDAC1	1.88690625346766e-08	5.9017292510577e-08	0.0423728813559322	0.643193521582541	1	0
ACSL4	NOX1	0.0	0.0	0.028571428571433	0.6084573436328657	1	1
ACSL4	IFNG	6.121939208059146e-05	0.0001042511736714	0.1103902545299632	0.6084573436328657	1	1
ACSL4	GPX4	1.588729148238599e-13	5.472778447950424e-13	2.0395770658832204e-05	0.0086865126117781	5	1
ACSL4	MCU	0.0	0.0	0.0423728813559322	0.643193521582541	1	0
ACSL4	SLC39A14	1.88690625346766e-08	5.9017292510577e-08	0.0423728813559322	0.643193521582541	1	0
SLC39A14	VDAC1	0.0	0.0	0.0084745762711864	0.643193521582541	1	0
MAPK1	GPX4	0.0046123855657934	0.006371742526992	0.1257142857143055	0.6084573436328657	1	1
GPX4	PSTK	0.0028629157928979	0.0040500281024709	0.1257142857143055	0.6084573436328657	1	1
GPX4	NOX1	0.0003146431246845	0.0005016232566508	0.1257142857143055	0.6084573436328657	1	1
GPX4	MCU	0.0008210403085373	0.0014480381554478	0.186440677966102	0.643193521582541	1	0
GPX4	HMOX1	0.005813132165059	0.0079324367976828	0.014756340071667	0.1066711817498276	3	1
CDH1	GLS	1.765254609153999e-12	5.484366475487822e-12	0.0057142857142865	0.6084573436328657	1	1
CDH1	FTH1	5.842771212694053e-05	9.966785542065584e-05	0.0228571428571464	0.6084573436328657	1	1
CDH1	HMOX1	0.0002195062053674	0.0003544389044292	0.0285714285714342	0.6084573436328657	1	1
CDH1	CDH2	5.350587917174465e-08	1.2068858434180098e-07	0.0114285714285725	0.6084573436328657	1	1
CDH1	EGFR	7.333360657280075e-06	1.3525643868073136e-05	0.0171428571428606	0.6084573436328657	1	1
CDH1	MMP9	8.251944805248712e-08	1.839623203053092e-07	0.0114285714285725	0.6084573436328657	1	1
CDH1	SLC40A1	1.765254609153999e-12	5.484366475487822e-12	0.0057142857142865	0.6084573436328657	1	1
CDH1	VIM	1.765254609153999e-12	5.484366475487822e-12	0.0057142857142865	0.6084573436328657	1	1
GLS	HMOX1	0.0002195062053674	0.0003544389044292	0.0285714285714342	0.6084573436328657	1	1
GLS	FTH1	5.842771212694053e-05	9.966785542065584e-05	0.0228571428571464	0.6084573436328657	1	1
GLS	CDH2	5.350587917174465e-08	1.2068858434180098e-07	0.0114285714285731	0.6084573436328657	1	1
GLS	EGFR	7.333360657280075e-06	1.3525643868073136e-05	0.0171428571428598	0.6084573436328657	1	1
GLS	MMP9	8.251944805248712e-08	1.839623203053092e-07	0.0114285714285725	0.6084573436328657	1	1
GLS	SLC40A1	1.765254609153999e-12	5.484366475487822e-12	0.0057142857142865	0.6084573436328657	1	1
GLS	VIM	1.765254609153999e-12	5.484366475487822e-12	0.0057142857142865	0.6084573436328657	1	1
SLC40A1	FTH1	5.842771212694053e-05	9.966785542065584e-05	0.0228571428571464	0.6084573436328657	1	1
SLC40A1	CDH2	5.350587917174465e-08	1.2068858434180098e-07	0.0114285714285731	0.6084573436328657	1	1
SLC40A1	VIM	1.765254609153999e-12	5.484366475487822e-12	0.0057142857142865	0.6084573436328657	1	1
SLC40A1	MMP9	8.251944805248712e-08	1.839623203053092e-07	0.0114285714285731	0.6084573436328657	1	1
SLC40A1	HMOX1	0.0002195062053674	0.0003544389044292	0.028571428571433	0.6084573436328657	1	1
SLC40A1	EGFR	7.333360657280075e-06	1.3525643868073136e-05	0.0171428571428598	0.6084573436328657	1	1
VIM	FTH1	5.842771212694053e-05	9.966785542065584e-05	0.0228571428571464	0.6084573436328657	1	1
VIM	CDH2	5.350587917174465e-08	1.2068858434180098e-07	0.0114285714285731	0.6084573436328657	1	1
VIM	HMOX1	0.0002195062053674	0.0003544389044292	0.028571428571433	0.6084573436328657	1	1
VIM	EGFR	7.333360657280075e-06	1.3525643868073136e-05	0.0171428571428598	0.6084573436328657	1	1
VIM	MMP9	8.251944805248712e-08	1.839623203053092e-07	0.0114285714285731	0.6084573436328657	1	1
GGT1	SLC9A1	0.0	0.0	0.0171428571428606	0.6084573436328657	1	1
TNF	IL13	5.15123986799537e-08	1.41979592063017e-07	0.0169491525423728	0.643193521582541	1	0
TNF	IL1B	8.027141639499469e-06	1.4780582041255735e-05	0.0340886699507502	0.6084573436328657	1	1
TNF	IL6	0.0	0.0	0.0001970443349754	0.284910593826126	2	1
IL13	IL1B	8.79296635503124e-14	4.24238861862052e-13	0.0084745762711864	0.643193521582541	1	0
IL13	IL6	8.79296635503124e-14	4.24238861862052e-13	0.0084745762711864	0.643193521582541	1	0
IL1B	CD274	0.0009369639050522	0.0014182809795654	0.0786206896551817	0.6084573436328657	1	1
IL1B	IL6	8.251944805248712e-08	1.839623203053092e-07	0.0227914614121535	0.6084573436328657	1	1
IL1B	CCL2	2.4424906541753444e-15	1.021900275800328e-14	0.0114285714285731	0.6084573436328657	1	1
IL1B	YAP1	2.4424906541753444e-15	1.021900275800328e-14	0.0114285714285731	0.6084573436328657	1	1
HMOX1	CASP9	0.001498237181739	0.0022198999958871	0.0564860426929543	0.6084573436328657	1	1
HMOX1	GCLM	3.86813655717244e-06	8.97164656977692e-06	0.0014486455164421	0.322337075728984	2	0
HMOX1	CDH2	0.0048486107881901	0.0066878549637379	0.0564860426929543	0.6084573436328657	1	1
HMOX1	MMP9	0.0055323996883017	0.0075795171373689	0.0564860426929485	0.6084573436328657	1	1
HMOX1	CTNNB1	0.0010020122946788	0.0017314914581454	0.0423728813559322	0.643193521582541	1	0
HMOX1	EGFR	4.520726725742996e-06	8.574981363248922e-06	0.0019476636578495	0.284910593826126	2	1
HMOX1	TCF7L2	0.0010020122946788	0.0017314914581454	0.0423728813559322	0.643193521582541	1	0
HMOX1	GCLC	1.68388788468477e-08	5.29734387480236e-08	3.74649702528136e-05	0.129984703461932	3	0
FTH1	CBR1	7.245110359432871e-07	1.4902300418730074e-06	0.0228571428571464	0.6084573436328657	1	1
FTH1	CDH2	0.0021303551730232	0.003075392973685	0.0453201970443365	0.6084573436328657	1	1
