entity	category	node_weight	occurrence	repGM	repGT
ATF4	GENE	0.0169491525423728	2	0.8383340797133901	5.714285714285714
MMRN1	GENE	0.0057142857142857	1	0.8383340797133901	5.714285714285714
PINK1	GENE	0.0084745762711864	1	0.8383340797133901	5.714285714285714
UTRN	GENE	0.0114285714285714	2	0.8383340797133901	5.714285714285714
DNM1L	GENE	0.0114285714285714	2	0.8383340797133901	5.714285714285714
EIF2S1	GENE	0.0169491525423728	2	0.8383340797133901	5.714285714285714
KEAP1	GENE	0.0084745762711864	1	0.8383340797133901	5.714285714285714
DENR	GENE	0.0114285714285714	2	0.8383340797133901	5.714285714285714
GABPA	GENE	0.0228571428571428	4	0.8383340797133901	5.714285714285714
NFE2L2	GENE	0.0514285714285714	9	0.8383340797133901	5.714285714285714
MIEF1	GENE	0.0057142857142857	1	0.8383340797133901	5.714285714285714
FKBP8	GENE	0.0084745762711864	1	0.8383340797133901	5.714285714285714
FUNDC1	GENE	0.0084745762711864	1	0.8383340797133901	5.714285714285714
