PMID	QuerySet
33000412	pmid-ferroptosi-set.txt
34482088	pmid-ferroptosi-set.txt
31105042	pmid-ferroptosi-set.txt
33881539	pmid-ferroptosi-set.txt
35115492	pmid-ferroptosi-set.txt
33631189	pmid-ferroptosi-set.txt
32308771	pmid-ferroptosi-set.txt
32160546	pmid-ferroptosi-set.txt
34415804	pmid-ferroptosi-set.txt
34373736	pmid-ferroptosi-set.txt
33640304	pmid-ferroptosi-set.txt
34965379	pmid-ferroptosi-set.txt
35247637	pmid-ferroptosi-set.txt
30799221	pmid-ferroptosi-set.txt
32699265	pmid-ferroptosi-set.txt
35154576	pmid-ferroptosi-set.txt
34627266	pmid-ferroptosi-set.txt
33741422	pmid-ferroptosi-set.txt
33483372	pmid-ferroptosi-set.txt
34482070	pmid-ferroptosi-set.txt
33915157	pmid-ferroptosi-set.txt
36109814	pmid-ferroptosi-set.txt
34170581	pmid-ferroptosi-set.txt
36210735	pmid-ferroptosi-set.txt
32928919	pmid-ferroptosi-set.txt
31244955	pmid-ferroptosi-set.txt
34593794	pmid-ferroptosi-set.txt
35351131	pmid-ferroptosi-set.txt
34983546	pmid-ferroptosi-set.txt
34027953	pmid-ferroptosi-set.txt
34648917	pmid-ferroptosi-set.txt
34938072	pmid-ferroptosi-set.txt
33113504	pmid-ferroptosi-set.txt
32835374	pmid-ferroptosi-set.txt
33019767	pmid-ferroptosi-set.txt
35855531	pmid-ferroptosi-set.txt
34643088	pmid-ferroptosi-set.txt
35177209	pmid-ferroptosi-set.txt
34831207	pmid-ferroptosi-set.txt
33634378	pmid-ferroptosi-set.txt
34898184	pmid-ferroptosi-set.txt
34262021	pmid-ferroptosi-set.txt
33554661	pmid-ferroptosi-set.txt
35077153	pmid-ferroptosi-set.txt
32155051	pmid-ferroptosi-set.txt
32814169	pmid-ferroptosi-set.txt
35562364	pmid-ferroptosi-set.txt
34229160	pmid-ferroptosi-set.txt
34160772	pmid-ferroptosi-set.txt
34924133	pmid-ferroptosi-set.txt
36055597	pmid-ferroptosi-set.txt
32685019	pmid-ferroptosi-set.txt
34928015	pmid-ferroptosi-set.txt
32231343	pmid-ferroptosi-set.txt
33197601	pmid-ferroptosi-set.txt
33824419	pmid-ferroptosi-set.txt
35867762	pmid-ferroptosi-set.txt
37023938	pmid-ferroptosi-set.txt
34944434	pmid-ferroptosi-set.txt
32077821	pmid-ferroptosi-set.txt
34673014	pmid-ferroptosi-set.txt
34238297	pmid-ferroptosi-set.txt
34549863	pmid-ferroptosi-set.txt
34473493	pmid-ferroptosi-set.txt
35122867	pmid-ferroptosi-set.txt
37607944	pmid-ferroptosi-set.txt
34630843	pmid-ferroptosi-set.txt
37306000	pmid-ferroptosi-set.txt
33176157	pmid-ferroptosi-set.txt
34350694	pmid-ferroptosi-set.txt
32958404	pmid-ferroptosi-set.txt
37462439	pmid-ferroptosi-set.txt
31613630	pmid-ferroptosi-set.txt
34962017	pmid-ferroptosi-set.txt
33566577	pmid-ferroptosi-set.txt
34791597	pmid-ferroptosi-set.txt
36228518	pmid-ferroptosi-set.txt
33121683	pmid-ferroptosi-set.txt
31769461	pmid-ferroptosi-set.txt
33878610	pmid-ferroptosi-set.txt
34523352	pmid-ferroptosi-set.txt
34585181	pmid-ferroptosi-set.txt
33649848	pmid-ferroptosi-set.txt
37060026	pmid-ferroptosi-set.txt
32816618	pmid-ferroptosi-set.txt
30677556	pmid-ferroptosi-set.txt
37178565	pmid-ferroptosi-set.txt
37245288	pmid-ferroptosi-set.txt
33624647	pmid-ferroptosi-set.txt
35953837	pmid-ferroptosi-set.txt
37505141	pmid-ferroptosi-set.txt
35173188	pmid-ferroptosi-set.txt
33675785	pmid-ferroptosi-set.txt
36653312	pmid-ferroptosi-set.txt
35532958	pmid-ferroptosi-set.txt
37220842	pmid-ferroptosi-set.txt
30616348	pmid-ferroptosi-set.txt
37144959	pmid-ferroptosi-set.txt
35705143	pmid-ferroptosi-set.txt
31409375	pmid-ferroptosi-set.txt
36960609	pmid-ferroptosi-set.txt
37070469	pmid-ferroptosi-set.txt
30635474	pmid-ferroptosi-set.txt
31907052	pmid-ferroptosi-set.txt
34110146	pmid-ferroptosi-set.txt
36693788	pmid-ferroptosi-set.txt
31594301	pmid-ferroptosi-set.txt
33615565	pmid-ferroptosi-set.txt
34699654	pmid-ferroptosi-set.txt
32957040	pmid-ferroptosi-set.txt
33318476	pmid-ferroptosi-set.txt
32686685	pmid-ferroptosi-set.txt
36607799	pmid-ferroptosi-set.txt
34672122	pmid-ferroptosi-set.txt
32884256	pmid-ferroptosi-set.txt
36375351	pmid-ferroptosi-set.txt
34646381	pmid-ferroptosi-set.txt
31678528	
22113996	('CASP3', 'FXN', 'iron/metabolism')
9949201	('CASP3', 'FXN', 'iron/metabolism')
31682397	('TFRC', 'iron overload/drug therapy', 'iron/metabolism')
4300601	('depression chemical', 'drug synergism', 'energy metabolism/drug effects')
5681459	('depression chemical', 'drug synergism', 'energy metabolism/drug effects')
4400160	('depression chemical', 'drug synergism', 'energy metabolism/drug effects')
5682849	('depression chemical', 'drug synergism', 'energy metabolism/drug effects')
5805287	('depression chemical', 'drug synergism', 'energy metabolism/drug effects')
2086453	('depression chemical', 'drug synergism', 'energy metabolism/drug effects')
