KW1	KW2	P.value	adj.P.value	FisherP.value	ztPois.cdf	Raw.CO.Occurrence	Expansion	PMIDlist	ReactomePathways	ReactomeReactions
ACSL4	AIFM2	9.44154754378701e-11	1.14562710782353e-09	0.037037037037037	0.491090027111315	1	0	[33277233]	NA	NA
ACSL4	ATL1	9.44154754378701e-11	1.14562710782353e-09	0.037037037037037	0.491090027111315	1	0	[33277233]	NA	NA
ACSL4	S100A4	9.44154754378701e-11	1.14562710782353e-09	0.037037037037037	0.491090027111315	1	0	[33277233]	NA	NA
AIFM2	ATL1	9.44154754378701e-11	1.14562710782353e-09	0.037037037037037	0.491090027111315	1	0	[33277233]	NA	NA
AIFM2	S100A4	9.44154754378701e-11	1.14562710782353e-09	0.037037037037037	0.491090027111315	1	0	[33277233]	NA	NA
ASAH2	HMOX1	2.48910234645905e-07	1.3318075285482e-06	0.037037037037037	0.491090027111315	1	0	[33547170]	NA	NA
ASAH2	TP53	0.0022568714518765	0.0047668807068041	0.111111111111111	0.491090027111315	1	0	[33547170]	NA	NA
ASPG	CCK	5.6844185756133e-05	0.0001786003669477	0.074074074074074	0.491090027111315	1	0	[35778693]	NA	NA
ASPG	NLRP1	3.10419946414342e-08	1.77908664941026e-07	0.037037037037037	0.491090027111315	1	0	[35778693]	NA	NA
ASPG	TP53	0.0015313968527381	0.0033542680309219	0.111111111111111	0.491090027111315	1	0	[35778693]	NA	NA
ASPG	XK	3.10419946414342e-08	1.77908664941026e-07	0.037037037037037	0.491090027111315	1	0	[35778693]	NA	NA
ATG5	ROS1	0.0044470815063318	0.0089746251693545	0.148148148148148	0.491090027111315	1	0	[33926261]	NA	NA
ATL1	S100A4	9.44154754378701e-11	1.14562710782353e-09	0.037037037037037	0.491090027111315	1	0	[33277233]	NA	NA
ATM	SLC7A11	0.0039176473670681	0.0079727560452614	0.148148148148148	0.491090027111315	1	0	[31554642]	NA	NA
ATM	SLC9A1	1.29861397354381e-05	5.27448252559809e-05	0.074074074074074	0.491090027111315	1	0	[31554642]	NA	NA
BBS9	BDKRB2	6.77236045021345e-15	2.3951030860511e-13	0.037037037037037	0.491090027111315	1	0	[31775041]	NA	NA
BBS9	MS4A1	6.77236045021345e-15	2.3951030860511e-13	0.037037037037037	0.491090027111315	1	0	[31775041]	NA	NA
BBS9	PLEKHM1	6.77236045021345e-15	2.3951030860511e-13	0.037037037037037	0.491090027111315	1	0	[31775041]	NA	NA
BBS9	ROS1	0.0010636503730522	0.0023691137341409	0.148148148148148	0.491090027111315	1	0	[31775041]	NA	NA
BBS9	SPANXB1	6.77236045021345e-15	2.3951030860511e-13	0.037037037037037	0.491090027111315	1	0	[31775041]	NA	NA
BDKRB2	MS4A1	6.77236045021345e-15	2.3951030860511e-13	0.037037037037037	0.491090027111315	1	0	[31775041]	NA	NA
BDKRB2	PLEKHM1	6.77236045021345e-15	2.3951030860511e-13	0.037037037037037	0.491090027111315	1	0	[31775041]	NA	NA
BDKRB2	ROS1	0.0010636503730522	0.0023691137341409	0.148148148148148	0.491090027111315	1	0	[31775041]	NA	NA
BDKRB2	SPANXB1	6.77236045021345e-15	2.3951030860511e-13	0.037037037037037	0.491090027111315	1	0	[31775041]	NA	NA
CALR	CYREN	0	0	0.037037037037037	0.491090027111315	1	0	[32686685]	NA	NA
CCK	NLRP1	5.6844185756133e-05	0.0001786003669477	0.074074074074074	0.491090027111315	1	0	[35778693]	NA	NA
CCK	XK	5.6844185756133e-05	0.0001786003669477	0.074074074074074	0.491090027111315	1	0	[35778693]	NA	NA
CD44	HSPB1	1.51878509768721e-12	3.21494655714812e-11	0.037037037037037	0.491090027111315	1	0	[34062295]	NA	NA
CD44	SLC40A1	1.51878509768721e-12	3.21494655714812e-11	0.037037037037037	0.491090027111315	1	0	[34062295]	NA	NA
CD8A	SLC9A1	0.0029503525626719	0.006173176357683	0.0284900284900284	0.178864212567384	2	0	[31043744,31554642]	NA	NA
CHRM1	MRLN	0.0009947484468403	0.0022661197924877	0.0028490028490028	0.178864212567384	2	0	[34093872,33236624]	NA	NA
FN1	FUT1	5.72955623634464e-06	2.46890239010393e-05	0.037037037037037	0.491090027111315	1	0	[34811833]	NA	NA
FN1	HIF1A	5.72955623634464e-06	2.46890239010393e-05	0.037037037037037	0.491090027111315	1	0	[34811833]	NA	NA
FN1	MMRN1	5.72955623634464e-06	2.46890239010393e-05	0.037037037037037	0.491090027111315	1	0	[34811833]	[Platelet degranulation ]	[Exocytosis of platelet alpha granule contents]
FTH1	HMGB1	0.0005241692955735	0.0012925943513292	0.037037037037037	0.491090027111315	1	0	[35197507]	[Neutrophil degranulation]	[Exocytosis of ficolin-rich granule lumen proteins]
FTH1	NLRP3	0.0005241692955735	0.0012925943513292	0.037037037037037	0.491090027111315	1	0	[35197507]	NA	NA
FTH1	NOX4	0.0005241692955735	0.0012925943513292	0.037037037037037	0.491090027111315	1	0	[35197507]	NA	NA
FUT1	HIF1A	5.72955623634464e-06	2.46890239010393e-05	0.037037037037037	0.491090027111315	1	0	[34811833]	NA	NA
FUT1	MMRN1	5.72955623634464e-06	2.46890239010393e-05	0.037037037037037	0.491090027111315	1	0	[34811833]	NA	NA
GGT1	HLF	2.37669306457633e-09	2.23055336157649e-08	0.037037037037037	0.491090027111315	1	0	[34991659]	NA	NA
GGT1	IL6	2.37669306457633e-09	2.23055336157649e-08	0.037037037037037	0.491090027111315	1	0	[34991659]	NA	NA
GGT1	JAK2	2.37669306457633e-09	2.23055336157649e-08	0.037037037037037	0.491090027111315	1	0	[34991659]	NA	NA
GGT1	SMAD3	2.37669306457633e-09	2.23055336157649e-08	0.037037037037037	0.491090027111315	1	0	[34991659]	NA	NA
GGT1	STAT3	2.37669306457633e-09	2.23055336157649e-08	0.037037037037037	0.491090027111315	1	0	[34991659]	NA	NA
GGT1	TGFB1	2.37669306457633e-09	2.23055336157649e-08	0.037037037037037	0.491090027111315	1	0	[34991659]	NA	NA
HIF1A	MMRN1	5.72955623634464e-06	2.46890239010393e-05	0.037037037037037	0.491090027111315	1	0	[34811833]	NA	NA
HLF	IL6	2.37669306457633e-09	2.23055336157649e-08	0.037037037037037	0.491090027111315	1	0	[34991659]	NA	NA
HLF	JAK2	2.37669306457633e-09	2.23055336157649e-08	0.037037037037037	0.491090027111315	1	0	[34991659]	NA	NA
HLF	SMAD3	2.37669306457633e-09	2.23055336157649e-08	0.037037037037037	0.491090027111315	1	0	[34991659]	NA	NA
HLF	STAT3	2.37669306457633e-09	2.23055336157649e-08	0.037037037037037	0.491090027111315	1	0	[34991659]	NA	NA
HLF	TGFB1	2.37669306457633e-09	2.23055336157649e-08	0.037037037037037	0.491090027111315	1	0	[34991659]	NA	NA
HMGB1	NLRP3	0.0005241692955735	0.0012925943513292	0.037037037037037	0.491090027111315	1	0	[35197507]	NA	NA
HMGB1	NOX4	0.0005241692955735	0.0012925943513292	0.037037037037037	0.491090027111315	1	0	[35197507]	NA	NA
HMOX1	TP53	0.0022568714518765	0.0047668807068041	0.111111111111111	0.491090027111315	1	0	[33547170]	NA	NA
HSPB1	SLC40A1	1.51878509768721e-12	3.21494655714812e-11	0.037037037037037	0.491090027111315	1	0	[34062295]	NA	NA
IFNA1	TICAM1	3.10419946414342e-08	1.77908664941026e-07	0.037037037037037	0.491090027111315	1	0	[30830879]	NA	NA
IFNA1	TLR4	0.0006867567885109	0.001610019956897	0.074074074074074	0.491090027111315	1	0	[30830879]	NA	NA
IFNA1	TRIM69	3.10419946414342e-08	1.77908664941026e-07	0.037037037037037	0.491090027111315	1	0	[30830879]	NA	NA
IL6	JAK2	2.37669306457633e-09	2.23055336157649e-08	0.037037037037037	0.491090027111315	1	0	[34991659]	[Interleukin-6 signaling]	[PTPN11 is phosphorylated,Tyrosine phosphorylation of STAT1, STAT3 by IL6 receptor,IL6ST is tyrosine phosphorylated,JAK activation,Assembly of hexameric IL-6 receptor,IL6:IL6R binds IL6ST:JAK1,JAK2,(TYK2),IL6:IL6R-2 binds IL6ST:JAK1, JAK2, (TYK2)]
IL6	SMAD3	2.37669306457633e-09	2.23055336157649e-08	0.037037037037037	0.491090027111315	1	0	[34991659]	NA	NA
IL6	STAT3	2.37669306457633e-09	2.23055336157649e-08	0.037037037037037	0.491090027111315	1	0	[34991659]	[Interleukin-6 signaling,Interleukin-4 and Interleukin-13 signaling]	[Tyrosine phosphorylation of STAT1, STAT3 by IL6 receptor,Serine phosphorylation of STATs,Phosphorylated STATs are released,Tyrosine phosphorylated IL6ST binds STAT1,STAT3,Expression of STAT3-upregulated extracellular proteins]
IL6	TGFB1	2.37669306457633e-09	2.23055336157649e-08	0.037037037037037	0.491090027111315	1	0	[34991659]	[Interleukin-4 and Interleukin-13 signaling]	[Expression of STAT3-upregulated extracellular proteins]
JAK2	SMAD3	2.37669306457633e-09	2.23055336157649e-08	0.037037037037037	0.491090027111315	1	0	[34991659]	NA	NA
