KW	Category	Representativeness	Raw.Occurrence	Betweenness.centrality	Closeness.centrality	Strength	Wscore	Knode	Knode.rank	ReactomeReactions	ReactomePathways	PMIDlist
ACSL3	GENE	0.037037037037037	1	NA	NA	NA	NA	NA	NA	This node is isolated in this subgraph - no data available	This node is isolated in this subgraph - no data available	This node is isolated in this subgraph - no data available
ACSL4	GENE	0.037037037037037	1	0	2.03628651528965	1.52672991866606	1	0	3	NA	NA	[33277233]
AIFM2	GENE	0.037037037037037	1	0	2.03628651528965	1.52672991866606	1	0	4	NA	NA	[33277233]
ASAH2	GENE	0.037037037037037	1	0	1.09646196977135	1.01781994577737	0.1875	-0.022705078125	8	NA	NA	[33547170]
ASPG	GENE	0.037037037037037	1	1.33333333333333	1.42540056070276	2.03563989155474	0.765625	0.16552734375	3	NA	NA	[35778693]
ATG5	GENE	0.037037037037037	1	0	1.11070173561254	0.508909972888685	0.122448979591837	-0.115785089546023	7	NA	NA	[33926261]
ATL1	GENE	0.037037037037037	1	0	2.03628651528965	1.52672991866606	1	0	2	NA	NA	[33277233]
ATM	GENE	0.037037037037037	1	0	1.51842167311909	1.01781994577737	0.48	0.16	4	NA	NA	[31554642]
BBS9	GENE	0.037037037037037	1	0	1.74538844167684	2.54454986444343	0.73469387755102	0.0874635568513118	1	NA	NA	[31775041]
BDKRB2	GENE	0.037037037037037	1	0	1.74538844167684	2.54454986444343	0.73469387755102	0.0874635568513118	3	NA	NA	[31775041]
CALR	GENE	0.037037037037037	1	0	2.03628651528965	0.508909972888685	1	0	2	NA	NA	[32686685]
CCK	GENE	0.074074074074074	2	0	1.01814325764483	1.52672991866606	0.25	0.17041015625	1	NA	NA	[35778693]
CD36	GENE	0.037037037037037	1	NA	NA	NA	NA	NA	NA	This node is isolated in this subgraph - no data available	This node is isolated in this subgraph - no data available	This node is isolated in this subgraph - no data available
CD44	GENE	0.037037037037037	1	0	2.03628651528965	1.01781994577737	1	0	1	NA	NA	[34062295]
CD8A	GENE	0.185185185185185	5	0	2.13162676197494	0.821135787432616	0.32	0.176	3	NA	NA	[31043744,31554642]
CHRM1	GENE	0.074074074074074	2	0	5.59083332348145	0.821135787432616	1	0	1	NA	NA	[34093872,33236624]
CYREN	GENE	0.037037037037037	1	0	2.03628651528965	0.508909972888685	1	0	1	NA	NA	[32686685]
FN1	GENE	0.037037037037037	1	0	2.03628651528965	1.52672991866606	1	0	3	[Exocytosis of platelet alpha granule contents]	[Platelet degranulation ]	[34811833]
FTH1	GENE	0.037037037037037	1	0	2.03628651528965	1.52672991866606	1	0	4	[Exocytosis of ficolin-rich granule lumen proteins]	[Neutrophil degranulation]	[35197507]
FUT1	GENE	0.037037037037037	1	0	2.03628651528965	1.52672991866606	1	0	1	NA	NA	[34811833]
GGT1	GENE	0.037037037037037	1	0	2.03628651528965	3.05345983733211	1	0	1	NA	NA	[34991659]
HIF1A	GENE	0.037037037037037	1	0	2.03628651528965	1.52672991866606	1	0	2	NA	NA	[34811833]
HLF	GENE	0.037037037037037	1	0	2.03628651528965	3.05345983733211	1	0	6	NA	NA	[34991659]
HMGB1	GENE	0.037037037037037	1	0	2.03628651528965	1.52672991866606	1	0	3	[Exocytosis of ficolin-rich granule lumen proteins]	[Neutrophil degranulation]	[35197507]
HMOX1	GENE	0.037037037037037	1	0	1.09646196977135	1.01781994577737	0.1875	-0.022705078125	7	NA	NA	[33547170]
HSPB1	GENE	0.037037037037037	1	0	2.03628651528965	1.01781994577737	1	0	2	NA	NA	[34062295]
IFNA1	GENE	0.037037037037037	1	0	2.03628651528965	1.52672991866606	1	0	2	NA	NA	[30830879]
IL6	GENE	0.037037037037037	1	0	2.03628651528965	3.05345983733211	1	0	4	[PTPN11 is phosphorylated,Tyrosine phosphorylation of STAT1, STAT3 by IL6 receptor,IL6ST is tyrosine phosphorylated,JAK activation,Assembly of hexameric IL-6 receptor,IL6:IL6R binds IL6ST:JAK1,JAK2,(TYK2),IL6:IL6R-2 binds IL6ST:JAK1, JAK2, (TYK2),Serine phosphorylation of STATs,Phosphorylated STATs are released,Tyrosine phosphorylated IL6ST binds STAT1,STAT3,Expression of STAT3-upregulated extracellular proteins]	[Interleukin-6 signaling,Interleukin-4 and Interleukin-13 signaling]	[34991659]
JAK2	GENE	0.037037037037037	1	0	2.03628651528965	3.05345983733211	1	0	7	[PTPN11 is phosphorylated,Tyrosine phosphorylation of STAT1, STAT3 by IL6 receptor,IL6ST is tyrosine phosphorylated,JAK activation,Assembly of hexameric IL-6 receptor,IL6:IL6R binds IL6ST:JAK1,JAK2,(TYK2),IL6:IL6R-2 binds IL6ST:JAK1, JAK2, (TYK2),IL20:IL20RA:JAK1:IL20RB:p‑JAK2,p‑JAK3 binds STAT3,p-STAT3 dissociates from IL20:IL20RA:JAK1:IL20RB:p-Y1007,Y1008-JAK2,p-JAK3,IL20:IL20RA:JAK1:IL20RB:p-JAK3,p-JAK2:STAT3 phosphorylates STAT3,STAT3 binds to p-Y-IL23R in IL23:IL23 receptor,p-Y693-STAT4, p-Y705-STAT3 dissociate from IL23:IL23 receptor,STAT3, STAT4 are phosphorylated by p-JAK2, p-TYK2 in IL23:IL23 receptor,STAT4 binds p-Y-IL23R in IL23:IL23 receptor,p-STAT1, p-STAT3 dissociate from IL27RA:IL12RB2 receptor,JAK1,JAK2 bound to IL27RA:IL12RB2 receptor phosphorylate STAT1,STAT1,STAT3 associate with IL27RA:IL12RB2 receptor, STAT3 bind p-Y611-IL27RA from Interleukin-27:Interleukin-27 receptor complex,STAT3 and STAT1 are phosphorylated by JAKs after IL27:IL27R interaction,p-Y701-STAT1 and p-Y705-STAT3 dissociate from IL27:IL27 receptor,p-Y-JAK1,2 phosphorylates STAT1,3,5 in CSF3 dimer:2xp-4Y-CSF3R:LYN:p-Y-JAK1:p-Y-JAK2:p-TYK2,CSF3 dimer:2xp-4Y-CSF3R:LYN:p-Y-JAK1:p-JAK2:p-SYK:p-HCK:p-TYK2 binds STAT1,5,CSF3 dimer:2xp-4Y-CSF3R:LYN:p-Y-JAK1:p-JAK2:p-SYK:p-HCK:p-TYK2:p-Y-STAT1,5 dissociates yielding CSF3 dimer:2xp-4Y-CSF3R:LYN:p-Y-JAK1:p-JAK2:p-SYK:p-HCK:p-TYK2 and p-Y-STAT1,JAK2 Phosphoryates STAT3 in Response to Leptin,Phosphorylated LEPR Binds STAT3,Phosphorylated STAT3 Dissociates from Leptin Receptor,STAT6 bind IL13:IL13R type II,p-Y-STATs dissociate,STAT6 phosphorylation,JAK2 phosphorylates STAT1/STAT3,Disassociation and translocation of STATs to the nucleus downstream of KIT mutants,Dimerization of STATs downstream of KIT mutants,Recruitment of STATs by KIT mutants,Phosphorylation of STATs downstream of KIT mutants,Disassociation and translocation of STATs to the nucleus,Dimerization of STATs,Phosphorylation of STATs,Recruitment of STATs,JAK2 binds STAT1/3,Serine phosphorylation of STATs,Phosphorylated STATs are released,Tyrosine phosphorylated IL6ST binds STAT1,STAT6 bind p-Y-IL4R,JAK1 phosphorylates STAT3,STAT6,p-Y705-STAT3,p-Y641-STAT6 dissociate]	[Interleukin-6 signaling,Interleukin-20 family signaling,Interleukin-23 signaling,Interleukin-35 Signalling,Interleukin-27 signaling,Signaling by CSF3 (G-CSF),Signaling by Leptin,Interleukin-4 and Interleukin-13 signaling,Growth hormone receptor signaling,Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants,Signaling by SCF-KIT]	[34991659]
KDM8	GENE	0.037037037037037	1	0	2.03628651528965	0.508909972888685	1	0	1	NA	NA	[33311482]
MMRN1	GENE	0.037037037037037	1	0	2.03628651528965	1.52672991866606	1	0	4	[Exocytosis of platelet alpha granule contents]	[Platelet degranulation ]	[34811833]
MRLN	GENE	0.074074074074074	2	0	5.59083332348145	0.821135787432616	1	0	2	NA	NA	[34093872,33236624]
MS4A1	GENE	0.037037037037037	1	0	1.74538844167684	2.54454986444343	0.73469387755102	0.0874635568513118	2	NA	NA	[31775041]
NFE2L2	GENE	0.074074074074074	2	NA	NA	NA	NA	NA	NA	This node is isolated in this subgraph - no data available	This node is isolated in this subgraph - no data available	This node is isolated in this subgraph - no data available
NLRP1	GENE	0.037037037037037	1	1.33333333333333	1.42540056070276	2.03563989155474	0.765625	0.16552734375	4	NA	NA	[35778693]
NLRP3	GENE	0.037037037037037	1	0	2.03628651528965	1.52672991866606	1	0	2	NA	NA	[35197507]
NOX4	GENE	0.037037037037037	1	0	2.03628651528965	1.52672991866606	1	0	1	NA	NA	[35197507]
PDCD1	GENE	0.111111111111111	3	0	19.5465398557957	1.89768010017348	1	0	3	NA	NA	[34093872,33691090,34985903]
PLEKHM1	GENE	0.037037037037037	1	0	1.74538844167684	2.54454986444343	0.73469387755102	0.0874635568513118	4	NA	NA	[31775041]
ROS1	GENE	0.148148148148148	4	5	2.03628651528965	3.05345983733211	1	0.044981257809246	6	NA	NA	[33926261,31775041]
RPL17	GENE	0.111111111111111	3	0	19.5465398557957	1.89768010017348	1	0	2	NA	NA	[34093872,33691090,34985903]
RPL17-C18orf32	GENE	0.111111111111111	3	0	19.5465398557957	1.89768010017348	1	0	1	NA	NA	[34093872,33691090,34985903]
S100A4	GENE	0.037037037037037	1	0	2.03628651528965	1.52672991866606	1	0	1	NA	NA	[33277233]
SLC3A2	GENE	0.037037037037037	1	0	1.42187917108859	0.508909972888685	0.16	-0.184	5	NA	NA	[31043744]
SLC40A1	GENE	0.037037037037037	1	0	2.03628651528965	1.01781994577737	1	0	3	NA	NA	[34062295]
SLC7A11	GENE	0.148148148148148	4	0	2.35621644971047	1.3300457603213	0.64	0.296	1	NA	NA	[31554642,31043744]
SLC9A1	GENE	0.074074074074074	2	5	2.98527851836444	2.6600915206426	1	0.256	2	NA	NA	[31554642,31043744]
SMAD3	GENE	0.037037037037037	1	0	2.03628651528965	3.05345983733211	1	0	5	[An anchoring protein, ZFYVE9 (SARA), recruits SMAD2/3,Activated type I receptor phosphorylates SMAD2/3 directly,Phosphorylated SMAD2/3 dissociates from TGFBR]	[TGF-beta receptor signaling activates SMADs]	[34991659]
SPANXB1	GENE	0.037037037037037	1	0	1.74538844167684	2.54454986444343	0.73469387755102	0.0874635568513118	5	NA	NA	[31775041]
STAT3	GENE	0.037037037037037	1	0	2.03628651528965	3.05345983733211	1	0	2	[Tyrosine phosphorylation of STAT1, STAT3 by IL6 receptor,Serine phosphorylation of STATs,Phosphorylated STATs are released,Tyrosine phosphorylated IL6ST binds STAT1,STAT3,Expression of STAT3-upregulated extracellular proteins,IL20:IL20RA:JAK1:IL20RB:p‑JAK2,p‑JAK3 binds STAT3,p-STAT3 dissociates from IL20:IL20RA:JAK1:IL20RB:p-Y1007,Y1008-JAK2,p-JAK3,IL20:IL20RA:JAK1:IL20RB:p-JAK3,p-JAK2:STAT3 phosphorylates STAT3,STAT3 binds to p-Y-IL23R in IL23:IL23 receptor,p-Y693-STAT4, p-Y705-STAT3 dissociate from IL23:IL23 receptor, STAT4 are phosphorylated by p-JAK2, p-TYK2 in IL23:IL23 receptor,STAT4 binds p-Y-IL23R in IL23:IL23 receptor,p-STAT1, p-STAT3 dissociate from IL27RA:IL12RB2 receptor,JAK1,JAK2 bound to IL27RA:IL12RB2 receptor phosphorylate STAT1,STAT1,STAT3 associate with IL27RA:IL12RB2 receptor, STAT3 bind p-Y611-IL27RA from Interleukin-27:Interleukin-27 receptor complex,STAT3 and STAT1 are phosphorylated by JAKs after IL27:IL27R interaction,p-Y701-STAT1 and p-Y705-STAT3 dissociate from IL27:IL27 receptor,p-Y-JAK1,2 phosphorylates STAT1,3,5 in CSF3 dimer:2xp-4Y-CSF3R:LYN:p-Y-JAK1:p-Y-JAK2:p-TYK2,CSF3 dimer:2xp-4Y-CSF3R:LYN:p-Y-JAK1:p-JAK2:p-SYK:p-HCK:p-TYK2 binds STAT1,5,CSF3 dimer:2xp-4Y-CSF3R:LYN:p-Y-JAK1:p-JAK2:p-SYK:p-HCK:p-TYK2:p-Y-STAT1,5 dissociates yielding CSF3 dimer:2xp-4Y-CSF3R:LYN:p-Y-JAK1:p-JAK2:p-SYK:p-HCK:p-TYK2 and p-Y-STAT1,JAK2 Phosphoryates STAT3 in Response to Leptin,Phosphorylated LEPR Binds STAT3,Phosphorylated STAT3 Dissociates from Leptin Receptor,STAT6 bind IL13:IL13R type II,p-Y-STATs dissociate,STAT6 phosphorylation,JAK2 phosphorylates STAT1/STAT3,Disassociation and translocation of STATs to the nucleus downstream of KIT mutants,Dimerization of STATs downstream of KIT mutants,Recruitment of STATs by KIT mutants,Phosphorylation of STATs downstream of KIT mutants,Disassociation and translocation of STATs to the nucleus,Dimerization of STATs,Phosphorylation of STATs,Recruitment of STATs,JAK2 binds STAT1/3,STAT6 bind p-Y-IL4R,JAK1 phosphorylates STAT3,STAT6,p-Y705-STAT3,p-Y641-STAT6 dissociate]	[Interleukin-6 signaling,Interleukin-4 and Interleukin-13 signaling,Interleukin-20 family signaling,Interleukin-23 signaling,Interleukin-35 Signalling,Interleukin-27 signaling,Signaling by CSF3 (G-CSF),Signaling by Leptin,Growth hormone receptor signaling,Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants,Signaling by SCF-KIT]	[34991659]
