KW1	KW2	P.value	adj.P.value	FisherP.value	ztPois.cdf	Raw.CO.Occurrence	Expansion
acetaminophen/pharmacology	brain neoplasms/genetics	1.16944343098169e-10	1.89137984237438e-09	0.037037037037037	0.489592177624085	1	0
acetaminophen/pharmacology	cation transport proteins/genetics	1.16944343098169e-10	1.89137984237438e-09	0.037037037037037	0.489592177624085	1	0
acetaminophen/pharmacology	gene expression regulation neoplastic	8.92105994523273e-05	0.0002975184902435	0.074074074074074	0.489592177624085	1	0
acetaminophen/pharmacology	glioblastoma/genetics	1.16944343098169e-10	1.89137984237438e-09	0.037037037037037	0.489592177624085	1	0
acetaminophen/pharmacology	heat-shock proteins/genetics	1.16944343098169e-10	1.89137984237438e-09	0.037037037037037	0.489592177624085	1	0
acetaminophen/pharmacology	hyaluronan receptors/genetics	1.16944343098169e-10	1.89137984237438e-09	0.037037037037037	0.489592177624085	1	0
acetaminophen/pharmacology	t-lymphocytes cytotoxic/immunology	1.16944343098169e-10	1.89137984237438e-09	0.037037037037037	0.489592177624085	1	0
brain neoplasms/genetics	cation transport proteins/genetics	1.16944343098169e-10	1.89137984237438e-09	0.037037037037037	0.489592177624085	1	0
brain neoplasms/genetics	gene expression regulation neoplastic	8.92105994523273e-05	0.0002975184902435	0.074074074074074	0.489592177624085	1	0
brain neoplasms/genetics	glioblastoma/genetics	1.16944343098169e-10	1.89137984237438e-09	0.037037037037037	0.489592177624085	1	0
brain neoplasms/genetics	heat-shock proteins/genetics	1.16944343098169e-10	1.89137984237438e-09	0.037037037037037	0.489592177624085	1	0
brain neoplasms/genetics	hyaluronan receptors/genetics	1.16944343098169e-10	1.89137984237438e-09	0.037037037037037	0.489592177624085	1	0
brain neoplasms/genetics	t-lymphocytes cytotoxic/immunology	1.16944343098169e-10	1.89137984237438e-09	0.037037037037037	0.489592177624085	1	0
cation transport proteins/genetics	gene expression regulation neoplastic	8.92105994523273e-05	0.0002975184902435	0.074074074074074	0.489592177624085	1	0
cation transport proteins/genetics	glioblastoma/genetics	1.16944343098169e-10	1.89137984237438e-09	0.037037037037037	0.489592177624085	1	0
cation transport proteins/genetics	heat-shock proteins/genetics	1.16944343098169e-10	1.89137984237438e-09	0.037037037037037	0.489592177624085	1	0
cation transport proteins/genetics	hyaluronan receptors/genetics	1.16944343098169e-10	1.89137984237438e-09	0.037037037037037	0.489592177624085	1	0
cation transport proteins/genetics	t-lymphocytes cytotoxic/immunology	1.16944343098169e-10	1.89137984237438e-09	0.037037037037037	0.489592177624085	1	0
gene expression regulation neoplastic	antioxidants/pharmacology	0.0025132305533815	0.0049369209089099	0.074074074074074	0.489592177624085	1	0
gene expression regulation neoplastic	biopterin/analogs & derivatives	0.0025132305533815	0.0049369209089099	0.074074074074074	0.489592177624085	1	0
gene expression regulation neoplastic	cell proliferation/drug effects	0.0025132305533815	0.0049369209089099	0.074074074074074	0.489592177624085	1	0
gene expression regulation neoplastic	cystine/antagonists & inhibitors	0.0025132305533815	0.0049369209089099	0.074074074074074	0.489592177624085	1	0
gene expression regulation neoplastic	folic acid antagonists/pharmacology	0.0025132305533815	0.0049369209089099	0.074074074074074	0.489592177624085	1	0
gene expression regulation neoplastic	glioblastoma/genetics	8.92105994523273e-05	0.0002975184902435	0.074074074074074	0.489592177624085	1	0
gene expression regulation neoplastic	heat-shock proteins/genetics	8.92105994523273e-05	0.0002975184902435	0.074074074074074	0.489592177624085	1	0
gene expression regulation neoplastic	hyaluronan receptors/genetics	8.92105994523273e-05	0.0002975184902435	0.074074074074074	0.489592177624085	1	0
gene expression regulation neoplastic	methotrexate/pharmacology	0.0025132305533815	0.0049369209089099	0.074074074074074	0.489592177624085	1	0
gene expression regulation neoplastic	phospholipid hydroperoxide glutathione peroxidase/antagonists & inhibitors	0.0025132305533815	0.0049369209089099	0.074074074074074	0.489592177624085	1	0
gene expression regulation neoplastic	t-lymphocytes cytotoxic/immunology	8.92105994523273e-05	0.0002975184902435	0.074074074074074	0.489592177624085	1	0
gene expression regulation neoplastic	tetrahydrofolate dehydrogenase/genetics	0.0025132305533815	0.0049369209089099	0.074074074074074	0.489592177624085	1	0
gene expression regulation neoplastic	vitamin e/pharmacology	0.0025132305533815	0.0049369209089099	0.074074074074074	0.489592177624085	1	0
glioblastoma/genetics	heat-shock proteins/genetics	1.16944343098169e-10	1.89137984237438e-09	0.037037037037037	0.489592177624085	1	0
glioblastoma/genetics	hyaluronan receptors/genetics	1.16944343098169e-10	1.89137984237438e-09	0.037037037037037	0.489592177624085	1	0
glioblastoma/genetics	t-lymphocytes cytotoxic/immunology	1.16944343098169e-10	1.89137984237438e-09	0.037037037037037	0.489592177624085	1	0
heat-shock proteins/genetics	hyaluronan receptors/genetics	1.16944343098169e-10	1.89137984237438e-09	0.037037037037037	0.489592177624085	1	0
heat-shock proteins/genetics	t-lymphocytes cytotoxic/immunology	1.16944343098169e-10	1.89137984237438e-09	0.037037037037037	0.489592177624085	1	0
hyaluronan receptors/genetics	t-lymphocytes cytotoxic/immunology	1.16944343098169e-10	1.89137984237438e-09	0.037037037037037	0.489592177624085	1	0
cell survival	coenzyme a ligases/metabolism	3.6840033246221504e-09	3.06075070737443e-08	0.037037037037037	0.489592177624085	1	0
cell survival	glutathione/metabolism	0.0004672623117933	0.0012348348239768	0.111111111111111	0.489592177624085	1	0
cell survival	iron/metabolism	0.0055440018833486	0.0096483131771907	0.148148148148148	0.489592177624085	1	0
cell survival	lymph/metabolism	3.6840033246221504e-09	3.06075070737443e-08	0.037037037037037	0.489592177624085	1	0
cell survival	melanoma/blood	3.6840033246221504e-09	3.06075070737443e-08	0.037037037037037	0.489592177624085	1	0
cell survival	neoplasm metastasis/drug therapy	3.6840033246221504e-09	3.06075070737443e-08	0.037037037037037	0.489592177624085	1	0
cell survival	oleic acid/metabolism	3.6840033246221504e-09	3.06075070737443e-08	0.037037037037037	0.489592177624085	1	0
cell survival	oxidative stress/drug effects	0.0008321981592963	0.0021409466961325	0.074074074074074	0.489592177624085	1	0
cell survival	phospholipid hydroperoxide glutathione peroxidase/metabolism	9.5248859721675e-06	3.80055483034183e-05	0.074074074074074	0.489592177624085	1	0
coenzyme a ligases/metabolism	glutathione/metabolism	0.0004672623117933	0.0012348348239768	0.111111111111111	0.489592177624085	1	0
coenzyme a ligases/metabolism	iron/metabolism	0.0055440018833486	0.0096483131771907	0.148148148148148	0.489592177624085	1	0
coenzyme a ligases/metabolism	lymph/metabolism	3.6840033246221504e-09	3.06075070737443e-08	0.037037037037037	0.489592177624085	1	0
coenzyme a ligases/metabolism	melanoma/blood	3.6840033246221504e-09	3.06075070737443e-08	0.037037037037037	0.489592177624085	1	0
coenzyme a ligases/metabolism	neoplasm metastasis/drug therapy	3.6840033246221504e-09	3.06075070737443e-08	0.037037037037037	0.489592177624085	1	0
coenzyme a ligases/metabolism	oleic acid/metabolism	3.6840033246221504e-09	3.06075070737443e-08	0.037037037037037	0.489592177624085	1	0
coenzyme a ligases/metabolism	oxidative stress/drug effects	0.0008321981592963	0.0021409466961325	0.074074074074074	0.489592177624085	1	0
coenzyme a ligases/metabolism	phospholipid hydroperoxide glutathione peroxidase/metabolism	9.5248859721675e-06	3.80055483034183e-05	0.074074074074074	0.489592177624085	1	0
glutathione/metabolism	autophagy-related proteins/genetics	0.0004672623117933	0.0012348348239768	0.111111111111111	0.489592177624085	1	0
glutathione/metabolism	cell cycle/drug effects	0.0004672623117933	0.0012348348239768	0.111111111111111	0.489592177624085	1	0
glutathione/metabolism	flavonolignans/pharmacology	0.0004672623117933	0.0012348348239768	0.111111111111111	0.489592177624085	1	0
glutathione/metabolism	glutathione peroxidase/metabolism	0.0004672623117933	0.0012348348239768	0.111111111111111	0.489592177624085	1	0
glutathione/metabolism	host-pathogen interactions	4.77079304225247e-05	0.0001767014339008	0.111111111111111	0.489592177624085	1	0
glutathione/metabolism	iron chelating agents/pharmacology	4.77079304225247e-05	0.0001767014339008	0.111111111111111	0.489592177624085	1	0
glutathione/metabolism	iron/metabolism	0.0018265613995133	0.0037237293741338	0.0485470085470085	0.177698310242143	2	0
glutathione/metabolism	lymph/metabolism	0.0004672623117933	0.0012348348239768	0.111111111111111	0.489592177624085	1	0
glutathione/metabolism	melanoma/blood	0.0004672623117933	0.0012348348239768	0.111111111111111	0.489592177624085	1	0
glutathione/metabolism	neoplasm metastasis/drug therapy	0.0004672623117933	0.0012348348239768	0.111111111111111	0.489592177624085	1	0
glutathione/metabolism	oleic acid/metabolism	0.0004672623117933	0.0012348348239768	0.111111111111111	0.489592177624085	1	0
glutathione/metabolism	phospholipid hydroperoxide glutathione peroxidase/metabolism	2.13766601531162e-07	1.37195178654656e-06	0.0085470085470085	0.177698310242143	2	0
glutathione/metabolism	precursor cell lymphoblastic leukemia-lymphoma/metabolism	0.0004672623117933	0.0012348348239768	0.111111111111111	0.489592177624085	1	0
glutathione/metabolism	tuberculosis/metabolism	4.77079304225247e-05	0.0001767014339008	0.111111111111111	0.489592177624085	1	0
iron/metabolism	ferritins/blood	0.0055440018833486	0.0096483131771907	0.148148148148148	0.489592177624085	1	0
iron/metabolism	genetic variation	0.0055440018833486	0.0096483131771907	0.148148148148148	0.489592177624085	1	0
iron/metabolism	hemeproteins/toxicity	0.0055440018833486	0.0096483131771907	0.148148148148148	0.489592177624085	1	0
iron/metabolism	host-pathogen interactions	0.0012112902439206	0.0028669172017087	0.148148148148148	0.489592177624085	1	0
iron/metabolism	iron chelating agents/pharmacology	0.0012112902439206	0.0028669172017087	0.148148148148148	0.489592177624085	1	0
iron/metabolism	listeriosis/etiology	0.0055440018833486	0.0096483131771907	0.148148148148148	0.489592177624085	1	0
