KW	Category	Representativeness	Raw.Occurrence	Betweenness.centrality	Closeness.centrality	Strength	Wscore	Knode	Knode.rank	PMIDlist
acetaminophen/pharmacology	MESH	0.037037037037037	1	0	0.348065880785523	3.5623698102208	0.149640569220989	0.212610947029542	27	[34062295]
actins/metabolism	MESH	0.037037037037037	1	0	0.495217541035164	4.07127978310948	0.2275	-0.0583515624999993	39	[34811833]
adaptor proteins vesicular transport/genetics	MESH	0.037037037037037	1	0	2.03628651528965	4.58018975599817	0.8	-0.00800000000000005	7	[30830879]
adjuvants immunologic/chemistry	MESH	0.037037037037037	1	56.5986813186813	0.4317379059713	3.05345983733211	0.0978531957552937	0.148566682955663	104	[33236624]
amino acid transport system y+/genetics	MESH	0.037037037037037	1	27.4000000000002	0.27208192487902	3.05345983733211	0.0888552007433126	0.130875730504962	130	[31554642]
amino acid transport system y+/metabolism	MESH	0.074074074074074	2	248	0.613888251656537	6.61582964755291	0.9025	0.0507765625000006	32	[34811833,31043744]
aniline compounds/chemistry	MESH	0.037037037037037	1	105.234941739872	0.384643898224507	5.08909972888685	0.384957699643014	0.192641389853488	54	[34985903]
aniline compounds/pharmacology	MESH	0.037037037037037	1	22.5	0.841581429058168	5.59800970177554	0.54	0.387936718750001	9	[34593794]
antibodies monoclonal humanized/pharmacology	MESH	0.037037037037037	1	153.772972972973	0.375649200122157	3.05345983733211	0.119223433908749	0.165875393231048	83	[33691090]
antineoplastic agents immunological/administration &amp; dosage	MESH	0.037037037037037	1	27.4000000000002	0.27208192487902	3.05345983733211	0.0888552007433126	0.130875730504962	131	[31554642]
antineoplastic agents/chemistry	MESH	0.037037037037037	1	16.75	0.436298004408005	5.59800970177554	0.302606484424666	0.128239675455039	137	[31509699]
antioxidants/pharmacology	MESH	0.037037037037037	1	453.550340923563	0.501355997616945	7.12473962044159	0.742334588488435	0.215283617110504	18	[32778843]
apoptosis/drug effects	MESH	0.074074074074074	2	1863.17123862687	0.459891385835663	8.65146953910765	0.931243581593232	0.13640995697259	121	[31509699,32134361]
ascorbic acid/pharmacology	MESH	0.037037037037037	1	457.988817252958	0.449175324407628	2.54454986444343	0.046554843757641	0.218511613169377	9	[32686685]
asparaginase	MESH	0.037037037037037	1	0	0.463429149094083	2.54454986444343	0.0525	0.0759578125000007	28	[35778693]
autophagy-related proteins/genetics	MESH	0.037037037037037	1	909.586089054777	0.551038601825015	3.5623698102208	0.319233214338109	0.198593591093504	40	[33926261]
autophagy/drug effects	MESH	0.074074074074074	2	2733.04473098816	0.524072986643633	4.07127978310948	0.4619785808597	0.185212878979769	69	[33926261,33277233]
b-lymphocytes/metabolism	MESH	0.037037037037037	1	0	2.03628651528965	1.01781994577737	1	0	1	[31775041]
b7-h1 antigen/antagonists &amp; inhibitors	MESH	0.074074074074074	2	350	0.832756510867801	7.63364959333028	0.950625	0.343766406250001	13	[34593794,31043744]
b7-h1 antigen/metabolism	MESH	0.037037037037037	1	105.234941739872	0.384643898224507	5.08909972888685	0.384957699643014	0.192641389853488	53	[34985903]
bacterial toxins/metabolism	MESH	0.037037037037037	1	0	0.334043603202898	6.61582964755291	0.352095456990562	0.190448158820779	60	[35197507]
basic-leucine zipper transcription factors/analysis	MESH	0.037037037037037	1	0	2.03628651528965	1.52672991866606	1	0	4	[34991659]
benzylidene compounds/chemistry	MESH	0.037037037037037	1	105.234941739872	0.384643898224507	5.08909972888685	0.384957699643014	0.192641389853488	48	[34985903]
benzylidene compounds/pharmacology	MESH	0.037037037037037	1	22.5	0.841581429058168	5.59800970177554	0.54	0.387936718750001	5	[34593794]
biological products/chemistry	MESH	0.037037037037037	1	16.75	0.436298004408005	5.59800970177554	0.302606484424666	0.128239675455039	134	[31509699]
biomarkers tumor	MESH	0.037037037037037	1	0	0.307040479451983	6.61582964755291	0.352095456990562	0.138132420245826	113	[33311482]
biopterins/analogs &amp; derivatives	MESH	0.037037037037037	1	453.550340923563	0.501355997616945	7.12473962044159	0.742334588488435	0.215283617110504	12	[32778843]
bone marrow/drug effects	MESH	0.037037037037037	1	0	0.393008662827203	3.5623698102208	0.149640569220989	0.13089414683009	125	[32134361]
brain neoplasms/genetics	MESH	0.037037037037037	1	0	0.348065880785523	3.5623698102208	0.149640569220989	0.212610947029542	26	[34062295]
calreticulin/metabolism	MESH	0.037037037037037	1	457.988817252958	0.449175324407628	2.54454986444343	0.046554843757641	0.218511613169377	8	[32686685]
carbolines/pharmacology	MESH	0.074074074074074	2	832	0.423911987305183	8.45478538076289	0.824050075798327	0.240359272012638	3	[32778843,34717678]
carcinoma pancreatic ductal/metabolism	MESH	0.037037037037037	1	0	0.307040479451983	6.61582964755291	0.352095456990562	0.138132420245826	114	[33311482]
cation transport proteins/genetics	MESH	0.037037037037037	1	0	0.348065880785523	3.5623698102208	0.149640569220989	0.212610947029542	23	[34062295]
cd36 antigens/antagonists &amp; inhibitors	MESH	0.037037037037037	1	153.772972972973	0.375649200122157	3.05345983733211	0.119223433908749	0.165875393231048	86	[33691090]
cd8-positive t-lymphocytes/cytology	MESH	0.074074074074074	2	1157.41538751295	0.399524947409006	7.12473962044159	0.85207100591716	0.169706108428639	82	[34985903,33691090]
cd8-positive t-lymphocytes/drug effects	MESH	0.037037037037037	1	0	0.455544184024761	1.52672991866606	0.00880238642476405	0.156122957832274	91	[33277233]
cd8-positive t-lymphocytes/immunology	MESH	0.111111111111111	3	0	0.241012539140233	2.54454986444343	0.0234730304660375	0.111781571737381	143	[31554642]
cell cycle/drug effects	MESH	0.037037037037037	1	909.586089054777	0.551038601825015	3.5623698102208	0.319233214338109	0.198593591093504	44	[33926261]
cell line	MESH	0.037037037037037	1	0	0.495217541035164	4.07127978310948	0.2275	-0.0583515624999993	40	[34811833]
cell line tumor/transplantation	MESH	0.074074074074074	2	363	0.832756510867801	9.47260532654026	1	0.418016406250001	1	[34593794,33547170]
cell proliferation/drug effects	MESH	0.037037037037037	1	453.550340923563	0.501355997616945	7.12473962044159	0.742334588488435	0.215283617110504	19	[32778843]
cell survival	MESH	0.037037037037037	1	22.6666666666666	0.403281290336305	4.58018975599817	0.26416939703653	0.17029607173328	77	[32814895]
cell survival/drug effects	MESH	0.111111111111111	3	816	0.31167384754738	5.59800970177554	0.538461538461538	0.161342279727878	88	[31554642,34717678]
cell transformation neoplastic/genetics	MESH	0.037037037037037	1	0	0.307040479451983	6.61582964755291	0.352095456990562	0.138132420245826	112	[33311482]
cells cultured	MESH	0.074074074074074	2	1677	0.392543235771821	8.65146953910765	0.917648784781652	0.189660511176394	68	[35197507,30787033]
cisplatin	MESH	0.037037037037037	1	0	0.463429149094083	2.54454986444343	0.0525	0.0759578125000007	27	[35778693]
coenzyme a ligases/metabolism	MESH	0.037037037037037	1	22.6666666666666	0.403281290336305	4.58018975599817	0.26416939703653	0.17029607173328	79	[32814895]
collagen type i/metabolism	MESH	0.037037037037037	1	0	0.495217541035164	4.07127978310948	0.2275	-0.0583515624999993	35	[34811833]
colonic neoplasms/drug therapy	MESH	0.037037037037037	1	23.1428571428571	0.688386528624669	4.07127978310948	0.50375	0.332235156250001	15	[33547170]
cyclohexylamines/pharmacology	MESH	0.074074074074074	2	0	2.19106877888029	4.8924155705421	1	0.0479999999999999	2	[30830879,35197507]
cysteine/metabolism	MESH	0.037037037037037	1	46.8	0.71311211952417	3.05345983733211	0.2475	0.211353906250001	24	[31043744]
cystine/antagonists &amp; inhibitors	MESH	0.037037037037037	1	453.550340923563	0.501355997616945	7.12473962044159	0.742334588488435	0.215283617110504	15	[32778843]
cytokines/metabolism	MESH	0.074074074074074	2	1551.35187710507	0.412050288954401	6.61582964755291	0.780478262995746	0.14580198146888	107	[33691090,32134361]
cytoskeletal proteins/metabolism	MESH	0.037037037037037	1	0	2.03628651528965	1.01781994577737	1	0	2	[31775041]
dextrans/chemistry	MESH	0.037037037037037	1	56.5986813186813	0.4317379059713	3.05345983733211	0.0978531957552937	0.148566682955663	101	[33236624]
dichloroacetic acid/chemistry	MESH	0.037037037037037	1	16.75	0.436298004408005	5.59800970177554	0.302606484424666	0.128239675455039	139	[31509699]
diet	MESH	0.037037037037037	1	0	0.307040479451983	6.61582964755291	0.352095456990562	0.138132420245826	117	[33311482]
diterpenes/pharmacology	MESH	0.037037037037037	1	0	0.463429149094083	2.54454986444343	0.0525	0.0759578125000007	31	[35778693]
dna	MESH	0.037037037037037	1	0	0.307040479451983	6.61582964755291	0.352095456990562	0.138132420245826	108	[33311482]
dose-response relationship drug	MESH	0.074074074074074	2	832	0.423911987305183	8.45478538076289	0.824050075798327	0.240359272012638	4	[32778843,34717678]
drug interactions	MESH	0.037037037037037	1	0	0.393008662827203	3.5623698102208	0.149640569220989	0.13089414683009	124	[32134361]
drug resistance neoplasm	MESH	0.037037037037037	1	0	2.03628651528965	1.52672991866606	1	0	1	[34991659]
drug resistance neoplasm/drug effects	MESH	0.037037037037037	1	22.5	0.841581429058168	5.59800970177554	0.54	0.387936718750001	3	[34593794]
drug synergism	MESH	0.037037037037037	1	16.75	0.436298004408005	5.59800970177554	0.302606484424666	0.128239675455039	140	[31509699]
endoplasmic reticulum/drug effects	MESH	0.037037037037037	1	0	0.455544184024761	1.52672991866606	0.00880238642476405	0.156122957832274	90	[33277233]
endothelial cells/metabolism	MESH	0.037037037037037	1	0	0.334043603202898	6.61582964755291	0.352095456990562	0.190448158820779	57	[35197507]
energy metabolism/drug effects	MESH	0.037037037037037	1	16.75	0.436298004408005	5.59800970177554	0.302606484424666	0.128239675455039	136	[31509699]
exosomes/drug effects	MESH	0.037037037037037	1	22.5	0.841581429058168	5.59800970177554	0.54	0.387936718750001	7	[34593794]
exosomes/metabolism	MESH	0.037037037037037	1	105.234941739872	0.384643898224507	5.08909972888685	0.384957699643014	0.192641389853488	52	[34985903]
fatty acids/metabolism	MESH	0.037037037037037	1	153.772972972973	0.375649200122157	3.05345983733211	0.119223433908749	0.165875393231048	85	[33691090]
ferric compounds/chemistry	MESH	0.111111111111111	3	2188.7838404404	0.43045247678128	9.16037951199633	0.965230573622182	0.194093201781097	45	[33236624,34985903,32686685]
ferritins/blood	MESH	0.037037037037037	1	0	0.379565632355143	4.07127978310948	0.196586630153064	0.151921235350348	97	[31980600]
flavonolignans/pharmacology	MESH	0.037037037037037	1	909.586089054777	0.551038601825015	3.5623698102208	0.319233214338109	0.198593591093504	43	[33926261]
folic acid antagonists/pharmacology	MESH	0.037037037037037	1	453.550340923563	0.501355997616945	7.12473962044159	0.742334588488435	0.215283617110504	17	[32778843]
fusion regulatory protein 1 heavy chain/metabolism	MESH	0.037037037037037	1	46.8	0.71311211952417	3.05345983733211	0.2475	0.211353906250001	22	[31043744]
gels/chemistry	MESH	0.037037037037037	1	56.5986813186813	0.4317379059713	3.05345983733211	0.0978531957552937	0.148566682955663	103	[33236624]
gene expression	MESH	0.037037037037037	1	151.666666666667	0.359758423344008	4.07127978310948	0.334197271260208	0.202320968251696	35	[34717678]
gene expression regulation neoplastic	MESH	0.074074074074074	2	945	0.415603767680603	8.14255956621896	0.858232676414495	0.234813157796379	6	[34062295,32778843]
gene expression regulation neoplastic/drug effects	MESH	0.037037037037037	1	27.4000000000002	0.27208192487902	3.05345983733211	0.0888552007433126	0.130875730504962	132	[31554642]
genetic variation	MESH	0.037037037037037	1	0	0.379565632355143	4.07127978310948	0.196586630153064	0.151921235350348	96	[31980600]
glioblastoma/genetics	MESH	0.037037037037037	1	0	0.348065880785523	3.5623698102208	0.149640569220989	0.212610947029542	21	[34062295]
glutathione	MESH	0.037037037037037	1	0	0.348065880785523	3.5623698102208	0.149640569220989	0.212610947029542	30	[34396451]
glutathione peroxidase/metabolism	MESH	0.037037037037037	1	909.586089054777	0.551038601825015	3.5623698102208	0.319233214338109	0.198593591093504	41	[33926261]
glutathione peroxidase/therapeutic use	MESH	0.037037037037037	1	0	2.03628651528965	1.01781994577737	1	0	3	[31775041]
glutathione/metabolism	MESH	0.111111111111111	3	3754.33333333333	0.488647165920915	8.76701119530682	0.979020979020979	0.183319477007644	70	[33926261,32814895,30787033]
gold/chemistry	MESH	0.037037037037037	1	56.5986813186813	0.4317379059713	3.05345983733211	0.0978531957552937	0.148566682955663	105	[33236624]
heart ventricles/diagnostic imaging	MESH	0.037037037037037	1	0	0.334043603202898	6.61582964755291	0.352095456990562	0.190448158820779	56	[35197507]
heat-shock proteins/genetics	MESH	0.037037037037037	1	0	0.348065880785523	3.5623698102208	0.149640569220989	0.212610947029542	22	[34062295]
heme oxygenase-1/metabolism	MESH	0.037037037037037	1	23.1428571428571	0.688386528624669	4.07127978310948	0.50375	0.332235156250001	18	[33547170]
hemeproteins/toxicity	MESH	0.037037037037037	1	0	0.379565632355143	4.07127978310948	0.196586630153064	0.151921235350348	92	[31980600]
hemodynamics/drug effects	MESH	0.037037037037037	1	0	0.334043603202898	6.61582964755291	0.352095456990562	0.190448158820779	65	[35197507]
hepatic stellate cells/drug effects	MESH	0.037037037037037	1	0	0.495217541035164	4.07127978310948	0.2275	-0.0583515624999993	36	[34811833]
hepatocytes/drug effects	MESH	0.037037037037037	1	0	0.495217541035164	4.07127978310948	0.2275	-0.0583515624999993	33	[34811833]
hmgb1 protein/metabolism	MESH	0.037037037037037	1	0	0.334043603202898	6.61582964755291	0.352095456990562	0.190448158820779	66	[35197507]
host-pathogen interactions	MESH	0.037037037037037	1	46.3333333333332	0.409564709874123	3.5623698102208	0.204508777935351	0.177534852130048	74	[30787033]
hyaluronan receptors/genetics	MESH	0.037037037037037	1	0	0.348065880785523	3.5623698102208	0.149640569220989	0.212610947029542	28	[34062295]
hyaluronic acid/chemistry	MESH	0.037037037037037	1	22.5	0.841581429058168	5.59800970177554	0.54	0.387936718750001	8	[34593794]
hypertension pulmonary/chemically induced	MESH	0.037037037037037	1	0	0.334043603202898	6.61582964755291	0.352095456990562	0.190448158820779	67	[35197507]
hypoxia-inducible factor 1 alpha subunit/metabolism	MESH	0.037037037037037	1	0	0.495217541035164	4.07127978310948	0.2275	-0.0583515624999993	34	[34811833]
ileum/drug effects	MESH	0.037037037037037	1	0	0.393008662827203	3.5623698102208	0.149640569220989	0.13089414683009	122	[32134361]
immune checkpoint inhibitors/pharmacology	MESH	0.037037037037037	1	22.5	0.841581429058168	5.59800970177554	0.54	0.387936718750001	4	[34593794]
immunogenic cell death/drug effects	MESH	0.037037037037037	1	105.234941739872	0.384643898224507	5.08909972888685	0.384957699643014	0.192641389853488	47	[34985903]
immunologic memory	MESH	0.037037037037037	1	22.5	0.841581429058168	5.59800970177554	0.54	0.387936718750001	12	[34593794]
inflammasomes/metabolism	MESH	0.037037037037037	1	0	0.334043603202898	6.61582964755291	0.352095456990562	0.190448158820779	64	[35197507]
