KW	category	node_weight	occurrence	btw_cnt	cls_cnt	strength	qscore	Knode	ranking
acetaminophen/pharmacology	MESH	0.037037037037037	1	0	0.314740179841647	5.06092900844234	0.180393586005831	0.362412412414585	103
ACSL3	GENE	0.037037037037037	1	26.8571428571429	0.38724747108419	5.06092900844234	0.254841732611412	0.558032948985363	72
ACSL4	GENE	0.037037037037037	1	0	0.387350225333711	3.54265030590964	0.0705174927113703	0.216804099948553	130
actins/metabolism	MESH	0.037037037037037	1	0	0.295166868165669	5.56702190928657	0.242711370262391	0.717767571654903	48
adaptor proteins vesicular transport/genetics	MESH	0.037037037037037	1	0	2.02467225457843	6.07311481013081	0.769230769230769	-0.00819299044151122	8
adjuvants immunologic/chemistry	MESH	0.037037037037037	1	70.9847900742459	0.350040153779828	3.0365574050654	0.0346209912536443	0.0444951293906363	155
AIFM2	GENE	0.037037037037037	1	0	0.387350225333711	3.54265030590964	0.0705174927113703	0.216804099948553	132
amino acid transport system y+/genetics	MESH	0.037037037037037	1	401.797872340425	0.346831196884778	4.55483610759811	0.258121615993336	0.725717383961954	44
amino acid transport system y+/metabolism	MESH	0.074074074074074	2	2290	0.342246757044959	9.42251023196279	0.90509162848813	0.76346247752633	16
aniline compounds/chemistry	MESH	0.037037037037037	1	143.605763094024	0.317780160863582	5.06092900844234	0.306382757184506	-0.0249604500387325	164
aniline compounds/pharmacology	MESH	0.037037037037037	1	19.98	0.283568401578851	5.56702190928657	0.285089546022491	0.798240448531963	1
antibodies monoclonal humanized/pharmacology	MESH	0.037037037037037	1	160.707246376812	0.308014254171374	4.04874320675387	0.204966680549771	-0.0311019049866136	178
antineoplastic agents immunological/administration &amp; dosage	MESH	0.037037037037037	1	401.797872340425	0.346831196884778	4.55483610759811	0.258121615993336	0.725717383961954	43
antineoplastic agents/chemistry	MESH	0.037037037037037	1	23.375	0.362125202398978	5.56702190928657	0.315910037484382	0.0667721884773247	143
antioxidants/pharmacology	MESH	0.037037037037037	1	772.771572311324	0.437510736241119	6.57920771097504	0.686849229487713	0.351315381349464	115
apoptosis/drug effects	MESH	0.074074074074074	2	3421.65682780596	0.375202522496176	8.60357931435198	0.929820907955019	0.0465179103482966	150
ASAH2	GENE	0.037037037037037	1	144.8	0.34147528053859	5.56702190928657	0.446897126197418	0.761718418651835	18
ascorbic acid/pharmacology	MESH	0.037037037037037	1	538.7557032479	0.374795793855439	3.0365574050654	0.0579446064139942	0.196454329174809	138
asparaginase	MESH	0.037037037037037	1	464.79744680851	0.360559884009911	3.54265030590964	0.155586214077468	0.725966809852804	35
ATG5	GENE	0.037037037037037	1	1152.90358146713	0.476099747184278	4.04874320675387	0.282434402332362	0.465616866588287	92
ATL1	GENE	0.037037037037037	1	0	0.387350225333711	3.54265030590964	0.0705174927113703	0.216804099948553	133
ATM	GENE	0.037037037037037	1	401.797872340425	0.346831196884778	4.55483610759811	0.258121615993336	0.725717383961954	41
autophagy-related proteins/genetics	MESH	0.037037037037037	1	1152.90358146713	0.476099747184278	4.04874320675387	0.282434402332362	0.465616866588287	96
autophagy/drug effects	MESH	0.074074074074074	2	5307.2214837605	0.442483715119885	6.57920771097504	0.79789670970429	0.343772470691099	120
b-lymphocytes/metabolism	MESH	0.037037037037037	1	0	2.02467225457843	1.5182787025327	1	0	3
b7-h1 antigen/antagonists &amp; inhibitors	MESH	0.074074074074074	2	918.8	0.281165235600033	8.09748641350774	0.809454394002499	0.769016243470505	15
b7-h1 antigen/metabolism	MESH	0.037037037037037	1	143.605763094024	0.317780160863582	5.06092900844234	0.306382757184506	-0.0249604500387325	163
bacterial toxins/metabolism	MESH	0.037037037037037	1	0	2.02467225457843	8.09748641350774	1	0	3
basic-leucine zipper transcription factors/analysis	MESH	0.037037037037037	1	0	2.02467225457843	5.06092900844234	1	0	6
BDKRB2	GENE	0.037037037037037	1	0	2.02467225457843	1.5182787025327	1	0	2
benzylidene compounds/chemistry	MESH	0.037037037037037	1	143.605763094024	0.317780160863582	5.06092900844234	0.306382757184506	-0.0249604500387325	168
benzylidene compounds/pharmacology	MESH	0.037037037037037	1	19.98	0.283568401578851	5.56702190928657	0.285089546022491	0.798240448531963	2
biological products/chemistry	MESH	0.037037037037037	1	23.375	0.362125202398978	5.56702190928657	0.315910037484382	0.0667721884773247	141
biomarkers tumor	MESH	0.037037037037037	1	0	0.261829353332983	7.59139351266351	0.295189504373178	-0.0662584843019708	195
bone marrow/drug effects	MESH	0.037037037037037	1	0	0.326759694704741	3.54265030590964	0.0705174927113703	-0.0252607571850668	173
