entity	category	node_weight	occurrence	btw_cnt	cls_cnt	strength	qscore	Knode	ranking	repGM	repGT
myocardium/immunology	MESH	0.037037037037037	1	0.0	2.02467225457843	6.07311481013081	0.769230769230769	-0.0081929904415112	7	4.11522633744856	7.4074074074074066
neutrophils/immunology	MESH	0.037037037037037	1	0.0	2.02467225457843	6.07311481013081	0.769230769230769	-0.0081929904415112	4	4.11522633744856	7.4074074074074066
cyclohexylamines/pharmacology	MESH	0.074074074074074	2	0.0	2.2636345116958	6.69879084366397	1.0	0.0546199362767409	2	4.11522633744856	7.4074074074074066
neutrophil infiltration	MESH	0.037037037037037	1	0.0	2.02467225457843	6.07311481013081	0.769230769230769	-0.0081929904415112	12	4.11522633744856	7.4074074074074066
inflammation/drug therapy	MESH	0.037037037037037	1	0.0	2.02467225457843	6.07311481013081	0.769230769230769	-0.0081929904415112	10	4.11522633744856	7.4074074074074066
adaptor proteins vesicular transport/genetics	MESH	0.037037037037037	1	0.0	2.02467225457843	6.07311481013081	0.769230769230769	-0.0081929904415112	8	4.11522633744856	7.4074074074074066
phenylenediamines/pharmacology	MESH	0.074074074074074	2	0.0	2.2636345116958	6.69879084366397	1.0	0.0546199362767409	1	4.11522633744856	7.4074074074074066
ventricular function left/drug effects	MESH	0.037037037037037	1	0.0	2.02467225457843	6.07311481013081	0.769230769230769	-0.0081929904415112	6	4.11522633744856	7.4074074074074066
myocardial reperfusion injury/drug therapy	MESH	0.037037037037037	1	0.0	2.02467225457843	6.07311481013081	0.769230769230769	-0.0081929904415112	5	4.11522633744856	7.4074074074074066
toll-like receptor 4/genetics	MESH	0.037037037037037	1	0.0	2.02467225457843	6.07311481013081	0.769230769230769	-0.0081929904415112	11	4.11522633744856	7.4074074074074066
