kw1	kw2	iteration	R1C1	edge_weight	pg	inv_edge_weight	crit_p
tumor-associated macrophages/drug effects	triple negative breast neoplasms/drug therapy	0	1	0.037037037037037	3.225803291151408e-09	0.4942668724231458	2.6889058940625094e-08
tumor-associated macrophages/drug effects	drug resistance neoplasm	0	1	0.037037037037037	3.225803291151408e-09	0.4942668724231458	2.6889058940625094e-08
tumor-associated macrophages/drug effects	basic-leucine zipper transcription factors/analysis	0	1	0.037037037037037	3.225803291151408e-09	0.4942668724231458	2.6889058940625094e-08
tumor-associated macrophages/drug effects	GGT1	0	1	0.037037037037037	3.225803291151408e-09	0.4942668724231458	2.6889058940625094e-08
tumor-associated macrophages/drug effects	HLF	0	1	0.037037037037037	3.225803291151408e-09	0.4942668724231458	2.6889058940625094e-08
tumor-associated macrophages/drug effects	IL6	0	1	0.037037037037037	3.225803291151408e-09	0.4942668724231458	2.6889058940625094e-08
tumor-associated macrophages/drug effects	JAK2	0	1	0.037037037037037	3.225803291151408e-09	0.4942668724231458	2.6889058940625094e-08
tumor-associated macrophages/drug effects	STAT3	0	1	0.037037037037037	3.225803291151408e-09	0.4942668724231458	2.6889058940625094e-08
tumor-associated macrophages/drug effects	TGFB1	0	1	0.037037037037037	3.225803291151408e-09	0.4942668724231458	2.6889058940625094e-08
JAK2	triple negative breast neoplasms/drug therapy	0	1	0.037037037037037	3.225803291151408e-09	0.4942668724231458	2.6889058940625094e-08
JAK2	drug resistance neoplasm	0	1	0.037037037037037	3.225803291151408e-09	0.4942668724231458	2.6889058940625094e-08
JAK2	basic-leucine zipper transcription factors/analysis	0	1	0.037037037037037	3.225803291151408e-09	0.4942668724231458	2.6889058940625094e-08
JAK2	GGT1	0	1	0.037037037037037	3.225803291151408e-09	0.4942668724231458	2.6889058940625094e-08
JAK2	HLF	0	1	0.037037037037037	3.225803291151408e-09	0.4942668724231458	2.6889058940625094e-08
JAK2	IL6	0	1	0.037037037037037	3.225803291151408e-09	0.4942668724231458	2.6889058940625094e-08
JAK2	STAT3	0	1	0.037037037037037	3.225803291151408e-09	0.4942668724231458	2.6889058940625094e-08
JAK2	TGFB1	0	1	0.037037037037037	3.225803291151408e-09	0.4942668724231458	2.6889058940625094e-08
triple negative breast neoplasms/drug therapy	drug resistance neoplasm	0	1	0.037037037037037	3.225803291151408e-09	0.4942668724231458	2.6889058940625094e-08
triple negative breast neoplasms/drug therapy	basic-leucine zipper transcription factors/analysis	0	1	0.037037037037037	3.225803291151408e-09	0.4942668724231458	2.6889058940625094e-08
triple negative breast neoplasms/drug therapy	GGT1	0	1	0.037037037037037	3.225803291151408e-09	0.4942668724231458	2.6889058940625094e-08
triple negative breast neoplasms/drug therapy	HLF	0	1	0.037037037037037	3.225803291151408e-09	0.4942668724231458	2.6889058940625094e-08
triple negative breast neoplasms/drug therapy	IL6	0	1	0.037037037037037	3.225803291151408e-09	0.4942668724231458	2.6889058940625094e-08
triple negative breast neoplasms/drug therapy	STAT3	0	1	0.037037037037037	3.225803291151408e-09	0.4942668724231458	2.6889058940625094e-08
triple negative breast neoplasms/drug therapy	TGFB1	0	1	0.037037037037037	3.225803291151408e-09	0.4942668724231458	2.6889058940625094e-08
basic-leucine zipper transcription factors/analysis	drug resistance neoplasm	0	1	0.037037037037037	3.225803291151408e-09	0.4942668724231458	2.6889058940625094e-08
basic-leucine zipper transcription factors/analysis	GGT1	0	1	0.037037037037037	3.225803291151408e-09	0.4942668724231458	2.6889058940625094e-08
basic-leucine zipper transcription factors/analysis	HLF	0	1	0.037037037037037	3.225803291151408e-09	0.4942668724231458	2.6889058940625094e-08
basic-leucine zipper transcription factors/analysis	IL6	0	1	0.037037037037037	3.225803291151408e-09	0.4942668724231458	2.6889058940625094e-08
basic-leucine zipper transcription factors/analysis	STAT3	0	1	0.037037037037037	3.225803291151408e-09	0.4942668724231458	2.6889058940625094e-08
basic-leucine zipper transcription factors/analysis	TGFB1	0	1	0.037037037037037	3.225803291151408e-09	0.4942668724231458	2.6889058940625094e-08
STAT3	drug resistance neoplasm	0	1	0.037037037037037	3.225803291151408e-09	0.4942668724231458	2.6889058940625094e-08
STAT3	GGT1	0	1	0.037037037037037	3.225803291151408e-09	0.4942668724231458	2.6889058940625094e-08
STAT3	HLF	0	1	0.037037037037037	3.225803291151408e-09	0.4942668724231458	2.6889058940625094e-08
STAT3	IL6	0	1	0.037037037037037	3.225803291151408e-09	0.4942668724231458	2.6889058940625094e-08
STAT3	TGFB1	0	1	0.037037037037037	3.225803291151408e-09	0.4942668724231458	2.6889058940625094e-08
HLF	drug resistance neoplasm	0	1	0.037037037037037	3.225803291151408e-09	0.4942668724231458	2.6889058940625094e-08
HLF	GGT1	0	1	0.037037037037037	3.225803291151408e-09	0.4942668724231458	2.6889058940625094e-08
