entity	category	node_weight	occurrence
TLR4	GENE	0.074074074074074	2
cyclohexylamines/pharmacology	MESH	0.074074074074074	2
TICAM1	GENE	0.037037037037037	1
neutrophils/immunology	MESH	0.037037037037037	1
adaptor proteins vesicular transport/genetics	MESH	0.037037037037037	1
toll-like receptor 4/genetics	MESH	0.037037037037037	1
phenylenediamines/pharmacology	MESH	0.074074074074074	2
neutrophil infiltration	MESH	0.037037037037037	1
myocardial reperfusion injury/drug therapy	MESH	0.037037037037037	1
ventricular function left/drug effects	MESH	0.037037037037037	1
inflammation/drug therapy	MESH	0.037037037037037	1
myocardium/immunology	MESH	0.037037037037037	1
TRIM69	GENE	0.037037037037037	1
