KW	Category	Representativeness	Raw.Occurrence	Betweenness.centrality	Closeness.centrality	Strength	Wscore	Knode	Knode.rank	CommunityMembership	PMIDlist
acetaminophen/pharmacology	MESH	0.037037037037037	1	0	0.54212837182737	5.08909972888685	0.16607196787508	3.72709616714939	291	1	[34062295]
ACSL3	GENE	0.0147058823529411	1	0	0.699062504423946	5.58792797798315	0.194024675339202	10.1254478140131	21	2	[32814895]
ACSL4	GENE	0.0147058823529411	1	1	0.787838588063539	5.0588545575097	0.109528976185949	7.14486671667515	158	3	[33277233]
actins/metabolism	MESH	0.0147058823529411	1	16.2157842157842	0.757368867556374	7.60340442195312	0.392232749074395	7.1617443637356	153	4	[34811833]
adaptor proteins vesicular transport/genetics	MESH	0.0147058823529411	1	0	0.533882761764928	6.61582964755291	0.300902674466729	6.68825368333673	175	5	[30830879]
adjuvants immunologic/chemistry	MESH	0.0147058823529411	1	75.8571428571429	0.750933784654723	4.57010803220578	0.134047717587052	5.9787268126895	202	6	[33236624]
AIFM2	GENE	0.0147058823529411	1	1	0.787838588063539	5.0588545575097	0.109528976185949	7.14486671667515	157	3	[33277233]
amino acid transport system y+/genetics	MESH	0.0147058823529411	1	0	0.723986764296883	5.07901800509447	0.116743660585452	8.42821484689848	69	4	[31554642]
amino acid transport system y+/metabolism	MESH	0.0294117647058823	2	678.893939393939	0.883681779430667	11.4780000467178	0.789834565608886	6.32405629756541	194	4	[34811833,31043744]
amp-activated protein kinase kinases	MESH	0.0147058823529411	1	2.35714285714286	0.597195355091685	8.4800802346371	0.452053109025626	11.0702281840571	1	7	[34093872]
aniline compounds/chemistry	MESH	0.0147058823529411	1	0	0.653072569847761	5.08909972888685	0.16607196787508	5.24188196468413	256	8	[34985903]
aniline compounds/pharmacology	MESH	0.0147058823529411	1	0	0.569870277795956	6.09683795087184	0.268017136273643	7.94433202564568	85	9	[34593794]
anti-inflammatory agents/pharmacology	MESH	0.0147058823529411	1	138.849783549784	0.660847984446203	4.4894542418667	0.114953971432087	8.64651535634125	62	6	[30755716]
antibodies monoclonal humanized/pharmacology	MESH	0.0147058823529411	1	833.45	0.842376695172728	6.05651105570229	0.359089943065514	5.89630321683315	204	8	[33691090]
antineoplastic agents immunological/administration &amp; dosage	MESH	0.0147058823529411	1	0	0.723986764296883	5.07901800509447	0.116743660585452	8.42821484689848	70	4	[31554642]
antineoplastic agents/chemistry	MESH	0.0147058823529411	1	63.85	0.752716369486135	6.09683795087184	0.366472410823145	6.61552039864786	186	6	[31509699]
