KW1	KW2	P.value	adj.P.value	FisherP.value	ztPois.cdf	Raw.CO.Occurrence	Expansion	PMIDlist
acetaminophen/pharmacology	brain neoplasms/genetics	1.51878509768721e-12	3.21494655714812e-11	0.037037037037037	0.491090027111315	1	0	[34062295]
acetaminophen/pharmacology	cation transport proteins/genetics	1.51878509768721e-12	3.21494655714812e-11	0.037037037037037	0.491090027111315	1	0	[34062295]
acetaminophen/pharmacology	gene expression regulation neoplastic	1.62808224802857e-05	6.33368658790105e-05	0.074074074074074	0.491090027111315	1	0	[34062295]
acetaminophen/pharmacology	glioblastoma/genetics	1.51878509768721e-12	3.21494655714812e-11	0.037037037037037	0.491090027111315	1	0	[34062295]
acetaminophen/pharmacology	heat-shock proteins/genetics	1.51878509768721e-12	3.21494655714812e-11	0.037037037037037	0.491090027111315	1	0	[34062295]
acetaminophen/pharmacology	hyaluronan receptors/genetics	1.51878509768721e-12	3.21494655714812e-11	0.037037037037037	0.491090027111315	1	0	[34062295]
acetaminophen/pharmacology	t-lymphocytes cytotoxic/immunology	1.51878509768721e-12	3.21494655714812e-11	0.037037037037037	0.491090027111315	1	0	[34062295]
actins/metabolism	amino acid transport system y+/metabolism	0.0009142822313443	0.0021059717799036	0.074074074074074	0.491090027111315	1	0	[34811833]
actins/metabolism	cell line	5.72955623634464e-06	2.46890239010393e-05	0.037037037037037	0.491090027111315	1	0	[34811833]
actins/metabolism	collagen type i/metabolism	5.72955623634464e-06	2.46890239010393e-05	0.037037037037037	0.491090027111315	1	0	[34811833]
actins/metabolism	hepatic stellate cells/drug effects	5.72955623634464e-06	2.46890239010393e-05	0.037037037037037	0.491090027111315	1	0	[34811833]
actins/metabolism	hepatocytes/drug effects	5.72955623634464e-06	2.46890239010393e-05	0.037037037037037	0.491090027111315	1	0	[34811833]
actins/metabolism	hypoxia-inducible factor 1 alpha subunit/metabolism	5.72955623634464e-06	2.46890239010393e-05	0.037037037037037	0.491090027111315	1	0	[34811833]
actins/metabolism	liver cirrhosis/drug therapy	5.72955623634464e-06	2.46890239010393e-05	0.037037037037037	0.491090027111315	1	0	[34811833]
actins/metabolism	macrophages/drug effects	0.0019364221367503	0.0031229382209923	0.0735294117647058	0.5011717509037	1	1	[34811833]
actins/metabolism	sorafenib/pharmacology	5.72955623634464e-06	2.46890239010393e-05	0.037037037037037	0.491090027111315	1	0	[34811833]
adaptor proteins vesicular transport/genetics	cyclohexylamines/pharmacology	0.0006867567885109	0.001610019956897	0.074074074074074	0.491090027111315	1	0	[30830879]
adaptor proteins vesicular transport/genetics	inflammation/drug therapy	3.10419946414342e-08	1.77908664941026e-07	0.037037037037037	0.491090027111315	1	0	[30830879]
adaptor proteins vesicular transport/genetics	myocardial reperfusion injury/drug therapy	3.10419946414342e-08	1.77908664941026e-07	0.037037037037037	0.491090027111315	1	0	[30830879]
adaptor proteins vesicular transport/genetics	myocardium/immunology	3.10419946414342e-08	1.77908664941026e-07	0.037037037037037	0.491090027111315	1	0	[30830879]
adaptor proteins vesicular transport/genetics	neutrophil infiltration	3.10419946414342e-08	1.77908664941026e-07	0.037037037037037	0.491090027111315	1	0	[30830879]
adaptor proteins vesicular transport/genetics	neutrophils/immunology	3.10419946414342e-08	1.77908664941026e-07	0.037037037037037	0.491090027111315	1	0	[30830879]
adaptor proteins vesicular transport/genetics	phenylenediamines/pharmacology	0.0006867567885109	0.001610019956897	0.074074074074074	0.491090027111315	1	0	[30830879]
adaptor proteins vesicular transport/genetics	toll-like receptor 4/genetics	3.10419946414342e-08	1.77908664941026e-07	0.037037037037037	0.491090027111315	1	0	[30830879]
adaptor proteins vesicular transport/genetics	ventricular function left/drug effects	3.10419946414342e-08	1.77908664941026e-07	0.037037037037037	0.491090027111315	1	0	[30830879]
adjuvants immunologic/chemistry	dextrans/chemistry	1.51878509768721e-12	3.21494655714812e-11	0.037037037037037	0.491090027111315	1	0	[33236624]
adjuvants immunologic/chemistry	ferric compounds/chemistry	0.0001168032959434	0.0003588236845719	0.111111111111111	0.491090027111315	1	0	[33236624]
adjuvants immunologic/chemistry	gels/chemistry	1.51878509768721e-12	3.21494655714812e-11	0.037037037037037	0.491090027111315	1	0	[33236624]
adjuvants immunologic/chemistry	gold/chemistry	1.51878509768721e-12	3.21494655714812e-11	0.037037037037037	0.491090027111315	1	0	[33236624]
adjuvants immunologic/chemistry	macrophages/cytology	3.26106776693535e-06	1.56574445763452e-05	0.074074074074074	0.491090027111315	1	0	[33236624]
adjuvants immunologic/chemistry	reactive oxygen species/metabolism	0.000246122170292	0.0004560386748922	0.102941176470588	0.5011717509037	1	1	[33236624]
adjuvants immunologic/chemistry	urinary bladder neoplasms/pathology	1.51878509768721e-12	3.21494655714812e-11	0.037037037037037	0.491090027111315	1	0	[33236624]
amino acid transport system y+/genetics	antineoplastic agents immunological/administration &amp; dosage	9.44154754378701e-11	1.14562710782353e-09	0.037037037037037	0.491090027111315	1	0	[31554642]
amino acid transport system y+/genetics	cd8-positive t-lymphocytes/immunology	0.0042660683096238	0.0086454214520678	0.111111111111111	0.491090027111315	1	0	[31554642]
amino acid transport system y+/genetics	cell survival/drug effects	0.0035872302582571	0.0074200911190768	0.111111111111111	0.491090027111315	1	0	[31554642]
amino acid transport system y+/genetics	gene expression regulation neoplastic/drug effects	9.44154754378701e-11	1.14562710782353e-09	0.037037037037037	0.491090027111315	1	0	[31554642]
amino acid transport system y+/genetics	lipid metabolism/drug effects	9.44154754378701e-11	1.14562710782353e-09	0.037037037037037	0.491090027111315	1	0	[31554642]
amino acid transport system y+/genetics	sulfasalazine/administration &amp; dosage	9.44154754378701e-11	1.14562710782353e-09	0.037037037037037	0.491090027111315	1	0	[31554642]
