KW	Category	Representativeness	Raw.Occurrence	Betweenness.centrality	Closeness.centrality	Strength	Wscore	Knode	Knode.rank	PMIDlist
acetaminophen/pharmacology	MESH	0.037037037037037	1	0	0.457752901239134	3.5623698102208	0.157645089285714	1.2281823148334	159	[34062295]
actins/metabolism	MESH	0.0147058823529411	1	23	0.486886784489864	4.57010803220578	0.260682397959184	1.32439714945736	124	[34811833]
adaptor proteins vesicular transport/genetics	MESH	0.0147058823529411	1	0	0.391157941756347	4.58018975599817	0.277004942602041	1.25306555173238	141	[30830879]
adjuvants immunologic/chemistry	MESH	0.0147058823529411	1	74.9333333333333	0.637809341608555	3.55228808642841	0.136599170918367	1.70901497042906	57	[33236624]
amino acid transport system y+/genetics	MESH	0.0147058823529411	1	30.4	0.466711096088731	3.05345983733211	0.0772281568877551	1.23089780890905	150	[31554642]
amino acid transport system y+/metabolism	MESH	0.0294117647058823	2	1298	0.537678496757502	7.11465789664921	0.787966358418367	1.73266889928826	52	[34811833,31043744]
amp-activated protein kinase kinases	MESH	0.0147058823529411	1	73.9171428571428	0.521418186966223	3.9906259927704	0.220982142857143	1.4753937488891	76	[34093872]
aniline compounds/chemistry	MESH	0.0147058823529411	1	0	0.500692249695422	5.08909972888685	0.315290178571429	1.22691759890388	162	[34985903]
aniline compounds/pharmacology	MESH	0.0147058823529411	1	0	0.426215416674971	6.09683795087184	0.362583705357143	1.96443438261858	19	[34593794]
anti-inflammatory agents/pharmacology	MESH	0.0147058823529411	1	119.785	0.552132874416418	2.4941412454815	0.0387436224489796	1.62523241213884	67	[30755716]
antibodies monoclonal humanized/pharmacology	MESH	0.0147058823529411	1	591.194616204691	0.679261771175357	3.55228808642841	0.178770727040816	1.51101874590215	72	[33691090]
antineoplastic agents immunological/administration &amp; dosage	MESH	0.0147058823529411	1	30.4	0.466711096088731	3.05345983733211	0.0772281568877551	1.23089780890905	148	[31554642]
antineoplastic agents/chemistry	MESH	0.0147058823529411	1	37.868961038961	0.558512190438855	5.59800970177554	0.397600446428571	1.22097311532281	172	[31509699]
antineoplastic agents/pharmacology	MESH	0.102941176470588	7	2352.92574777932	0.809558385252495	11.5504821124026	0.96452487244898	1.56289118203156	68	[33926261,33277233,34991659,33547170,32778843]
antioxidants/pharmacology	MESH	0.0147058823529411	1	114.333333333333	0.695467190662029	7.62356786953789	0.632932079081633	0.954265713642033	215	[32778843]
apoptosis/drug effects	MESH	0.0441176470588235	3	1716.09454545455	0.631281133021707	9.64912603730024	0.912707270408163	1.24683055853851	145	[31509699,32134361,30420335]
