"entity"	"membership"
"acetaminophen/pharmacology"	1
"brain neoplasms/genetics"	1
"cation transport proteins/genetics"	1
"CD44"	1
"gene expression regulation neoplastic"	1
"glioblastoma/genetics"	1
"heat-shock proteins/genetics"	1
"HSPB1"	1
"hyaluronan receptors/genetics"	1
"SLC40A1"	1
"t-lymphocytes cytotoxic/immunology"	1
"acetates/therapeutic use"	2
"antineoplastic agents phytogenic/therapeutic use"	2
"interleukin-8/metabolism"	2
"melanoma/drug therapy"	2
"paclitaxel/therapeutic use"	2
"tyramine/analogs & derivatives"	2
"ACSL3"	3
"ATG5"	3
"autophagy-related proteins/genetics"	3
"autophagy/drug effects"	3
"cd11b antigen/metabolism"	3
"cell survival"	3
"chemokines/metabolism"	3
"coenzyme a ligases/metabolism"	3
"CSF3"	3
"ferroptosis/drug effects"	3
"flavonolignans/pharmacology"	3
"glutathione peroxidase/metabolism"	3
"glutathione/metabolism"	3
"GPX4"	3
"granulocyte colony-stimulating factor/pharmacology"	3
"host-pathogen interactions"	3
"iron chelating agents/pharmacology"	3
"iron/metabolism"	3
"ITGAM"	3
"lymph nodes/drug effects"	3
"lymph/metabolism"	3
"melanoma/blood"	3
"neoplasm metastasis/drug therapy"	3
"neutrophils/metabolism"	3
"oleic acid/metabolism"	3
"oxidative stress/drug effects"	3
"phospholipid hydroperoxide glutathione peroxidase/metabolism"	3
"precursor cell lymphoblastic leukemia-lymphoma/metabolism"	3
"radiation tolerance/drug effects"	3
"reactive oxygen species/metabolism"	3
"tuberculosis/metabolism"	3
"ACSL4"	4
"AIFM2"	4
"antibodies monoclonal humanized/pharmacology"	4
"antineoplastic agents/chemistry"	4
"apoptosis regulatory proteins/metabolism"	4
"apoptosis/drug effects"	4
"ATL1"	4
"biological products/chemistry"	4
"bone marrow/drug effects"	4
"CD36"	4
"cd36 antigens/antagonists & inhibitors"	4
"cd8-positive t-lymphocytes/drug effects"	4
"CD8A"	4
"cytokines/metabolism"	4
"dichloroacetic acid/chemistry"	4
"drug interactions"	4
"drug synergism"	4
"endoplasmic reticulum/drug effects"	4
"energy metabolism/drug effects"	4
"fas ligand protein/genetics"	4
"fas receptor/genetics"	4
"fatty acids/metabolism"	4
"hypoxia"	4
"ileum/drug effects"	4
"macrophages/cytology"	4
"mitochondria/drug effects"	4
"mitochondrial proteins/metabolism"	4
"multiple myeloma/drug therapy"	4
"necroptosis/drug effects"	4
"neoplasms/drug therapy"	4
"neovascularization pathologic/immunology"	4
"plant leaves/chemistry"	4
"protein kinase inhibitors/chemistry"	4
"pyruvate dehydrogenase acetyl-transferring kinase/antagonists & inhibitors"	4
"radiation-protective agents/pharmacology"	4
"S100A4"	4
"saponins/chemistry"	4
"sarcoma/drug therapy"	4
"small molecule libraries/pharmacology"	4
"actins/metabolism"	5
"adenosine triphosphate/metabolism"	5
"amino acid transport system y+/metabolism"	5
"antioxidants/chemistry"	5
"autocrine communication"	5
"biological factors/chemistry"	5
"cell line"	5
"cell survival/physiology"	5
"collagen type i/metabolism"	5
"FN1"	5
"hepatic stellate cells/drug effects"	5
"hepatocytes/drug effects"	5
"HIF1A"	5
"hydrogen peroxide/antagonists & inhibitors"	5
"hypoxia-inducible factor 1 alpha subunit/metabolism"	5
"liver cirrhosis/drug therapy"	5
"MMRN1"	5
"peptides/chemistry"	5
"pyruvic acid/metabolism"	5
"sorafenib/pharmacology"	5
"adaptor proteins signal transducing/metabolism"	6
"antibodies monoclonal/pharmacology"	6
"antigen presentation/drug effects"	6
"antineoplastic agents phytogenic/pharmacology"	6
"b-lymphocytes/metabolism"	6
"b7-h1 antigen/antagonists & inhibitors"	6
"b7-h1 antigen/genetics"	6
"BDKRB2"	6
"carbazoles/pharmacology"	6
"carcinoma hepatocellular/genetics"	6
"carcinoma non-small-cell lung/drug therapy"	6
"carcinoma squamous cell/immunology"	6
"CD274"	6
"cell cycle proteins/metabolism"	6
"chalcones/pharmacology"	6
"CIITA"	6
"cytoskeletal proteins/metabolism"	6
"drug combinations"	6
"drugs chinese herbal/pharmacology"	6
"EIF2S1"	6
"FOXP3"	6
"gene expression regulation neoplastic/drug effects"	6
"glutathione peroxidase/therapeutic use"	6
"HDAC9"	6
"histone deacetylase inhibitors/pharmacology"	6
"histone deacetylases/chemistry"	6
"immune checkpoint inhibitors/chemical synthesis"	6
"immune evasion/drug effects"	6
"interferon-gamma/metabolism"	6
"KCNQ1"	6
"KCNQ1OT1"	6
"liver neoplasms/drug therapy"	6
"maleimides"	6
"micrornas/genetics"	6
"mouth neoplasms/immunology"	6
"neoplasm invasiveness"	6
"nitrobenzenes/chemistry"	6
"PDCD1"	6
"potassium channels voltage-gated/metabolism"	6
"PRKD1"	6
"programmed cell death 1 receptor/antagonists & inhibitors"	6
"protein kinases/genetics"	6
"pyrimidines/pharmacology"	6
"rna small interfering/genetics"	6
"t-lymphocytes/cytology"	6
"tumor escape"	6
"adaptor proteins vesicular transport/genetics"	7
"cyclohexylamines/pharmacology"	7
"inflammation/drug therapy"	7
"myocardial reperfusion injury/drug therapy"	7
"myocardium/immunology"	7
"neutrophil infiltration"	7
"neutrophils/immunology"	7
"phenylenediamines/pharmacology"	7
"TICAM1"	7
"TLR4"	7
"toll-like receptor 4/genetics"	7
"TRIM69"	7
"ventricular function left/drug effects"	7
"adjuvants immunologic/administration & dosage"	8
"aniline compounds/pharmacology"	8
"antigens neoplasm/immunology"	8
"benzylidene compounds/pharmacology"	8
"cell line tumor/transplantation"	8
"cisplatin/administration & dosage"	8
"cytotoxicity immunologic/drug effects"	8
"drug resistance neoplasm/drug effects"	8
"exosomes/drug effects"	8
"hyaluronic acid/chemistry"	8
"immune checkpoint inhibitors/pharmacology"	8
"immunologic memory"	8
"immunologic memory/drug effects"	8
"lymphocytes tumor-infiltrating/drug effects"	8
"skin neoplasms/drug therapy"	8
"t-lymphocytes cytotoxic/drug effects"	8
"t-lymphocytes regulatory/drug effects"	8
"tumor escape/drug effects"	8
"adjuvants immunologic/chemistry"	9
"aniline compounds/chemistry"	9
"ascorbic acid/pharmacology"	9
"b7-h1 antigen/metabolism"	9
"benzylidene compounds/chemistry"	9
"CALR"	9
"calreticulin/metabolism"	9
"cd8-positive t-lymphocytes/cytology"	9
"dextrans/chemistry"	9
"exosomes/metabolism"	9
"ferric compounds/chemistry"	9
"gels/chemistry"	9
"gold/chemistry"	9
"immunogenic cell death/drug effects"	9
"metal-organic frameworks/chemistry"	9
"neoplasms/diagnostic imaging"	9
