kw1	kw2	pg	crit_p	edge_weight	inv_edge_weight	R1C1	iteration
inflammation/drug therapy	adaptor proteins vesicular transport/genetics	4.50449207933801e-08	2.84818917781398e-07	0.037037037037037	0.493907099155766	1	0
inflammation/drug therapy	cyclohexylamines/pharmacology	0.0010656452709273	0.0025341438075405	0.074074074074074	0.493907099155766	1	0
inflammation/drug therapy	myocardial reperfusion injury/drug therapy	4.50449207933801e-08	2.84818917781398e-07	0.037037037037037	0.493907099155766	1	0
inflammation/drug therapy	myocardium/immunology	4.50449207933801e-08	2.84818917781398e-07	0.037037037037037	0.493907099155766	1	0
inflammation/drug therapy	neutrophil infiltration	4.50449207933801e-08	2.84818917781398e-07	0.037037037037037	0.493907099155766	1	0
inflammation/drug therapy	neutrophils/immunology	4.50449207933801e-08	2.84818917781398e-07	0.037037037037037	0.493907099155766	1	0
inflammation/drug therapy	phenylenediamines/pharmacology	0.0010656452709273	0.0025341438075405	0.074074074074074	0.493907099155766	1	0
inflammation/drug therapy	toll-like receptor 4/genetics	4.50449207933801e-08	2.84818917781398e-07	0.037037037037037	0.493907099155766	1	0
inflammation/drug therapy	ventricular function left/drug effects	4.50449207933801e-08	2.84818917781398e-07	0.037037037037037	0.493907099155766	1	0
phenylenediamines/pharmacology	adaptor proteins vesicular transport/genetics	0.0010656452709273	0.0025341438075405	0.074074074074074	0.493907099155766	1	0
phenylenediamines/pharmacology	cyclohexylamines/pharmacology	0.00014820110894	0.000430698472181	0.0028490028490028	0.181069082389183	2	0
phenylenediamines/pharmacology	myocardial reperfusion injury/drug therapy	0.0010656452709273	0.0025341438075405	0.074074074074074	0.493907099155766	1	0
phenylenediamines/pharmacology	myocardium/immunology	0.0010656452709273	0.0025341438075405	0.074074074074074	0.493907099155766	1	0
phenylenediamines/pharmacology	neutrophil infiltration	0.0010656452709273	0.0025341438075405	0.074074074074074	0.493907099155766	1	0
phenylenediamines/pharmacology	neutrophils/immunology	0.0010656452709273	0.0025341438075405	0.074074074074074	0.493907099155766	1	0
phenylenediamines/pharmacology	toll-like receptor 4/genetics	0.0010656452709273	0.0025341438075405	0.074074074074074	0.493907099155766	1	0
phenylenediamines/pharmacology	ventricular function left/drug effects	0.0010656452709273	0.0025341438075405	0.074074074074074	0.493907099155766	1	0
neutrophils/immunology	adaptor proteins vesicular transport/genetics	4.50449207933801e-08	2.84818917781398e-07	0.037037037037037	0.493907099155766	1	0
neutrophils/immunology	cyclohexylamines/pharmacology	0.0010656452709273	0.0025341438075405	0.074074074074074	0.493907099155766	1	0
neutrophils/immunology	myocardial reperfusion injury/drug therapy	4.50449207933801e-08	2.84818917781398e-07	0.037037037037037	0.493907099155766	1	0
neutrophils/immunology	myocardium/immunology	4.50449207933801e-08	2.84818917781398e-07	0.037037037037037	0.493907099155766	1	0
neutrophils/immunology	neutrophil infiltration	4.50449207933801e-08	2.84818917781398e-07	0.037037037037037	0.493907099155766	1	0
neutrophils/immunology	toll-like receptor 4/genetics	4.50449207933801e-08	2.84818917781398e-07	0.037037037037037	0.493907099155766	1	0
neutrophils/immunology	ventricular function left/drug effects	4.50449207933801e-08	2.84818917781398e-07	0.037037037037037	0.493907099155766	1	0
myocardium/immunology	adaptor proteins vesicular transport/genetics	4.50449207933801e-08	2.84818917781398e-07	0.037037037037037	0.493907099155766	1	0
myocardium/immunology	cyclohexylamines/pharmacology	0.0010656452709273	0.0025341438075405	0.074074074074074	0.493907099155766	1	0
myocardium/immunology	myocardial reperfusion injury/drug therapy	4.50449207933801e-08	2.84818917781398e-07	0.037037037037037	0.493907099155766	1	0
myocardium/immunology	neutrophil infiltration	4.50449207933801e-08	2.84818917781398e-07	0.037037037037037	0.493907099155766	1	0
myocardium/immunology	toll-like receptor 4/genetics	4.50449207933801e-08	2.84818917781398e-07	0.037037037037037	0.493907099155766	1	0
myocardium/immunology	ventricular function left/drug effects	4.50449207933801e-08	2.84818917781398e-07	0.037037037037037	0.493907099155766	1	0
adaptor proteins vesicular transport/genetics	cyclohexylamines/pharmacology	0.0010656452709273	0.0025341438075405	0.074074074074074	0.493907099155766	1	0
adaptor proteins vesicular transport/genetics	myocardial reperfusion injury/drug therapy	4.50449207933801e-08	2.84818917781398e-07	0.037037037037037	0.493907099155766	1	0
adaptor proteins vesicular transport/genetics	neutrophil infiltration	4.50449207933801e-08	2.84818917781398e-07	0.037037037037037	0.493907099155766	1	0
adaptor proteins vesicular transport/genetics	toll-like receptor 4/genetics	4.50449207933801e-08	2.84818917781398e-07	0.037037037037037	0.493907099155766	1	0
adaptor proteins vesicular transport/genetics	ventricular function left/drug effects	4.50449207933801e-08	2.84818917781398e-07	0.037037037037037	0.493907099155766	1	0
ventricular function left/drug effects	cyclohexylamines/pharmacology	0.0010656452709273	0.0025341438075405	0.074074074074074	0.493907099155766	1	0
ventricular function left/drug effects	myocardial reperfusion injury/drug therapy	4.50449207933801e-08	2.84818917781398e-07	0.037037037037037	0.493907099155766	1	0
ventricular function left/drug effects	neutrophil infiltration	4.50449207933801e-08	2.84818917781398e-07	0.037037037037037	0.493907099155766	1	0
ventricular function left/drug effects	toll-like receptor 4/genetics	4.50449207933801e-08	2.84818917781398e-07	0.037037037037037	0.493907099155766	1	0
neutrophil infiltration	cyclohexylamines/pharmacology	0.0010656452709273	0.0025341438075405	0.074074074074074	0.493907099155766	1	0
neutrophil infiltration	myocardial reperfusion injury/drug therapy	4.50449207933801e-08	2.84818917781398e-07	0.037037037037037	0.493907099155766	1	0
neutrophil infiltration	toll-like receptor 4/genetics	4.50449207933801e-08	2.84818917781398e-07	0.037037037037037	0.493907099155766	1	0
toll-like receptor 4/genetics	cyclohexylamines/pharmacology	0.0010656452709273	0.0025341438075405	0.074074074074074	0.493907099155766	1	0
toll-like receptor 4/genetics	myocardial reperfusion injury/drug therapy	4.50449207933801e-08	2.84818917781398e-07	0.037037037037037	0.493907099155766	1	0
cyclohexylamines/pharmacology	myocardial reperfusion injury/drug therapy	0.0010656452709273	0.0025341438075405	0.074074074074074	0.493907099155766	1	0
