kw1	kw2	R1C1	crit_p	edge_weight	inv_edge_weight	pg	iteration
TICAM1	adaptor proteins vesicular transport/genetics	1	2.84818917781398e-07	0.037037037037037	0.493907099155766	4.50449207933801e-08	0
TICAM1	cyclohexylamines/pharmacology	1	0.0025341438075405	0.074074074074074	0.493907099155766	0.0010656452709273	0
TICAM1	inflammation/drug therapy	1	2.84818917781398e-07	0.037037037037037	0.493907099155766	4.50449207933801e-08	0
TICAM1	myocardial reperfusion injury/drug therapy	1	2.84818917781398e-07	0.037037037037037	0.493907099155766	4.50449207933801e-08	0
TICAM1	myocardium/immunology	1	2.84818917781398e-07	0.037037037037037	0.493907099155766	4.50449207933801e-08	0
TICAM1	neutrophil infiltration	1	2.84818917781398e-07	0.037037037037037	0.493907099155766	4.50449207933801e-08	0
TICAM1	neutrophils/immunology	1	2.84818917781398e-07	0.037037037037037	0.493907099155766	4.50449207933801e-08	0
TICAM1	phenylenediamines/pharmacology	1	0.0025341438075405	0.074074074074074	0.493907099155766	0.0010656452709273	0
TICAM1	TLR4	1	0.0025341438075405	0.074074074074074	0.493907099155766	0.0010656452709273	0
TICAM1	toll-like receptor 4/genetics	1	2.84818917781398e-07	0.037037037037037	0.493907099155766	4.50449207933801e-08	0
TICAM1	TRIM69	1	2.84818917781398e-07	0.037037037037037	0.493907099155766	4.50449207933801e-08	0
TICAM1	ventricular function left/drug effects	1	2.84818917781398e-07	0.037037037037037	0.493907099155766	4.50449207933801e-08	0
myocardial reperfusion injury/drug therapy	adaptor proteins vesicular transport/genetics	1	2.84818917781398e-07	0.037037037037037	0.493907099155766	4.50449207933801e-08	0
myocardial reperfusion injury/drug therapy	cyclohexylamines/pharmacology	1	0.0025341438075405	0.074074074074074	0.493907099155766	0.0010656452709273	0
myocardial reperfusion injury/drug therapy	inflammation/drug therapy	1	2.84818917781398e-07	0.037037037037037	0.493907099155766	4.50449207933801e-08	0
myocardial reperfusion injury/drug therapy	myocardium/immunology	1	2.84818917781398e-07	0.037037037037037	0.493907099155766	4.50449207933801e-08	0
myocardial reperfusion injury/drug therapy	neutrophil infiltration	1	2.84818917781398e-07	0.037037037037037	0.493907099155766	4.50449207933801e-08	0
myocardial reperfusion injury/drug therapy	neutrophils/immunology	1	2.84818917781398e-07	0.037037037037037	0.493907099155766	4.50449207933801e-08	0
myocardial reperfusion injury/drug therapy	phenylenediamines/pharmacology	1	0.0025341438075405	0.074074074074074	0.493907099155766	0.0010656452709273	0
myocardial reperfusion injury/drug therapy	TLR4	1	0.0025341438075405	0.074074074074074	0.493907099155766	0.0010656452709273	0
myocardial reperfusion injury/drug therapy	toll-like receptor 4/genetics	1	2.84818917781398e-07	0.037037037037037	0.493907099155766	4.50449207933801e-08	0
myocardial reperfusion injury/drug therapy	TRIM69	1	2.84818917781398e-07	0.037037037037037	0.493907099155766	4.50449207933801e-08	0
myocardial reperfusion injury/drug therapy	ventricular function left/drug effects	1	2.84818917781398e-07	0.037037037037037	0.493907099155766	4.50449207933801e-08	0
neutrophil infiltration	adaptor proteins vesicular transport/genetics	1	2.84818917781398e-07	0.037037037037037	0.493907099155766	4.50449207933801e-08	0
neutrophil infiltration	cyclohexylamines/pharmacology	1	0.0025341438075405	0.074074074074074	0.493907099155766	0.0010656452709273	0
neutrophil infiltration	inflammation/drug therapy	1	2.84818917781398e-07	0.037037037037037	0.493907099155766	4.50449207933801e-08	0
neutrophil infiltration	myocardium/immunology	1	2.84818917781398e-07	0.037037037037037	0.493907099155766	4.50449207933801e-08	0
neutrophil infiltration	neutrophils/immunology	1	2.84818917781398e-07	0.037037037037037	0.493907099155766	4.50449207933801e-08	0
neutrophil infiltration	phenylenediamines/pharmacology	1	0.0025341438075405	0.074074074074074	0.493907099155766	0.0010656452709273	0
neutrophil infiltration	TLR4	1	0.0025341438075405	0.074074074074074	0.493907099155766	0.0010656452709273	0
neutrophil infiltration	toll-like receptor 4/genetics	1	2.84818917781398e-07	0.037037037037037	0.493907099155766	4.50449207933801e-08	0
neutrophil infiltration	TRIM69	1	2.84818917781398e-07	0.037037037037037	0.493907099155766	4.50449207933801e-08	0
neutrophil infiltration	ventricular function left/drug effects	1	2.84818917781398e-07	0.037037037037037	0.493907099155766	4.50449207933801e-08	0
adaptor proteins vesicular transport/genetics	cyclohexylamines/pharmacology	1	0.0025341438075405	0.074074074074074	0.493907099155766	0.0010656452709273	0
adaptor proteins vesicular transport/genetics	inflammation/drug therapy	1	2.84818917781398e-07	0.037037037037037	0.493907099155766	4.50449207933801e-08	0
adaptor proteins vesicular transport/genetics	myocardium/immunology	1	2.84818917781398e-07	0.037037037037037	0.493907099155766	4.50449207933801e-08	0
adaptor proteins vesicular transport/genetics	neutrophils/immunology	1	2.84818917781398e-07	0.037037037037037	0.493907099155766	4.50449207933801e-08	0
