kw1	kw2	edge_weight	R1C1	iteration	pg	inv_edge_weight	crit_p
tor serine-threonine kinases/metabolism	iron/chemistry	0.0277777777777777	1	1	0.0005174230869809	0.5218822461343058	0.0011906886942111
tor serine-threonine kinases/metabolism	cell movement/drug effects	0.0277777777777777	1	1	0.0005174230869809	0.5218822461343058	0.0011906886942111
tor serine-threonine kinases/metabolism	glycogen synthase kinase 3/metabolism	0.0277777777777777	1	1	0.0005174230869809	0.5218822461343058	0.0011906886942111
tor serine-threonine kinases/metabolism	allografts	0.0277777777777777	1	1	0.0005174230869809	0.5218822461343058	0.0011906886942111
tor serine-threonine kinases/metabolism	lung neoplasms/drug therapy	0.0277777777777777	1	1	0.0005174230869809	0.5218822461343058	0.0011906886942111
tor serine-threonine kinases/metabolism	BTRC	0.0277777777777777	1	1	0.0005174230869809	0.5218822461343058	0.0011906886942111
tor serine-threonine kinases/metabolism	CTLA4	0.0277777777777777	1	1	0.0005174230869809	0.5218822461343058	0.0011906886942111
tor serine-threonine kinases/metabolism	GSK3B	0.0277777777777777	1	1	0.0005174230869809	0.5218822461343058	0.0011906886942111
tor serine-threonine kinases/metabolism	MTOR	0.0277777777777777	1	1	0.0005174230869809	0.5218822461343058	0.0011906886942111
tor serine-threonine kinases/metabolism	PRKAA2	0.0277777777777777	1	1	0.0005174230869809	0.5218822461343058	0.0011906886942111
iron/chemistry	cell movement/drug effects	0.0277777777777777	1	1	0.0005174230869809	0.5218822461343058	0.0011906886942111
iron/chemistry	glycogen synthase kinase 3/metabolism	0.0277777777777777	1	1	0.0005174230869809	0.5218822461343058	0.0011906886942111
iron/chemistry	allografts	0.0277777777777777	1	1	0.0005174230869809	0.5218822461343058	0.0011906886942111
iron/chemistry	lung neoplasms/drug therapy	0.0277777777777777	1	1	0.0005174230869809	0.5218822461343058	0.0011906886942111
iron/chemistry	BTRC	0.0277777777777777	1	1	0.0005174230869809	0.5218822461343058	0.0011906886942111
iron/chemistry	CTLA4	0.0277777777777777	1	1	0.0005174230869809	0.5218822461343058	0.0011906886942111
iron/chemistry	GSK3B	0.0277777777777777	1	1	0.0005174230869809	0.5218822461343058	0.0011906886942111
iron/chemistry	MTOR	0.0277777777777777	1	1	0.0005174230869809	0.5218822461343058	0.0011906886942111
