kw1	kw2	edge_weight	R1C1	iteration	pg	inv_edge_weight	crit_p
OSGIN1	gold/metabolism	0.0277777777777777	1	1	0.0	0.5218822461343058	0.0
OSGIN1	caco-2 cells/drug effects	0.0277777777777777	1	1	0.0	0.5218822461343058	0.0
OSGIN1	G6PD	0.0277777777777777	1	1	0.0	0.5218822461343058	0.0
OSGIN1	GPX2	0.0277777777777777	1	1	0.0	0.5218822461343058	0.0
caco-2 cells/drug effects	gold/metabolism	0.0277777777777777	1	1	0.0	0.5218822461343058	0.0
caco-2 cells/drug effects	G6PD	0.0277777777777777	1	1	0.0	0.5218822461343058	0.0
caco-2 cells/drug effects	GPX2	0.0277777777777777	1	1	0.0	0.5218822461343058	0.0
gold/metabolism	G6PD	0.0277777777777777	1	1	0.0	0.5218822461343058	0.0
gold/metabolism	GPX2	0.0277777777777777	1	1	0.0	0.5218822461343058	0.0
GPX2	G6PD	0.0277777777777777	1	1	0.0	0.5218822461343058	0.0
