entity	category	node_weight	occurrence
ACSL3	GENE	0.037037037037037	1
cell survival	MESH	0.037037037037037	1
coenzyme a ligases/metabolism	MESH	0.037037037037037	1
glutathione/metabolism	MESH	0.1111111111111111	3
iron/metabolism	MESH	0.1481481481481481	4
lymph/metabolism	MESH	0.037037037037037	1
melanoma/blood	MESH	0.037037037037037	1
neoplasm metastasis/drug therapy	MESH	0.037037037037037	1
oleic acid/metabolism	MESH	0.037037037037037	1
oxidative stress/drug effects	MESH	0.074074074074074	2
phospholipid hydroperoxide glutathione peroxidase/metabolism	MESH	0.074074074074074	2
ACSL4	GENE	0.037037037037037	1
AIFM2	GENE	0.037037037037037	1
ATL1	GENE	0.037037037037037	1
CD8A	GENE	0.1111111111111111	3
S100A4	GENE	0.037037037037037	1
autophagy/drug effects	MESH	0.074074074074074	2
cd8-positive t-lymphocytes/drug effects	MESH	0.037037037037037	1
endoplasmic reticulum/drug effects	MESH	0.037037037037037	1
neoplasms/drug therapy	MESH	0.074074074074074	2
ASAH2	GENE	0.037037037037037	1
HMOX1	GENE	0.037037037037037	1
TP53	GENE	0.1111111111111111	3
cell line tumor/transplantation	MESH	0.074074074074074	2
colonic neoplasms/drug therapy	MESH	0.037037037037037	1
heme oxygenase-1/metabolism	MESH	0.037037037037037	1
lymphocytes tumor-infiltrating/immunology	MESH	0.037037037037037	1
membrane proteins/metabolism	MESH	0.037037037037037	1
myeloid-derived suppressor cells/immunology	MESH	0.037037037037037	1
neutral ceramidase/antagonists & inhibitors	MESH	0.037037037037037	1
t-lymphocytes/immunology	MESH	0.037037037037037	1
tumor suppressor protein p53/metabolism	MESH	0.074074074074074	2
ATG5	GENE	0.037037037037037	1
autophagy-related proteins/genetics	MESH	0.037037037037037	1
cell cycle/drug effects	MESH	0.037037037037037	1
flavonolignans/pharmacology	MESH	0.037037037037037	1
glutathione peroxidase/metabolism	MESH	0.037037037037037	1
jurkat cells	MESH	0.074074074074074	2
precursor cell lymphoblastic leukemia-lymphoma/metabolism	MESH	0.037037037037037	1
ATM	GENE	0.037037037037037	1
SLC7A11	GENE	0.1481481481481481	4
SLC9A1	GENE	0.074074074074074	2
amino acid transport system y+/genetics	MESH	0.037037037037037	1
antineoplastic agents immunological/administration & dosage	MESH	0.037037037037037	1
cd8-positive t-lymphocytes/immunology	MESH	0.1111111111111111	3
cell survival/drug effects	MESH	0.1111111111111111	3
gene expression regulation neoplastic/drug effects	MESH	0.037037037037037	1
lipid metabolism/drug effects	MESH	0.037037037037037	1
sulfasalazine/administration & dosage	MESH	0.037037037037037	1
BDKRB2	GENE	0.037037037037037	1
b-lymphocytes/metabolism	MESH	0.037037037037037	1
cytoskeletal proteins/metabolism	MESH	0.037037037037037	1
glutathione peroxidase/therapeutic use	MESH	0.037037037037037	1
BTRC	GENE	0.037037037037037	1
CTLA4	GENE	0.037037037037037	1
GABPA	GENE	0.037037037037037	1
GSK3B	GENE	0.037037037037037	1
MTOR	GENE	0.037037037037037	1
PRKAA2	GENE	0.037037037037037	1
allografts	MESH	0.037037037037037	1
cell movement/drug effects	MESH	0.037037037037037	1
glycogen synthase kinase 3/metabolism	MESH	0.037037037037037	1
iron/chemistry	MESH	0.037037037037037	1
lung neoplasms/drug therapy	MESH	0.037037037037037	1
nf-e2-related factor 2/genetics	MESH	0.037037037037037	1
tor serine-threonine kinases/metabolism	MESH	0.037037037037037	1
CALR	GENE	0.037037037037037	1
ascorbic acid/pharmacology	MESH	0.037037037037037	1
calreticulin/metabolism	MESH	0.037037037037037	1
ferric compounds/chemistry	MESH	0.1111111111111111	3
neoplasms/diagnostic imaging	MESH	0.037037037037037	1
oxidative stress	MESH	0.074074074074074	2
t-lymphocytes cytotoxic/metabolism	MESH	0.037037037037037	1
CD36	GENE	0.037037037037037	1
PDCD1	GENE	0.1111111111111111	3
antibodies monoclonal humanized/pharmacology	MESH	0.037037037037037	1
cd36 antigens/antagonists & inhibitors	MESH	0.037037037037037	1
cd8-positive t-lymphocytes/cytology	MESH	0.074074074074074	2
cytokines/metabolism	MESH	0.074074074074074	2
fatty acids/metabolism	MESH	0.037037037037037	1
multiple myeloma/drug therapy	MESH	0.037037037037037	1
tumor microenvironment	MESH	0.074074074074074	2
CD44	GENE	0.037037037037037	1
HSPB1	GENE	0.037037037037037	1
SLC40A1	GENE	0.037037037037037	1
acetaminophen/pharmacology	MESH	0.037037037037037	1
brain neoplasms/genetics	MESH	0.037037037037037	1
cation transport proteins/genetics	MESH	0.037037037037037	1
gene expression regulation neoplastic	MESH	0.074074074074074	2
glioblastoma/genetics	MESH	0.037037037037037	1
heat-shock proteins/genetics	MESH	0.037037037037037	1
hyaluronan receptors/genetics	MESH	0.037037037037037	1
t-lymphocytes cytotoxic/immunology	MESH	0.037037037037037	1
SLC3A2	GENE	0.037037037037037	1
cysteine/metabolism	MESH	0.037037037037037	1
fusion regulatory protein 1 heavy chain/metabolism	MESH	0.037037037037037	1
interferon-gamma/immunology	MESH	0.037037037037037	1
melanoma/genetics	MESH	0.037037037037037	1
nivolumab/therapeutic use	MESH	0.037037037037037	1
FN1	GENE	0.037037037037037	1
HIF1A	GENE	0.037037037037037	1
MMRN1	GENE	0.037037037037037	1
actins/metabolism	MESH	0.037037037037037	1
amino acid transport system y+/metabolism	MESH	0.074074074074074	2
cell line	MESH	0.037037037037037	1
collagen type i/metabolism	MESH	0.037037037037037	1
hepatic stellate cells/drug effects	MESH	0.037037037037037	1
hepatocytes/drug effects	MESH	0.037037037037037	1
hypoxia-inducible factor 1 alpha subunit/metabolism	MESH	0.037037037037037	1
liver cirrhosis/drug therapy	MESH	0.037037037037037	1
sorafenib/pharmacology	MESH	0.037037037037037	1
FTH1	GENE	0.037037037037037	1
HMGB1	GENE	0.037037037037037	1
NLRP3	GENE	0.037037037037037	1
NOX4	GENE	0.037037037037037	1
bacterial toxins/metabolism	MESH	0.037037037037037	1
endothelial cells/metabolism	MESH	0.037037037037037	1
heart ventricles/diagnostic imaging	MESH	0.037037037037037	1
hemodynamics/drug effects	MESH	0.037037037037037	1
hmgb1 protein/metabolism	MESH	0.037037037037037	1
hypertension pulmonary/chemically induced	MESH	0.037037037037037	1
inflammasomes/metabolism	MESH	0.037037037037037	1
inflammation/metabolism	MESH	0.037037037037037	1
lung/blood supply	MESH	0.037037037037037	1
macrophages/metabolism	MESH	0.037037037037037	1
monocrotaline/toxicity	MESH	0.037037037037037	1
nlr family pyrin domain-containing 3 protein/metabolism	MESH	0.037037037037037	1
toll-like receptor 4/metabolism	MESH	0.037037037037037	1
GGT1	GENE	0.037037037037037	1
HLF	GENE	0.037037037037037	1
IL6	GENE	0.037037037037037	1
JAK2	GENE	0.037037037037037	1
STAT3	GENE	0.037037037037037	1
TGFB1	GENE	0.037037037037037	1
basic-leucine zipper transcription factors/analysis	MESH	0.037037037037037	1
drug resistance neoplasm	MESH	0.037037037037037	1
triple negative breast neoplasms/drug therapy	MESH	0.037037037037037	1
tumor-associated macrophages/drug effects	MESH	0.037037037037037	1
KDM8	GENE	0.037037037037037	1
STING1	GENE	0.037037037037037	1
biomarkers tumor	MESH	0.037037037037037	1
carcinoma pancreatic ductal/metabolism	MESH	0.037037037037037	1
cell transformation neoplastic/genetics	MESH	0.037037037037037	1
diet	MESH	0.037037037037037	1
dna	MESH	0.037037037037037	1
macrophages	MESH	0.037037037037037	1
membrane proteins/genetics	MESH	0.037037037037037	1
pancreas/metabolism	MESH	0.037037037037037	1
pancreatitis/genetics	MESH	0.037037037037037	1
phospholipid hydroperoxide glutathione peroxidase/genetics	MESH	0.037037037037037	1
proto-oncogene proteins p21(ras)/metabolism	MESH	0.037037037037037	1
quinoxalines/pharmacology	MESH	0.037037037037037	1
spiro compounds/pharmacology	MESH	0.037037037037037	1
NFE2L2	GENE	0.074074074074074	2
gene expression	MESH	0.037037037037037	1
inflammation mediators/antagonists & inhibitors	MESH	0.037037037037037	1
lipopolysaccharides/toxicity	MESH	0.037037037037037	1
microglia/drug effects	MESH	0.037037037037037	1
nf-e2-related factor 2/biosynthesis	MESH	0.037037037037037	1
raw 264.7 cells	MESH	0.037037037037037	1
b7-h1 antigen/antagonists & inhibitors	MESH	0.074074074074074	2
asparaginase	MESH	0.037037037037037	1
cisplatin	MESH	0.037037037037037	1
diterpenes/pharmacology	MESH	0.037037037037037	1
killer cells natural/metabolism	MESH	0.037037037037037	1
lymphoma t-cell	MESH	0.037037037037037	1
TF	GENE	0.037037037037037	1
ferritins/blood	MESH	0.037037037037037	1
