PMID	KW1	KW2	Link	Link.explicit	QuerySet	Authors	Affiliations	Title	Journal	Volume	Issue	Year	DOI.link	Title.Abstract.OT
34062295	acetaminophen/pharmacology	brain neoplasms/genetics	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/34062295/"", ""34062295"")"	https://pubmed.ncbi.nlm.nih.gov/34062295	pmid-ferroptosis_ImmuneSystem.txt	Deng S et al.	Department of Neurosurgery, The National Key Clinical Specialty, The Engineering Technology Research Center of Education Ministry of China, Guangdong Provincial Key Laboratory on Brain Function Repair and Regeneration, Zhujiang Hospital, Southern Medical University, Guangzhou, China., Department of Neurosurgery, The National Key Clinical Specialty, The Engineering Technology Research Center of Education Ministry of China, Guangdong Provincial Key Laboratory on Brain Function Repair and Regeneration, Zhujiang Hospital, Southern Medical University, Guangzhou, China. Electronic address: kyquan@smu.edu.cn.	Ferroptosis Suppressive Genes Correlate with Immunosuppression in Glioblastoma.	World Neurosurg	152		2021	10.1016/j.wneu.2021.05.098	TITLE: Ferroptosis Suppressive Genes Correlate with Immunosuppression in Glioblastoma. ABSTRACT: Glioblastoma (GBM) is the most lethal primary tumor in the central nervous system. Ferroptosis is a type of programmed iron-dependent cell death. In the present study, we aimed to identify prognostic ferroptosis-related genes and their role in tumor immunity. We used differential and survival analysis and The Cancer Genome Atlas (TCGA) GBM RNA sequencing data. We also used systematic bioinformatic methods. Using differential and survival analysis, we found that a ferroptosis suppressor was predominant within ferroptosis-related genes in TCGA GBM RNA sequencing data. By integrating TCGA and gene expression omnibus GBM cohorts, 12 dysregulated ferroptosis suppressors were detected. Among the suppressors, CD44, heat shock protein family B (small) member 1 (HSPB1), and solute carrier family 40 member 1 (SLC40A1) were relevant to overall survival. Using systematic bioinformatic methods, we observed that ferroptosis suppressor expression correlated with immunosuppression, which could be attributed to T-cell exhaustion and cytotoxic T-lymphocyte evasion. Finally, we observed that a potential ferroptosis-inducing drug, acetaminophen, interacted with CD44, HSPB1, and SLC40A1. The ferroptosis suppressors CD44, HSPB1, and SLC40A1 were significantly associated with prognosis in GBM and correlated with immunosuppression (i.e., T-cell exhaustion and cytotoxic T-lymphocyte evasion). Acetaminophen might have an antitumor function in GBM by regulating CD44, HSPB1, and SLC40A1 to induce ferroptosis. Our results are expected to be of great significance in developing new immunotherapy strategies for GBM. OTHER TERMS: Acetaminophen; CTL evasion; Ferroptosis; GBM; Immunosuppression; T-cell exhaustion
34062295	acetaminophen/pharmacology	cation transport proteins/genetics	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/34062295/"", ""34062295"")"	https://pubmed.ncbi.nlm.nih.gov/34062295	pmid-ferroptosis_ImmuneSystem.txt	Deng S et al.	Department of Neurosurgery, The National Key Clinical Specialty, The Engineering Technology Research Center of Education Ministry of China, Guangdong Provincial Key Laboratory on Brain Function Repair and Regeneration, Zhujiang Hospital, Southern Medical University, Guangzhou, China., Department of Neurosurgery, The National Key Clinical Specialty, The Engineering Technology Research Center of Education Ministry of China, Guangdong Provincial Key Laboratory on Brain Function Repair and Regeneration, Zhujiang Hospital, Southern Medical University, Guangzhou, China. Electronic address: kyquan@smu.edu.cn.	Ferroptosis Suppressive Genes Correlate with Immunosuppression in Glioblastoma.	World Neurosurg	152		2021	10.1016/j.wneu.2021.05.098	TITLE: Ferroptosis Suppressive Genes Correlate with Immunosuppression in Glioblastoma. ABSTRACT: Glioblastoma (GBM) is the most lethal primary tumor in the central nervous system. Ferroptosis is a type of programmed iron-dependent cell death. In the present study, we aimed to identify prognostic ferroptosis-related genes and their role in tumor immunity. We used differential and survival analysis and The Cancer Genome Atlas (TCGA) GBM RNA sequencing data. We also used systematic bioinformatic methods. Using differential and survival analysis, we found that a ferroptosis suppressor was predominant within ferroptosis-related genes in TCGA GBM RNA sequencing data. By integrating TCGA and gene expression omnibus GBM cohorts, 12 dysregulated ferroptosis suppressors were detected. Among the suppressors, CD44, heat shock protein family B (small) member 1 (HSPB1), and solute carrier family 40 member 1 (SLC40A1) were relevant to overall survival. Using systematic bioinformatic methods, we observed that ferroptosis suppressor expression correlated with immunosuppression, which could be attributed to T-cell exhaustion and cytotoxic T-lymphocyte evasion. Finally, we observed that a potential ferroptosis-inducing drug, acetaminophen, interacted with CD44, HSPB1, and SLC40A1. The ferroptosis suppressors CD44, HSPB1, and SLC40A1 were significantly associated with prognosis in GBM and correlated with immunosuppression (i.e., T-cell exhaustion and cytotoxic T-lymphocyte evasion). Acetaminophen might have an antitumor function in GBM by regulating CD44, HSPB1, and SLC40A1 to induce ferroptosis. Our results are expected to be of great significance in developing new immunotherapy strategies for GBM. OTHER TERMS: Acetaminophen; CTL evasion; Ferroptosis; GBM; Immunosuppression; T-cell exhaustion
34062295	acetaminophen/pharmacology	CD44	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/34062295/"", ""34062295"")"	https://pubmed.ncbi.nlm.nih.gov/34062295	pmid-ferroptosis_ImmuneSystem.txt	Deng S et al.	Department of Neurosurgery, The National Key Clinical Specialty, The Engineering Technology Research Center of Education Ministry of China, Guangdong Provincial Key Laboratory on Brain Function Repair and Regeneration, Zhujiang Hospital, Southern Medical University, Guangzhou, China., Department of Neurosurgery, The National Key Clinical Specialty, The Engineering Technology Research Center of Education Ministry of China, Guangdong Provincial Key Laboratory on Brain Function Repair and Regeneration, Zhujiang Hospital, Southern Medical University, Guangzhou, China. Electronic address: kyquan@smu.edu.cn.	Ferroptosis Suppressive Genes Correlate with Immunosuppression in Glioblastoma.	World Neurosurg	152		2021	10.1016/j.wneu.2021.05.098	TITLE: Ferroptosis Suppressive Genes Correlate with Immunosuppression in Glioblastoma. ABSTRACT: Glioblastoma (GBM) is the most lethal primary tumor in the central nervous system. Ferroptosis is a type of programmed iron-dependent cell death. In the present study, we aimed to identify prognostic ferroptosis-related genes and their role in tumor immunity. We used differential and survival analysis and The Cancer Genome Atlas (TCGA) GBM RNA sequencing data. We also used systematic bioinformatic methods. Using differential and survival analysis, we found that a ferroptosis suppressor was predominant within ferroptosis-related genes in TCGA GBM RNA sequencing data. By integrating TCGA and gene expression omnibus GBM cohorts, 12 dysregulated ferroptosis suppressors were detected. Among the suppressors, CD44, heat shock protein family B (small) member 1 (HSPB1), and solute carrier family 40 member 1 (SLC40A1) were relevant to overall survival. Using systematic bioinformatic methods, we observed that ferroptosis suppressor expression correlated with immunosuppression, which could be attributed to T-cell exhaustion and cytotoxic T-lymphocyte evasion. Finally, we observed that a potential ferroptosis-inducing drug, acetaminophen, interacted with CD44, HSPB1, and SLC40A1. The ferroptosis suppressors CD44, HSPB1, and SLC40A1 were significantly associated with prognosis in GBM and correlated with immunosuppression (i.e., T-cell exhaustion and cytotoxic T-lymphocyte evasion). Acetaminophen might have an antitumor function in GBM by regulating CD44, HSPB1, and SLC40A1 to induce ferroptosis. Our results are expected to be of great significance in developing new immunotherapy strategies for GBM. OTHER TERMS: Acetaminophen; CTL evasion; Ferroptosis; GBM; Immunosuppression; T-cell exhaustion
34062295	acetaminophen/pharmacology	gene expression regulation neoplastic	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/34062295/"", ""34062295"")"	https://pubmed.ncbi.nlm.nih.gov/34062295	pmid-ferroptosis_ImmuneSystem.txt	Deng S et al.	Department of Neurosurgery, The National Key Clinical Specialty, The Engineering Technology Research Center of Education Ministry of China, Guangdong Provincial Key Laboratory on Brain Function Repair and Regeneration, Zhujiang Hospital, Southern Medical University, Guangzhou, China., Department of Neurosurgery, The National Key Clinical Specialty, The Engineering Technology Research Center of Education Ministry of China, Guangdong Provincial Key Laboratory on Brain Function Repair and Regeneration, Zhujiang Hospital, Southern Medical University, Guangzhou, China. Electronic address: kyquan@smu.edu.cn.	Ferroptosis Suppressive Genes Correlate with Immunosuppression in Glioblastoma.	World Neurosurg	152		2021	10.1016/j.wneu.2021.05.098	TITLE: Ferroptosis Suppressive Genes Correlate with Immunosuppression in Glioblastoma. ABSTRACT: Glioblastoma (GBM) is the most lethal primary tumor in the central nervous system. Ferroptosis is a type of programmed iron-dependent cell death. In the present study, we aimed to identify prognostic ferroptosis-related genes and their role in tumor immunity. We used differential and survival analysis and The Cancer Genome Atlas (TCGA) GBM RNA sequencing data. We also used systematic bioinformatic methods. Using differential and survival analysis, we found that a ferroptosis suppressor was predominant within ferroptosis-related genes in TCGA GBM RNA sequencing data. By integrating TCGA and gene expression omnibus GBM cohorts, 12 dysregulated ferroptosis suppressors were detected. Among the suppressors, CD44, heat shock protein family B (small) member 1 (HSPB1), and solute carrier family 40 member 1 (SLC40A1) were relevant to overall survival. Using systematic bioinformatic methods, we observed that ferroptosis suppressor expression correlated with immunosuppression, which could be attributed to T-cell exhaustion and cytotoxic T-lymphocyte evasion. Finally, we observed that a potential ferroptosis-inducing drug, acetaminophen, interacted with CD44, HSPB1, and SLC40A1. The ferroptosis suppressors CD44, HSPB1, and SLC40A1 were significantly associated with prognosis in GBM and correlated with immunosuppression (i.e., T-cell exhaustion and cytotoxic T-lymphocyte evasion). Acetaminophen might have an antitumor function in GBM by regulating CD44, HSPB1, and SLC40A1 to induce ferroptosis. Our results are expected to be of great significance in developing new immunotherapy strategies for GBM. OTHER TERMS: Acetaminophen; CTL evasion; Ferroptosis; GBM; Immunosuppression; T-cell exhaustion
34062295	acetaminophen/pharmacology	glioblastoma/genetics	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/34062295/"", ""34062295"")"	https://pubmed.ncbi.nlm.nih.gov/34062295	pmid-ferroptosis_ImmuneSystem.txt	Deng S et al.	Department of Neurosurgery, The National Key Clinical Specialty, The Engineering Technology Research Center of Education Ministry of China, Guangdong Provincial Key Laboratory on Brain Function Repair and Regeneration, Zhujiang Hospital, Southern Medical University, Guangzhou, China., Department of Neurosurgery, The National Key Clinical Specialty, The Engineering Technology Research Center of Education Ministry of China, Guangdong Provincial Key Laboratory on Brain Function Repair and Regeneration, Zhujiang Hospital, Southern Medical University, Guangzhou, China. Electronic address: kyquan@smu.edu.cn.	Ferroptosis Suppressive Genes Correlate with Immunosuppression in Glioblastoma.	World Neurosurg	152		2021	10.1016/j.wneu.2021.05.098	TITLE: Ferroptosis Suppressive Genes Correlate with Immunosuppression in Glioblastoma. ABSTRACT: Glioblastoma (GBM) is the most lethal primary tumor in the central nervous system. Ferroptosis is a type of programmed iron-dependent cell death. In the present study, we aimed to identify prognostic ferroptosis-related genes and their role in tumor immunity. We used differential and survival analysis and The Cancer Genome Atlas (TCGA) GBM RNA sequencing data. We also used systematic bioinformatic methods. Using differential and survival analysis, we found that a ferroptosis suppressor was predominant within ferroptosis-related genes in TCGA GBM RNA sequencing data. By integrating TCGA and gene expression omnibus GBM cohorts, 12 dysregulated ferroptosis suppressors were detected. Among the suppressors, CD44, heat shock protein family B (small) member 1 (HSPB1), and solute carrier family 40 member 1 (SLC40A1) were relevant to overall survival. Using systematic bioinformatic methods, we observed that ferroptosis suppressor expression correlated with immunosuppression, which could be attributed to T-cell exhaustion and cytotoxic T-lymphocyte evasion. Finally, we observed that a potential ferroptosis-inducing drug, acetaminophen, interacted with CD44, HSPB1, and SLC40A1. The ferroptosis suppressors CD44, HSPB1, and SLC40A1 were significantly associated with prognosis in GBM and correlated with immunosuppression (i.e., T-cell exhaustion and cytotoxic T-lymphocyte evasion). Acetaminophen might have an antitumor function in GBM by regulating CD44, HSPB1, and SLC40A1 to induce ferroptosis. Our results are expected to be of great significance in developing new immunotherapy strategies for GBM. OTHER TERMS: Acetaminophen; CTL evasion; Ferroptosis; GBM; Immunosuppression; T-cell exhaustion
34062295	acetaminophen/pharmacology	heat-shock proteins/genetics	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/34062295/"", ""34062295"")"	https://pubmed.ncbi.nlm.nih.gov/34062295	pmid-ferroptosis_ImmuneSystem.txt	Deng S et al.	Department of Neurosurgery, The National Key Clinical Specialty, The Engineering Technology Research Center of Education Ministry of China, Guangdong Provincial Key Laboratory on Brain Function Repair and Regeneration, Zhujiang Hospital, Southern Medical University, Guangzhou, China., Department of Neurosurgery, The National Key Clinical Specialty, The Engineering Technology Research Center of Education Ministry of China, Guangdong Provincial Key Laboratory on Brain Function Repair and Regeneration, Zhujiang Hospital, Southern Medical University, Guangzhou, China. Electronic address: kyquan@smu.edu.cn.	Ferroptosis Suppressive Genes Correlate with Immunosuppression in Glioblastoma.	World Neurosurg	152		2021	10.1016/j.wneu.2021.05.098	TITLE: Ferroptosis Suppressive Genes Correlate with Immunosuppression in Glioblastoma. ABSTRACT: Glioblastoma (GBM) is the most lethal primary tumor in the central nervous system. Ferroptosis is a type of programmed iron-dependent cell death. In the present study, we aimed to identify prognostic ferroptosis-related genes and their role in tumor immunity. We used differential and survival analysis and The Cancer Genome Atlas (TCGA) GBM RNA sequencing data. We also used systematic bioinformatic methods. Using differential and survival analysis, we found that a ferroptosis suppressor was predominant within ferroptosis-related genes in TCGA GBM RNA sequencing data. By integrating TCGA and gene expression omnibus GBM cohorts, 12 dysregulated ferroptosis suppressors were detected. Among the suppressors, CD44, heat shock protein family B (small) member 1 (HSPB1), and solute carrier family 40 member 1 (SLC40A1) were relevant to overall survival. Using systematic bioinformatic methods, we observed that ferroptosis suppressor expression correlated with immunosuppression, which could be attributed to T-cell exhaustion and cytotoxic T-lymphocyte evasion. Finally, we observed that a potential ferroptosis-inducing drug, acetaminophen, interacted with CD44, HSPB1, and SLC40A1. The ferroptosis suppressors CD44, HSPB1, and SLC40A1 were significantly associated with prognosis in GBM and correlated with immunosuppression (i.e., T-cell exhaustion and cytotoxic T-lymphocyte evasion). Acetaminophen might have an antitumor function in GBM by regulating CD44, HSPB1, and SLC40A1 to induce ferroptosis. Our results are expected to be of great significance in developing new immunotherapy strategies for GBM. OTHER TERMS: Acetaminophen; CTL evasion; Ferroptosis; GBM; Immunosuppression; T-cell exhaustion
34062295	acetaminophen/pharmacology	HSPB1	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/34062295/"", ""34062295"")"	https://pubmed.ncbi.nlm.nih.gov/34062295	pmid-ferroptosis_ImmuneSystem.txt	Deng S et al.	Department of Neurosurgery, The National Key Clinical Specialty, The Engineering Technology Research Center of Education Ministry of China, Guangdong Provincial Key Laboratory on Brain Function Repair and Regeneration, Zhujiang Hospital, Southern Medical University, Guangzhou, China., Department of Neurosurgery, The National Key Clinical Specialty, The Engineering Technology Research Center of Education Ministry of China, Guangdong Provincial Key Laboratory on Brain Function Repair and Regeneration, Zhujiang Hospital, Southern Medical University, Guangzhou, China. Electronic address: kyquan@smu.edu.cn.	Ferroptosis Suppressive Genes Correlate with Immunosuppression in Glioblastoma.	World Neurosurg	152		2021	10.1016/j.wneu.2021.05.098	TITLE: Ferroptosis Suppressive Genes Correlate with Immunosuppression in Glioblastoma. ABSTRACT: Glioblastoma (GBM) is the most lethal primary tumor in the central nervous system. Ferroptosis is a type of programmed iron-dependent cell death. In the present study, we aimed to identify prognostic ferroptosis-related genes and their role in tumor immunity. We used differential and survival analysis and The Cancer Genome Atlas (TCGA) GBM RNA sequencing data. We also used systematic bioinformatic methods. Using differential and survival analysis, we found that a ferroptosis suppressor was predominant within ferroptosis-related genes in TCGA GBM RNA sequencing data. By integrating TCGA and gene expression omnibus GBM cohorts, 12 dysregulated ferroptosis suppressors were detected. Among the suppressors, CD44, heat shock protein family B (small) member 1 (HSPB1), and solute carrier family 40 member 1 (SLC40A1) were relevant to overall survival. Using systematic bioinformatic methods, we observed that ferroptosis suppressor expression correlated with immunosuppression, which could be attributed to T-cell exhaustion and cytotoxic T-lymphocyte evasion. Finally, we observed that a potential ferroptosis-inducing drug, acetaminophen, interacted with CD44, HSPB1, and SLC40A1. The ferroptosis suppressors CD44, HSPB1, and SLC40A1 were significantly associated with prognosis in GBM and correlated with immunosuppression (i.e., T-cell exhaustion and cytotoxic T-lymphocyte evasion). Acetaminophen might have an antitumor function in GBM by regulating CD44, HSPB1, and SLC40A1 to induce ferroptosis. Our results are expected to be of great significance in developing new immunotherapy strategies for GBM. OTHER TERMS: Acetaminophen; CTL evasion; Ferroptosis; GBM; Immunosuppression; T-cell exhaustion
34062295	acetaminophen/pharmacology	hyaluronan receptors/genetics	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/34062295/"", ""34062295"")"	https://pubmed.ncbi.nlm.nih.gov/34062295	pmid-ferroptosis_ImmuneSystem.txt	Deng S et al.	Department of Neurosurgery, The National Key Clinical Specialty, The Engineering Technology Research Center of Education Ministry of China, Guangdong Provincial Key Laboratory on Brain Function Repair and Regeneration, Zhujiang Hospital, Southern Medical University, Guangzhou, China., Department of Neurosurgery, The National Key Clinical Specialty, The Engineering Technology Research Center of Education Ministry of China, Guangdong Provincial Key Laboratory on Brain Function Repair and Regeneration, Zhujiang Hospital, Southern Medical University, Guangzhou, China. Electronic address: kyquan@smu.edu.cn.	Ferroptosis Suppressive Genes Correlate with Immunosuppression in Glioblastoma.	World Neurosurg	152		2021	10.1016/j.wneu.2021.05.098	TITLE: Ferroptosis Suppressive Genes Correlate with Immunosuppression in Glioblastoma. ABSTRACT: Glioblastoma (GBM) is the most lethal primary tumor in the central nervous system. Ferroptosis is a type of programmed iron-dependent cell death. In the present study, we aimed to identify prognostic ferroptosis-related genes and their role in tumor immunity. We used differential and survival analysis and The Cancer Genome Atlas (TCGA) GBM RNA sequencing data. We also used systematic bioinformatic methods. Using differential and survival analysis, we found that a ferroptosis suppressor was predominant within ferroptosis-related genes in TCGA GBM RNA sequencing data. By integrating TCGA and gene expression omnibus GBM cohorts, 12 dysregulated ferroptosis suppressors were detected. Among the suppressors, CD44, heat shock protein family B (small) member 1 (HSPB1), and solute carrier family 40 member 1 (SLC40A1) were relevant to overall survival. Using systematic bioinformatic methods, we observed that ferroptosis suppressor expression correlated with immunosuppression, which could be attributed to T-cell exhaustion and cytotoxic T-lymphocyte evasion. Finally, we observed that a potential ferroptosis-inducing drug, acetaminophen, interacted with CD44, HSPB1, and SLC40A1. The ferroptosis suppressors CD44, HSPB1, and SLC40A1 were significantly associated with prognosis in GBM and correlated with immunosuppression (i.e., T-cell exhaustion and cytotoxic T-lymphocyte evasion). Acetaminophen might have an antitumor function in GBM by regulating CD44, HSPB1, and SLC40A1 to induce ferroptosis. Our results are expected to be of great significance in developing new immunotherapy strategies for GBM. OTHER TERMS: Acetaminophen; CTL evasion; Ferroptosis; GBM; Immunosuppression; T-cell exhaustion
34062295	acetaminophen/pharmacology	SLC40A1	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/34062295/"", ""34062295"")"	https://pubmed.ncbi.nlm.nih.gov/34062295	pmid-ferroptosis_ImmuneSystem.txt	Deng S et al.	Department of Neurosurgery, The National Key Clinical Specialty, The Engineering Technology Research Center of Education Ministry of China, Guangdong Provincial Key Laboratory on Brain Function Repair and Regeneration, Zhujiang Hospital, Southern Medical University, Guangzhou, China., Department of Neurosurgery, The National Key Clinical Specialty, The Engineering Technology Research Center of Education Ministry of China, Guangdong Provincial Key Laboratory on Brain Function Repair and Regeneration, Zhujiang Hospital, Southern Medical University, Guangzhou, China. Electronic address: kyquan@smu.edu.cn.	Ferroptosis Suppressive Genes Correlate with Immunosuppression in Glioblastoma.	World Neurosurg	152		2021	10.1016/j.wneu.2021.05.098	TITLE: Ferroptosis Suppressive Genes Correlate with Immunosuppression in Glioblastoma. ABSTRACT: Glioblastoma (GBM) is the most lethal primary tumor in the central nervous system. Ferroptosis is a type of programmed iron-dependent cell death. In the present study, we aimed to identify prognostic ferroptosis-related genes and their role in tumor immunity. We used differential and survival analysis and The Cancer Genome Atlas (TCGA) GBM RNA sequencing data. We also used systematic bioinformatic methods. Using differential and survival analysis, we found that a ferroptosis suppressor was predominant within ferroptosis-related genes in TCGA GBM RNA sequencing data. By integrating TCGA and gene expression omnibus GBM cohorts, 12 dysregulated ferroptosis suppressors were detected. Among the suppressors, CD44, heat shock protein family B (small) member 1 (HSPB1), and solute carrier family 40 member 1 (SLC40A1) were relevant to overall survival. Using systematic bioinformatic methods, we observed that ferroptosis suppressor expression correlated with immunosuppression, which could be attributed to T-cell exhaustion and cytotoxic T-lymphocyte evasion. Finally, we observed that a potential ferroptosis-inducing drug, acetaminophen, interacted with CD44, HSPB1, and SLC40A1. The ferroptosis suppressors CD44, HSPB1, and SLC40A1 were significantly associated with prognosis in GBM and correlated with immunosuppression (i.e., T-cell exhaustion and cytotoxic T-lymphocyte evasion). Acetaminophen might have an antitumor function in GBM by regulating CD44, HSPB1, and SLC40A1 to induce ferroptosis. Our results are expected to be of great significance in developing new immunotherapy strategies for GBM. OTHER TERMS: Acetaminophen; CTL evasion; Ferroptosis; GBM; Immunosuppression; T-cell exhaustion
34062295	acetaminophen/pharmacology	t-lymphocytes cytotoxic/immunology	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/34062295/"", ""34062295"")"	https://pubmed.ncbi.nlm.nih.gov/34062295	pmid-ferroptosis_ImmuneSystem.txt	Deng S et al.	Department of Neurosurgery, The National Key Clinical Specialty, The Engineering Technology Research Center of Education Ministry of China, Guangdong Provincial Key Laboratory on Brain Function Repair and Regeneration, Zhujiang Hospital, Southern Medical University, Guangzhou, China., Department of Neurosurgery, The National Key Clinical Specialty, The Engineering Technology Research Center of Education Ministry of China, Guangdong Provincial Key Laboratory on Brain Function Repair and Regeneration, Zhujiang Hospital, Southern Medical University, Guangzhou, China. Electronic address: kyquan@smu.edu.cn.	Ferroptosis Suppressive Genes Correlate with Immunosuppression in Glioblastoma.	World Neurosurg	152		2021	10.1016/j.wneu.2021.05.098	TITLE: Ferroptosis Suppressive Genes Correlate with Immunosuppression in Glioblastoma. ABSTRACT: Glioblastoma (GBM) is the most lethal primary tumor in the central nervous system. Ferroptosis is a type of programmed iron-dependent cell death. In the present study, we aimed to identify prognostic ferroptosis-related genes and their role in tumor immunity. We used differential and survival analysis and The Cancer Genome Atlas (TCGA) GBM RNA sequencing data. We also used systematic bioinformatic methods. Using differential and survival analysis, we found that a ferroptosis suppressor was predominant within ferroptosis-related genes in TCGA GBM RNA sequencing data. By integrating TCGA and gene expression omnibus GBM cohorts, 12 dysregulated ferroptosis suppressors were detected. Among the suppressors, CD44, heat shock protein family B (small) member 1 (HSPB1), and solute carrier family 40 member 1 (SLC40A1) were relevant to overall survival. Using systematic bioinformatic methods, we observed that ferroptosis suppressor expression correlated with immunosuppression, which could be attributed to T-cell exhaustion and cytotoxic T-lymphocyte evasion. Finally, we observed that a potential ferroptosis-inducing drug, acetaminophen, interacted with CD44, HSPB1, and SLC40A1. The ferroptosis suppressors CD44, HSPB1, and SLC40A1 were significantly associated with prognosis in GBM and correlated with immunosuppression (i.e., T-cell exhaustion and cytotoxic T-lymphocyte evasion). Acetaminophen might have an antitumor function in GBM by regulating CD44, HSPB1, and SLC40A1 to induce ferroptosis. Our results are expected to be of great significance in developing new immunotherapy strategies for GBM. OTHER TERMS: Acetaminophen; CTL evasion; Ferroptosis; GBM; Immunosuppression; T-cell exhaustion
