KW1	KW2	P.value	adj.P.value	FisherP.value	ztPois.cdf	Raw.CO.Occurrence	Expansion	PMIDlist
acetaminophen/pharmacology	brain neoplasms/genetics	1.51878509768721e-12	3.21494655714812e-11	0.037037037037037	0.491090027111315	1	0	[34062295]
acetaminophen/pharmacology	cation transport proteins/genetics	1.51878509768721e-12	3.21494655714812e-11	0.037037037037037	0.491090027111315	1	0	[34062295]
acetaminophen/pharmacology	CD44	1.51878509768721e-12	3.21494655714812e-11	0.037037037037037	0.491090027111315	1	0	[34062295]
acetaminophen/pharmacology	gene expression regulation neoplastic	1.62808224802857e-05	6.33368658790105e-05	0.074074074074074	0.491090027111315	1	0	[34062295]
acetaminophen/pharmacology	glioblastoma/genetics	1.51878509768721e-12	3.21494655714812e-11	0.037037037037037	0.491090027111315	1	0	[34062295]
acetaminophen/pharmacology	heat-shock proteins/genetics	1.51878509768721e-12	3.21494655714812e-11	0.037037037037037	0.491090027111315	1	0	[34062295]
acetaminophen/pharmacology	HSPB1	1.51878509768721e-12	3.21494655714812e-11	0.037037037037037	0.491090027111315	1	0	[34062295]
acetaminophen/pharmacology	hyaluronan receptors/genetics	1.51878509768721e-12	3.21494655714812e-11	0.037037037037037	0.491090027111315	1	0	[34062295]
acetaminophen/pharmacology	SLC40A1	1.51878509768721e-12	3.21494655714812e-11	0.037037037037037	0.491090027111315	1	0	[34062295]
acetaminophen/pharmacology	t-lymphocytes cytotoxic/immunology	1.51878509768721e-12	3.21494655714812e-11	0.037037037037037	0.491090027111315	1	0	[34062295]
brain neoplasms/genetics	cation transport proteins/genetics	1.51878509768721e-12	3.21494655714812e-11	0.037037037037037	0.491090027111315	1	0	[34062295]
brain neoplasms/genetics	CD44	1.51878509768721e-12	3.21494655714812e-11	0.037037037037037	0.491090027111315	1	0	[34062295]
brain neoplasms/genetics	gene expression regulation neoplastic	1.62808224802857e-05	6.33368658790105e-05	0.074074074074074	0.491090027111315	1	0	[34062295]
brain neoplasms/genetics	glioblastoma/genetics	1.51878509768721e-12	3.21494655714812e-11	0.037037037037037	0.491090027111315	1	0	[34062295]
brain neoplasms/genetics	heat-shock proteins/genetics	1.51878509768721e-12	3.21494655714812e-11	0.037037037037037	0.491090027111315	1	0	[34062295]
brain neoplasms/genetics	HSPB1	1.51878509768721e-12	3.21494655714812e-11	0.037037037037037	0.491090027111315	1	0	[34062295]
brain neoplasms/genetics	hyaluronan receptors/genetics	1.51878509768721e-12	3.21494655714812e-11	0.037037037037037	0.491090027111315	1	0	[34062295]
brain neoplasms/genetics	SLC40A1	1.51878509768721e-12	3.21494655714812e-11	0.037037037037037	0.491090027111315	1	0	[34062295]
brain neoplasms/genetics	t-lymphocytes cytotoxic/immunology	1.51878509768721e-12	3.21494655714812e-11	0.037037037037037	0.491090027111315	1	0	[34062295]
cation transport proteins/genetics	CD44	1.51878509768721e-12	3.21494655714812e-11	0.037037037037037	0.491090027111315	1	0	[34062295]
cation transport proteins/genetics	gene expression regulation neoplastic	1.62808224802857e-05	6.33368658790105e-05	0.074074074074074	0.491090027111315	1	0	[34062295]
cation transport proteins/genetics	glioblastoma/genetics	1.51878509768721e-12	3.21494655714812e-11	0.037037037037037	0.491090027111315	1	0	[34062295]
cation transport proteins/genetics	heat-shock proteins/genetics	1.51878509768721e-12	3.21494655714812e-11	0.037037037037037	0.491090027111315	1	0	[34062295]
cation transport proteins/genetics	HSPB1	1.51878509768721e-12	3.21494655714812e-11	0.037037037037037	0.491090027111315	1	0	[34062295]
cation transport proteins/genetics	hyaluronan receptors/genetics	1.51878509768721e-12	3.21494655714812e-11	0.037037037037037	0.491090027111315	1	0	[34062295]
cation transport proteins/genetics	SLC40A1	1.51878509768721e-12	3.21494655714812e-11	0.037037037037037	0.491090027111315	1	0	[34062295]
cation transport proteins/genetics	t-lymphocytes cytotoxic/immunology	1.51878509768721e-12	3.21494655714812e-11	0.037037037037037	0.491090027111315	1	0	[34062295]
CD44	colorectal neoplasms/metabolism	1.26121335597418e-13	7.71914271756357e-13	0.0294117647058823	0.5011717509037	1	1	[36160648]
CD44	gene expression regulation neoplastic	1.62808224802857e-05	6.33368658790105e-05	0.074074074074074	0.491090027111315	1	0	[34062295]
CD44	glioblastoma/genetics	1.51878509768721e-12	3.21494655714812e-11	0.037037037037037	0.491090027111315	1	0	[34062295]
CD44	heat-shock proteins/genetics	1.51878509768721e-12	3.21494655714812e-11	0.037037037037037	0.491090027111315	1	0	[34062295]
CD44	HSPB1	1.51878509768721e-12	3.21494655714812e-11	0.037037037037037	0.491090027111315	1	0	[34062295]
CD44	hyaluronan receptors/genetics	1.51878509768721e-12	3.21494655714812e-11	0.037037037037037	0.491090027111315	1	0	[34062295]
CD44	hyperlipidemias	1.26121335597418e-13	7.71914271756357e-13	0.0294117647058823	0.5011717509037	1	1	[36160648]
CD44	lipoproteins ldl	1.26121335597418e-13	7.71914271756357e-13	0.0294117647058823	0.5011717509037	1	1	[36160648]
CD44	mannose receptor	1.26121335597418e-13	7.71914271756357e-13	0.0294117647058823	0.5011717509037	1	1	[36160648]
CD44	nitric oxide synthase type ii/metabolism	1.26121335597418e-13	7.71914271756357e-13	0.0294117647058823	0.5011717509037	1	1	[36160648]
CD44	PROM1	1.26121335597418e-13	7.71914271756357e-13	0.0294117647058823	0.5011717509037	1	1	[36160648]
CD44	scavenger receptors class e/genetics	1.26121335597418e-13	7.71914271756357e-13	0.0294117647058823	0.5011717509037	1	1	[36160648]
CD44	SLC40A1	1.51878509768721e-12	3.21494655714812e-11	0.037037037037037	0.491090027111315	1	0	[34062295]
CD44	t-lymphocytes cytotoxic/immunology	1.51878509768721e-12	3.21494655714812e-11	0.037037037037037	0.491090027111315	1	0	[34062295]
