KW	Category	Representativeness	Raw.Occurrence	Betweenness.centrality	Closeness.centrality	Strength	Wscore	Knode	Knode.rank	CommunityMembership
"a549 cells"	"MESH"	0.0170454545454545	6	556.172751700575	0.448709967762114	2.4314214680594	0.0109164933889938	-4.71526164212041	452	1
"abietanes/pharmacology"	"MESH"	0.002840909090909	1	2052.31196378187	0.446566937058079	4.14027598500215	0.081918342565991	36.5865317867317	191	2
"acetaminophen"	"MESH"	0.002840909090909	1	37392.2377760127	0.447414852170478	8.65535714285714	0.625279757464167	25.1938785795571	239	3
"acetaminophen/pharmacology"	"MESH"	0.037037037037037	1	19747.4687369043	0.341812135618898	7.36666666666666	0.456713980730465	-15.9823235280282	509	4
"acetates/therapeutic use"	"MESH"	0.002840909090909	1	9181.55605031922	0.440782164729594	5.56481481481481	0.22290519198108	-21.4622033149182	553	5
"ACSL3"	"GENE"	0.037037037037037	1	14775.6088847036	0.403038066405843	5.97619047619047	0.288221615529912	-0.78775116237876	394	6
"ACSL4"	"GENE"	0.0056818181818181	2	1128.22864128248	0.464867824863501	5.01741429069015	0.0721536166092602	5.93556573365286	366	7
"actin cytoskeleton/metabolism"	"MESH"	0.0085227272727272	3	377.094936126453	0.435061358841812	5.86352813852814	0.0342534245488167	-129.64164505091	958	8
"actins/metabolism"	"MESH"	0.0227272727272727	8	2215.65321690422	0.496967867248749	4.43996738555562	0.101623386930366	-44.4356736591036	682	9
"adaptor proteins signal transducing/genetics"	"MESH"	0.0056818181818181	2	261.248142258625	0.428232719229342	1.30658590921749	0.00131247916699735	-119.335381210289	939	10
"adaptor proteins signal transducing/metabolism"	"MESH"	0.002840909090909	1	2252.5362019766	0.459612896202222	4.48787878787879	0.104487428770972	-8.51361221016041	475	2
"adaptor proteins vesicular transport/genetics"	"MESH"	0.037037037037037	1	12211.9029372355	0.376745493546373	7.35555555555555	0.398088919223504	-162.240857873441	988	10
"adenocarcinoma/drug therapy"	"MESH"	0.002840909090909	1	1419279.79754652	0.441504991623054	14.9871794871795	0.95957802257107	-50.9887963441207	702	11
"adenosine triphosphate/biosynthesis"	"MESH"	0.002840909090909	1	7392944.78275163	0.443972334183595	16.4194444444444	0.986088514468024	-58.7854275945353	734	12
"adenosine triphosphate/metabolism"	"MESH"	0.0113636363636363	4	2580.66800072188	0.490947601179962	8.22191386937289	0.293307844319931	114.034818235568	18	3
"adenylate cyclase toxin/isolation & purification"	"MESH"	0.002840909090909	1	26703.3950070012	0.394654816877494	7.60757575757575	0.518108839542229	-118.523517421729	934	13
"adenylate cyclase toxin/metabolism"	"MESH"	0.0056818181818181	2	55.3471273927359	0.387490949060795	0.569434951013898	0.000109125251980127	-62.4794451048839	757	13
"adhesins bacterial/genetics"	"MESH"	0.0113636363636363	4	408.590591414972	0.424404436117485	2.68440769756559	0.00866057681624101	-110.223401525099	921	10
"adjuvants immunologic/administration & dosage"	"MESH"	0.002840909090909	1	3126.777347573	0.478446707983168	4.61363636363636	0.123982159013349	124.698681108006	1	2
"adjuvants immunologic/chemistry"	"MESH"	0.002840909090909	1	6448.86248112723	0.409447548534323	4.63368910782703	0.16440810463326	-98.0233554495265	873	9
"adp ribose transferases/genetics"	"MESH"	0.0142045454545454	5	310.608605959424	0.388587071558762	1.43127747520369	0.00211306169743337	-240.441521846467	1003	10
"adp-ribosylation factors/chemistry"	"MESH"	0.002840909090909	1	252154.355945831	0.452903235650506	12.5101449275362	0.903769384612943	-105.069575675132	899	8
