KW	Category	Representativeness	Raw.Occurrence	Betweenness.centrality	Closeness.centrality	Strength	Wscore	Knode	Knode.rank	ReactomeReactions	ReactomePathways	PMIDlist
ACSL3	GENE	0.0126582278481012	1	0	0.756358280541818	0.4988282490963	0.0158179012345679	3.70662274889024	51	NA	NA	[32814895]
ACSL4	GENE	0.0253164556962025	2	3	0.824413503705521	2.94047092046141	0.315200617283951	5.47100066324685	31	NA	NA	[33277233,39212400]
AIFM2	GENE	0.0126582278481012	1	0	0.819739128940408	2.52438641685865	0.253086419753086	5.82242756677719	22	NA	NA	[33277233]
APEX1	GENE	0.0126582278481012	1	NA	NA	NA	NA	NA	NA	This node is isolated in this subgraph - no data available	This node is isolated in this subgraph - no data available	This node is isolated in this subgraph - no data available
ASAH2	GENE	0.0126582278481012	1	0	0.504099500128462	1.01781994577737	0.0553626543209877	0.6281491573074	68	NA	NA	[33547170]
ASPG	GENE	0.0126582278481012	1	19	0.808234195652356	2.53446814065104	0.310570987654321	3.93770882749393	41	NA	NA	[35778693]
ATG5	GENE	0.0126582278481012	1	0	0.750086369229815	0.508909972888685	0.0237268518518518	3.70748336226853	50	NA	NA	[33926261]
ATL1	GENE	0.0126582278481012	1	0	0.819739128940408	2.52438641685865	0.253086419753086	5.82242756677719	23	NA	NA	[33277233]
ATM	GENE	0.0126582278481012	1	0	0.811982374743574	1.51664819487367	0.118634259259259	5.87540091008899	20	NA	NA	[31554642]
ATP8A2	GENE	0.0126582278481012	1	0	0.713920425132344	1.24825351080827	0.0790895061728395	3.84843447847605	44	NA	NA	[38581191]
BBS9	GENE	0.0126582278481012	1	0	0.77433939520623	3.04337811353973	0.347993827160494	4.09281035069923	37	NA	NA	[31775041]
BDKRB2	GENE	0.0126582278481012	1	0	0.77433939520623	3.04337811353973	0.347993827160494	4.09281035069923	36	NA	NA	[31775041]
BTRC	GENE	0.0126582278481012	1	0	0.565212214651833	3.9906259927704	0.498263888888889	9.64441708700081	4	[Multi-ubiquitination of phospho-beta-catenin by RBX1:SCF(beta-TrCP1),Degradation of ubiquitinated beta catenin by the proteasome,Association of beta-catenin with the RBX1:SCF(beta-TrCP1) ubiquitin ligase complex,BTRC binds p-S344, 347 NFE2L2,NFE2L2 is ubiquitinated by BTRC:SKP1:CUL1:RBX1,Ub,pS335,S338,T NFE2L2 is degraded]	[Degradation of beta-catenin by the destruction complex,GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2]	[34093872]
CALR	GENE	0.0126582278481012	1	0	2.03628651528965	0.508909972888685	1	0	1	NA	NA	[32686685]
CCK	GENE	0.0379746835443038	3	549	1.04924897724063	2.83872986143727	0.478202160493827	4.74004288777913	34	NA	NA	[35778693,34717678]
CD36	GENE	0.139240506329114	11	48	0.626675682658794	2.06142520448318	0.202546296296296	5.3550345733787	32	NA	NA	[38301989,39166450,39546763]
CD44	GENE	0.0253164556962025	2	2	2.02244672479736	1.51664819487367	1	0.203125	1	NA	NA	[34062295,36160648]
CD8A	GENE	0.10126582278481	8	650	1.01838533133704	7.19070825988768	0.918402777777778	6.05367037763394	18	NA	NA	[33277233,31554642,39321806,34093872,35238098,33691090,31043744]
CHRM1	GENE	0.050632911392405	4	0	0.513448892051529	1.31996403652892	0.0949074074074074	-0.968619166523774	72	NA	NA	[30755716,34093872,33236624,31257391]
CTLA4	GENE	0.0126582278481012	1	0	0.565212214651833	3.9906259927704	0.498263888888889	9.64441708700081	3	NA	NA	[34093872]
CYREN	GENE	0.0126582278481012	1	0	2.03628651528965	0.508909972888685	1	0	2	NA	NA	[32686685]
EEF1A2	GENE	0.0126582278481012	1	0	0.458845922681706	0.416084503602756	0.00790895061728395	5.47205298711135	30	NA	NA	[27756885]
FAM126A	GENE	0.0126582278481012	1	139	0.775583260290212	3.40905399818056	0.571759259259259	7.61697718407065	10	NA	NA	[38301989]
FAP	GENE	0.0126582278481012	1	139	0.775583260290212	3.40905399818056	0.571759259259259	7.61697718407065	11	NA	NA	[38301989]
FN1	GENE	0.0126582278481012	1	0	0.769792940552578	2.52438641685865	0.253086419753086	3.74986611523112	49	[Exocytosis of platelet alpha granule contents]	[Platelet degranulation ]	[34811833]
FTH1	GENE	0.0632911392405063	5	694	1.20235620250299	3.85101196649624	0.74266975308642	2.63325136519301	57	[Exocytosis of ficolin-rich granule lumen proteins]	[Neutrophil degranulation]	[38581191,39287745,35197507,39212400,40724917]
FUT1	GENE	0.0126582278481012	1	0	0.769792940552578	2.52438641685865	0.253086419753086	3.74986611523112	48	NA	NA	[34811833]
GABPA	GENE	0.0126582278481012	1	0	0.565212214651833	3.9906259927704	0.498263888888889	9.64441708700081	2	NA	NA	[34093872]
GGT1	GENE	0.0126582278481012	1	0	0.497891042265753	3.05345983733211	0.387538580246914	5.66228002412457	27	NA	NA	[34991659]
GPX4	GENE	0.278481012658228	22	1361	1.20771232615661	8.73996209565235	0.986111111111111	2.77334744965517	56	NA	NA	[32814895,39212400,33277233,31775041,35778693,34717678,39287745,35197507,38581191,40724917,40451026,33926261,34811833,40752796,39700767,39276841,40703032]
GSK3B	GENE	0.0126582278481012	1	0	0.565212214651833	3.9906259927704	0.498263888888889	9.64441708700081	5	[Multi-ubiquitination of phospho-beta-catenin by RBX1:SCF(beta-TrCP1),Degradation of ubiquitinated beta catenin by the proteasome,Association of beta-catenin with the RBX1:SCF(beta-TrCP1) ubiquitin ligase complex,GSK3B phosphorylates p-NFE2L2]	[Degradation of beta-catenin by the destruction complex,GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2]	[34093872]
HIF1A	GENE	0.0126582278481012	1	0	0.769792940552578	2.52438641685865	0.253086419753086	3.74986611523112	46	NA	NA	[34811833]
HLF	GENE	0.0126582278481012	1	0	0.497891042265753	3.05345983733211	0.387538580246914	5.66228002412457	29	NA	NA	[34991659]
HMGB1	GENE	0.0253164556962025	2	324	0.87850499643755	3.02321466595496	0.481481481481481	0.850344513269716	67	[Exocytosis of ficolin-rich granule lumen proteins,Exocytosis of secretory granule lumen proteins,HMGB1 binds TLR4:LY96,Activated TLR2/4 interacts with MAL (TIRAP),Activated TLR2/4:TIRAP interacts with BTK,TIRAP is phosphorylated by BTK]	[Neutrophil degranulation,Regulation of TLR by endogenous ligand,MyD88:MAL(TIRAP) cascade initiated on plasma membrane]	[35197507,30755716]
HMOX1	GENE	0.0253164556962025	2	39.5	0.635430377018423	1.43390444938013	0.12037037037037	1.24975440815044	66	NA	NA	[33547170,39276841]
HSPB1	GENE	0.037037037037037	1	0	1.51941675415177	1.01781994577737	0.5625	0.19140625	3	NA	NA	[34062295]
IFNA1	GENE	0.0379746835443038	3	77	0.662606749943158	2.33990161234097	0.23070987654321	3.78268701000706	45	NA	NA	[39166450,39546763,30830879]
IL17A	GENE	0.0379746835443038	3	NA	NA	NA	NA	NA	NA	This node is isolated in this subgraph - no data available	This node is isolated in this subgraph - no data available	This node is isolated in this subgraph - no data available
IL34	GENE	0.0126582278481012	1	31	0.67558434283675	2.16316626350732	0.19945987654321	5.72677289035113	24	NA	NA	[39321806]
IL6	GENE	0.113924050632911	9	389	0.623562113123007	4.96602908822377	0.852623456790123	6.91614080242152	13	[PTPN11 is phosphorylated,Tyrosine phosphorylation of STAT1, STAT3 by IL6 receptor,IL6ST is tyrosine phosphorylated,JAK activation,Assembly of hexameric IL-6 receptor,IL6:IL6R binds IL6ST:JAK1,JAK2,(TYK2),IL6:IL6R-2 binds IL6ST:JAK1, JAK2, (TYK2),Serine phosphorylation of STATs,Phosphorylated STATs are released,Tyrosine phosphorylated IL6ST binds STAT1,STAT3,Expression of STAT3-upregulated extracellular proteins]	[Interleukin-6 signaling,Interleukin-4 and Interleukin-13 signaling]	[27756885,38301989,34991659,30563531,32344015,37108378,32472095]
IRF6	GENE	0.0126582278481012	1	252	0.682547816950032	2.4941412454815	0.291666666666667	0.188990668105102	69	NA	NA	[30755716]
JAK2	GENE	0.0126582278481012	1	0	0.497891042265753	3.05345983733211	0.387538580246914	5.66228002412457	28	[PTPN11 is phosphorylated,Tyrosine phosphorylation of STAT1, STAT3 by IL6 receptor,IL6ST is tyrosine phosphorylated,JAK activation,Assembly of hexameric IL-6 receptor,IL6:IL6R binds IL6ST:JAK1,JAK2,(TYK2),IL6:IL6R-2 binds IL6ST:JAK1, JAK2, (TYK2),IL20:IL20RA:JAK1:IL20RB:p‑JAK2,p‑JAK3 binds STAT3,p-STAT3 dissociates from IL20:IL20RA:JAK1:IL20RB:p-Y1007,Y1008-JAK2,p-JAK3,IL20:IL20RA:JAK1:IL20RB:p-JAK3,p-JAK2:STAT3 phosphorylates STAT3,STAT3 binds to p-Y-IL23R in IL23:IL23 receptor,p-Y693-STAT4, p-Y705-STAT3 dissociate from IL23:IL23 receptor,STAT3, STAT4 are phosphorylated by p-JAK2, p-TYK2 in IL23:IL23 receptor,STAT4 binds p-Y-IL23R in IL23:IL23 receptor,p-STAT1, p-STAT3 dissociate from IL27RA:IL12RB2 receptor,JAK1,JAK2 bound to IL27RA:IL12RB2 receptor phosphorylate STAT1,STAT1,STAT3 associate with IL27RA:IL12RB2 receptor, STAT3 bind p-Y611-IL27RA from Interleukin-27:Interleukin-27 receptor complex,STAT3 and STAT1 are phosphorylated by JAKs after IL27:IL27R interaction,p-Y701-STAT1 and p-Y705-STAT3 dissociate from IL27:IL27 receptor,p-Y-JAK1,2 phosphorylates STAT1,3,5 in CSF3 dimer:2xp-4Y-CSF3R:LYN:p-Y-JAK1:p-Y-JAK2:p-TYK2,CSF3 dimer:2xp-4Y-CSF3R:LYN:p-Y-JAK1:p-JAK2:p-SYK:p-HCK:p-TYK2 binds STAT1,5,CSF3 dimer:2xp-4Y-CSF3R:LYN:p-Y-JAK1:p-JAK2:p-SYK:p-HCK:p-TYK2:p-Y-STAT1,5 dissociates yielding CSF3 dimer:2xp-4Y-CSF3R:LYN:p-Y-JAK1:p-JAK2:p-SYK:p-HCK:p-TYK2 and p-Y-STAT1,JAK2 Phosphoryates STAT3 in Response to Leptin,Phosphorylated LEPR Binds STAT3,Phosphorylated STAT3 Dissociates from Leptin Receptor,STAT6 bind IL13:IL13R type II,p-Y-STATs dissociate,STAT6 phosphorylation,JAK2 phosphorylates STAT1/STAT3,Disassociation and translocation of STATs to the nucleus downstream of KIT mutants,Dimerization of STATs downstream of KIT mutants,Recruitment of STATs by KIT mutants,Phosphorylation of STATs downstream of KIT mutants,Disassociation and translocation of STATs to the nucleus,Dimerization of STATs,Phosphorylation of STATs,Recruitment of STATs,JAK2 binds STAT1/3,Serine phosphorylation of STATs,Phosphorylated STATs are released,Tyrosine phosphorylated IL6ST binds STAT1,STAT6 bind p-Y-IL4R,JAK1 phosphorylates STAT3,STAT6,p-Y705-STAT3,p-Y641-STAT6 dissociate]	[Interleukin-6 signaling,Interleukin-20 family signaling,Interleukin-23 signaling,Interleukin-35 Signalling,Interleukin-27 signaling,Signaling by CSF3 (G-CSF),Signaling by Leptin,Interleukin-4 and Interleukin-13 signaling,Growth hormone receptor signaling,Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants,Signaling by SCF-KIT]	[34991659]
KDM8	GENE	0.0126582278481012	1	0	2.03628651528965	0.508909972888685	1	0	2	NA	NA	[33311482]
LPO	GENE	0.0126582278481012	1	0	0.760445259286876	1.24825351080827	0.0790895061728395	6.48139470569464	14	NA	NA	[40752796]
MMRN1	GENE	0.0126582278481012	1	0	0.769792940552578	2.52438641685865	0.253086419753086	3.74986611523112	47	[Exocytosis of platelet alpha granule contents]	[Platelet degranulation ]	[34811833]
MRLN	GENE	0.050632911392405	4	0	0.513448892051529	1.31996403652892	0.0949074074074074	-0.968619166523774	71	NA	NA	[34093872,30755716,33236624,31257391]
MS4A1	GENE	0.0126582278481012	1	0	0.77433939520623	3.04337811353973	0.347993827160494	4.09281035069923	40	NA	NA	[31775041]
MTOR	GENE	0.0126582278481012	1	0	0.565212214651833	3.9906259927704	0.498263888888889	9.64441708700081	8	[AMPK phosphorylates Raptor in the mTORC1 complex,p-AMPK:AMP phosphorylates Raptor in the MTORC1 complex]	[Energy dependent regulation of mTOR by LKB1-AMPK,Macroautophagy]	[34093872]
NFE2L2	GENE	0.050632911392405	4	504	0.754976078234721	4.90553874546946	0.853009259259259	8.58830909862727	9	[BTRC binds p-S344, 347 NFE2L2,NFE2L2 is ubiquitinated by BTRC:SKP1:CUL1:RBX1,Ub,pS335,S338,T NFE2L2 is degraded,GSK3B phosphorylates p-NFE2L2,PRKAA2 phosphorylates nuclear NFE2L2]	[GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2,Nuclear events mediated by NFE2L2]	[34093872,34717678,40752796]
NFKB1	GENE	0.0759493670886076	6	96	0.558238657254884	1.23860877498562	0.0817901234567901	2.26385554793477	63	NA	NA	[30755716,38351345,32472095]
NLRP1	GENE	0.0126582278481012	1	19	0.808234195652356	2.53446814065104	0.310570987654321	3.93770882749393	42	NA	NA	[35778693]
NLRP3	GENE	0.0126582278481012	1	0	0.798548278053294	1.52672991866606	0.150270061728395	2.61511730955172	58	NA	NA	[35197507]
NOX4	GENE	0.0126582278481012	1	0	0.798548278053294	1.52672991866606	0.150270061728395	2.61511730955172	59	NA	NA	[35197507]
PDCD1	GENE	0.0759493670886076	6	163.666666666667	1.01094285141663	4.79708884248998	0.763888888888889	6.2909586179222	16	NA	NA	[34093872,35238098,33691090,39321806,38301989,34985903]
PLEKHM1	GENE	0.0126582278481012	1	0	0.77433939520623	3.04337811353973	0.347993827160494	4.09281035069923	39	NA	NA	[31775041]
PRKAA1	GENE	0.0126582278481012	1	0	0.565212214651833	3.9906259927704	0.498263888888889	9.64441708700081	7	[AMPK phosphorylates Raptor in the mTORC1 complex,p-AMPK:AMP phosphorylates Raptor in the MTORC1 complex,CAMKK2 phosphorylates AMPK,Activation of cytosolic AMPK by phosphorylation,AMPK is dephosphorylated,Phosphorylated AMPK binds AMP]	[Energy dependent regulation of mTOR by LKB1-AMPK,Macroautophagy,Activation of AMPK downstream of NMDARs]	[34093872]
PRKAA2	GENE	0.0126582278481012	1	0	0.565212214651833	3.9906259927704	0.498263888888889	9.64441708700081	1	[AMPK phosphorylates Raptor in the mTORC1 complex,p-AMPK:AMP phosphorylates Raptor in the MTORC1 complex,PRKAA2 phosphorylates nuclear NFE2L2,CAMKK2 phosphorylates AMPK,Activation of cytosolic AMPK by phosphorylation,AMPK is dephosphorylated,Phosphorylated AMPK binds AMP,PRKAA2 phosphorylates PLINs]	[Energy dependent regulation of mTOR by LKB1-AMPK,Macroautophagy,Nuclear events mediated by NFE2L2,Activation of AMPK downstream of NMDARs,Lipophagy]	[34093872]
