c1	c2	weight	query
1	10	5.43201149670334	cell proliferation/drug effects_cystine/antagonists & inhibitors_folic acid antagonists/pharmacology_methotrexate/pharmacology
1	10	5.35284977927224	carbolines/pharmacology_cell proliferation/drug effects_cystine/antagonists & inhibitors_dose-response relationship drug
1	10	5.30254080586494	ABCC1_ABCC3_antioxidants/metabolism_gene expression
1	12	4.43804532578583	ATG5_autophagy-related protein 5/agonists_cd4-positive t-lymphocytes/cytology_dexamethasone/pharmacology
1	12	4.424366183712	ATG5_autophagy-related protein 5/agonists_cell cycle/drug effects_flavonolignans/pharmacology
1	12	3.84284386946208	ATG5_autophagy-related protein 5/agonists_cd4-positive t-lymphocytes/cytology_cell cycle/drug effects
1	2	4.52823848681539	acetaminophen/pharmacology_brain neoplasms/genetics_gene expression regulation neoplastic_GPER1
1	2	4.43521754991405	autophagy-related protein 5/agonists_cd4-positive t-lymphocytes/cytology_dexamethasone/pharmacology_gene expression regulation neoplastic
1	2	4.16569323612597	autophagy-related protein 5/agonists_cd4-positive t-lymphocytes/cytology_cell proliferation/drug effects_gene expression regulation neoplastic
1	4	4.58844592601023	autophagy-related protein 5/agonists_cd4-positive t-lymphocytes/cytology_dexamethasone/pharmacology_mitochondria/drug effects
1	4	4.17493460681194	antineoplastic agents/chemistry_biological products/chemistry_mitochondria/drug effects_receptors g-protein-coupled/agonists
1	4	4.05246146040667	autophagy-related protein 5/agonists_cd4-positive t-lymphocytes/cytology_mitochondria/drug effects_tamoxifen/pharmacology
1	9	6.61136204350235	basic-leucine zipper transcription factors/analysis_drug resistance neoplasm_GGT1_HLF
1	9	6.60666692229397	basic-leucine zipper transcription factors/analysis_drug resistance neoplasm_GGT1_tumor-associated macrophages/drug effects
1	9	5.749804236111	basic-leucine zipper transcription factors/analysis_drug resistance neoplasm_GGT1_TGFB1
10	12	6.27115077609314	cell cycle/drug effects_flavonolignans/pharmacology_glutathione peroxidase/metabolism_precursor cell lymphoblastic leukemia-lymphoma/metabolism
10	12	5.55291528045892	autophagy-related proteins/genetics_cell cycle/drug effects_flavonolignans/pharmacology_glutathione peroxidase/metabolism
10	12	5.46878589180643	ATG5_cell cycle/drug effects_flavonolignans/pharmacology_glutathione peroxidase/metabolism
10	2	5.43043524887134	cystine/antagonists & inhibitors_folic acid antagonists/pharmacology_gene expression regulation neoplastic_methotrexate/pharmacology
10	2	4.9483373733984	antioxidants/pharmacology_cystine/antagonists & inhibitors_folic acid antagonists/pharmacology_gene expression regulation neoplastic
10	2	4.91153575631941	cystine/antagonists & inhibitors_folic acid antagonists/pharmacology_gene expression regulation neoplastic_oxidative stress
10	3	4.01636625918557	azoles/pharmacology_glutathione peroxidase/metabolism_glutathione/analysis_glutathione/metabolism
10	3	3.95823635773199	azoles/pharmacology_genes reporter_glutathione peroxidase/metabolism_glutathione/metabolism
10	5	15.6752516525705	amino acid transport system y+/genetics_cell survival/drug effects_gene expression regulation neoplastic/drug effects_NFE2L2
10	5	15.6696477750525	cell survival/drug effects_gene expression regulation neoplastic/drug effects_NFE2L2_sulfasalazine/administration & dosage
10	5	15.5087274647573	cell survival/drug effects_gene expression regulation neoplastic/drug effects_inflammation mediators/antagonists & inhibitors_NFE2L2
10	7	8.93380463332287	ascorbic acid/pharmacology_CALR_calreticulin/metabolism_oxidative stress
10	7	7.23577485061349	ascorbic acid/pharmacology_CALR_ferric compounds/chemistry_oxidative stress
10	7	6.56977156063645	ascorbic acid/pharmacology_cystine/antagonists & inhibitors_oxidative stress_t-lymphocytes cytotoxic/metabolism
11	3	5.69042047870483	glutathione/metabolism_iron/metabolism_malaria/genetics_phospholipid hydroperoxide glutathione peroxidase/metabolism
11	3	5.67427384275427	glutathione/metabolism_iron/metabolism_listeriosis/etiology_phospholipid hydroperoxide glutathione peroxidase/metabolism
11	3	5.43374398406558	host-pathogen interactions_iron chelating agents/pharmacology_iron/metabolism_malaria/genetics
11	5	6.86673410843305	asparaginase_cisplatin_diterpenes/pharmacology_SLC7A11
11	5	5.3591023638675	asparaginase_cisplatin_SLC7A11_tumor suppressor protein p53/metabolism
11	5	5.24002858780406	asparaginase_cisplatin_SLC7A11_TP53
11	8	5.82600007035813	ASAH2_cell line tumor/transplantation_colonic neoplasms/drug therapy_heme oxygenase-1/metabolism
11	8	5.39460440390751	ASAH2_cell line tumor/transplantation_TP53_tumor suppressor protein p53/metabolism
11	8	5.23450360659529	ASAH2_cell line tumor/transplantation_colonic neoplasms/drug therapy_tumor suppressor protein p53/metabolism
12	2	4.18839208897993	acetaminophen/pharmacology_brain neoplasms/genetics_gene expression regulation neoplastic_jurkat cells
12	3	6.19196655184582	cell cycle/drug effects_flavonolignans/pharmacology_glutathione/metabolism_precursor cell lymphoblastic leukemia-lymphoma/metabolism
12	3	6.06335225345431	glutathione/metabolism_iron/metabolism_phospholipid hydroperoxide glutathione peroxidase/metabolism_precursor cell lymphoblastic leukemia-lymphoma/metabolism
12	3	5.83325018278696	glutathione/metabolism_host-pathogen interactions_iron chelating agents/pharmacology_precursor cell lymphoblastic leukemia-lymphoma/metabolism
12	4	6.46247311945203	ACSL4_AIFM2_ATL1_autophagy/drug effects
12	4	5.66019180318712	ACSL4_AIFM2_autophagy/drug effects_neoplasms/drug therapy
12	4	5.14503056357705	ACSL4_autophagy/drug effects_cd8-positive t-lymphocytes/drug effects_cell cycle/drug effects
