KW	category	node_weight	occurrence
acetaminophen/pharmacology	MESH	0.037037037037037	1
brain neoplasms/genetics	MESH	0.037037037037037	1
cation transport proteins/genetics	MESH	0.037037037037037	1
CD44	GENE	0.037037037037037	1
gene expression regulation neoplastic	MESH	0.074074074074074	2
glioblastoma/genetics	MESH	0.037037037037037	1
heat-shock proteins/genetics	MESH	0.037037037037037	1
HSPB1	GENE	0.037037037037037	1
hyaluronan receptors/genetics	MESH	0.037037037037037	1
SLC40A1	GENE	0.037037037037037	1
t-lymphocytes cytotoxic/immunology	MESH	0.037037037037037	1
ACSL3	GENE	0.037037037037037	1
cell survival	MESH	0.037037037037037	1
coenzyme a ligases/metabolism	MESH	0.037037037037037	1
glutathione/metabolism	MESH	0.1111111111111111	3
iron/metabolism	MESH	0.1481481481481481	4
lymph/metabolism	MESH	0.037037037037037	1
melanoma/blood	MESH	0.037037037037037	1
neoplasm metastasis/drug therapy	MESH	0.037037037037037	1
oleic acid/metabolism	MESH	0.037037037037037	1
oxidative stress/drug effects	MESH	0.074074074074074	2
phospholipid hydroperoxide glutathione peroxidase/metabolism	MESH	0.074074074074074	2
ACSL4	GENE	0.037037037037037	1
AIFM2	GENE	0.037037037037037	1
ATL1	GENE	0.037037037037037	1
autophagy/drug effects	MESH	0.074074074074074	2
cd8-positive t-lymphocytes/drug effects	MESH	0.037037037037037	1
endoplasmic reticulum/drug effects	MESH	0.037037037037037	1
neoplasms/drug therapy	MESH	0.074074074074074	2
S100A4	GENE	0.037037037037037	1
actins/metabolism	MESH	0.037037037037037	1
amino acid transport system y+/metabolism	MESH	0.074074074074074	2
cell line	MESH	0.037037037037037	1
collagen type i/metabolism	MESH	0.037037037037037	1
FN1	GENE	0.037037037037037	1
hepatic stellate cells/drug effects	MESH	0.037037037037037	1
hepatocytes/drug effects	MESH	0.037037037037037	1
HIF1A	GENE	0.037037037037037	1
hypoxia-inducible factor 1 alpha subunit/metabolism	MESH	0.037037037037037	1
liver cirrhosis/drug therapy	MESH	0.037037037037037	1
MMRN1	GENE	0.037037037037037	1
sorafenib/pharmacology	MESH	0.037037037037037	1
adaptor proteins vesicular transport/genetics	MESH	0.037037037037037	1
cyclohexylamines/pharmacology	MESH	0.074074074074074	2
inflammation/drug therapy	MESH	0.037037037037037	1
myocardial reperfusion injury/drug therapy	MESH	0.037037037037037	1
myocardium/immunology	MESH	0.037037037037037	1
neutrophil infiltration	MESH	0.037037037037037	1
neutrophils/immunology	MESH	0.037037037037037	1
phenylenediamines/pharmacology	MESH	0.074074074074074	2
TICAM1	GENE	0.037037037037037	1
TLR4	GENE	0.074074074074074	2
toll-like receptor 4/genetics	MESH	0.037037037037037	1
TRIM69	GENE	0.037037037037037	1
ventricular function left/drug effects	MESH	0.037037037037037	1
adjuvants immunologic/chemistry	MESH	0.037037037037037	1
dextrans/chemistry	MESH	0.037037037037037	1
ferric compounds/chemistry	MESH	0.1111111111111111	3
gels/chemistry	MESH	0.037037037037037	1
gold/chemistry	MESH	0.037037037037037	1
macrophages/cytology	MESH	0.074074074074074	2
urinary bladder neoplasms/pathology	MESH	0.037037037037037	1
amino acid transport system y+/genetics	MESH	0.037037037037037	1
antineoplastic agents immunological/administration &amp; dosage	MESH	0.037037037037037	1
ATM	GENE	0.037037037037037	1
cd8-positive t-lymphocytes/immunology	MESH	0.1111111111111111	3
cell survival/drug effects	MESH	0.1111111111111111	3
gene expression regulation neoplastic/drug effects	MESH	0.037037037037037	1
lipid metabolism/drug effects	MESH	0.037037037037037	1
SLC7A11	GENE	0.1481481481481481	4
SLC9A1	GENE	0.074074074074074	2
sulfasalazine/administration &amp; dosage	MESH	0.037037037037037	1
cysteine/metabolism	MESH	0.037037037037037	1
fusion regulatory protein 1 heavy chain/metabolism	MESH	0.037037037037037	1
interferon-gamma/immunology	MESH	0.037037037037037	1
melanoma/genetics	MESH	0.037037037037037	1
nivolumab/therapeutic use	MESH	0.037037037037037	1
SLC3A2	GENE	0.037037037037037	1
aniline compounds/chemistry	MESH	0.037037037037037	1
b7-h1 antigen/metabolism	MESH	0.037037037037037	1
benzylidene compounds/chemistry	MESH	0.037037037037037	1
cd8-positive t-lymphocytes/cytology	MESH	0.074074074074074	2
exosomes/metabolism	MESH	0.037037037037037	1
immunogenic cell death/drug effects	MESH	0.037037037037037	1
interferon-gamma/metabolism	MESH	0.037037037037037	1
metal-organic frameworks/chemistry	MESH	0.037037037037037	1
phenol/chemistry	MESH	0.037037037037037	1
programmed cell death 1 receptor/metabolism	MESH	0.037037037037037	1
aniline compounds/pharmacology	MESH	0.037037037037037	1
b7-h1 antigen/antagonists &amp; inhibitors	MESH	0.074074074074074	2
benzylidene compounds/pharmacology	MESH	0.037037037037037	1
cell line tumor/transplantation	MESH	0.074074074074074	2
drug resistance neoplasm/drug effects	MESH	0.037037037037037	1
exosomes/drug effects	MESH	0.037037037037037	1
hyaluronic acid/chemistry	MESH	0.037037037037037	1
immune checkpoint inhibitors/pharmacology	MESH	0.037037037037037	1
immunologic memory	MESH	0.037037037037037	1
skin neoplasms/drug therapy	MESH	0.037037037037037	1
t-lymphocytes cytotoxic/drug effects	MESH	0.037037037037037	1
tumor escape/drug effects	MESH	0.037037037037037	1
antibodies monoclonal humanized/pharmacology	MESH	0.037037037037037	1
CD36	GENE	0.037037037037037	1
cd36 antigens/antagonists &amp; inhibitors	MESH	0.037037037037037	1
cytokines/metabolism	MESH	0.074074074074074	2
fatty acids/metabolism	MESH	0.037037037037037	1
multiple myeloma/drug therapy	MESH	0.037037037037037	1
PDCD1	GENE	0.1111111111111111	3
tumor microenvironment	MESH	0.074074074074074	2
antineoplastic agents/chemistry	MESH	0.037037037037037	1
apoptosis/drug effects	MESH	0.074074074074074	2
biological products/chemistry	MESH	0.037037037037037	1
dichloroacetic acid/chemistry	MESH	0.037037037037037	1
drug synergism	MESH	0.037037037037037	1
energy metabolism/drug effects	MESH	0.037037037037037	1
mitochondria/drug effects	MESH	0.074074074074074	2
protein kinase inhibitors/chemistry	MESH	0.037037037037037	1
pyruvate dehydrogenase acetyl-transferring kinase/antagonists &amp; inhibitors	MESH	0.037037037037037	1
saponins/chemistry	MESH	0.037037037037037	1
antioxidants/pharmacology	MESH	0.037037037037037	1
carbolines/pharmacology	MESH	0.074074074074074	2
cell proliferation/drug effects	MESH	0.037037037037037	1
cystine/antagonists &amp; inhibitors	MESH	0.037037037037037	1
dose-response relationship drug	MESH	0.074074074074074	2
folic acid antagonists/pharmacology	MESH	0.037037037037037	1
jurkat cells	MESH	0.074074074074074	2
methotrexate/pharmacology	MESH	0.037037037037037	1
oxidative stress	MESH	0.074074074074074	2
phospholipid hydroperoxide glutathione peroxidase/antagonists &amp; inhibitors	MESH	0.037037037037037	1
piperazines/pharmacology	MESH	0.074074074074074	2
