kw1	kw2	inv_edge_weight	edge_weight	R1C1	iteration	crit_p	pg
acetaminophen/pharmacology	brain neoplasms/genetics	0.491090027111315	0.037037037037037	1	0	3.21494655714812e-11	1.51878509768721e-12
acetaminophen/pharmacology	cation transport proteins/genetics	0.491090027111315	0.037037037037037	1	0	3.21494655714812e-11	1.51878509768721e-12
acetaminophen/pharmacology	CD44	0.491090027111315	0.037037037037037	1	0	3.21494655714812e-11	1.51878509768721e-12
acetaminophen/pharmacology	gene expression regulation neoplastic	0.491090027111315	0.074074074074074	1	0	6.33368658790105e-05	1.62808224802857e-05
acetaminophen/pharmacology	glioblastoma/genetics	0.491090027111315	0.037037037037037	1	0	3.21494655714812e-11	1.51878509768721e-12
acetaminophen/pharmacology	heat-shock proteins/genetics	0.491090027111315	0.037037037037037	1	0	3.21494655714812e-11	1.51878509768721e-12
acetaminophen/pharmacology	HSPB1	0.491090027111315	0.037037037037037	1	0	3.21494655714812e-11	1.51878509768721e-12
acetaminophen/pharmacology	hyaluronan receptors/genetics	0.491090027111315	0.037037037037037	1	0	3.21494655714812e-11	1.51878509768721e-12
acetaminophen/pharmacology	SLC40A1	0.491090027111315	0.037037037037037	1	0	3.21494655714812e-11	1.51878509768721e-12
acetaminophen/pharmacology	t-lymphocytes cytotoxic/immunology	0.491090027111315	0.037037037037037	1	0	3.21494655714812e-11	1.51878509768721e-12
brain neoplasms/genetics	cation transport proteins/genetics	0.491090027111315	0.037037037037037	1	0	3.21494655714812e-11	1.51878509768721e-12
brain neoplasms/genetics	CD44	0.491090027111315	0.037037037037037	1	0	3.21494655714812e-11	1.51878509768721e-12
brain neoplasms/genetics	gene expression regulation neoplastic	0.491090027111315	0.074074074074074	1	0	6.33368658790105e-05	1.62808224802857e-05
brain neoplasms/genetics	glioblastoma/genetics	0.491090027111315	0.037037037037037	1	0	3.21494655714812e-11	1.51878509768721e-12
brain neoplasms/genetics	heat-shock proteins/genetics	0.491090027111315	0.037037037037037	1	0	3.21494655714812e-11	1.51878509768721e-12
brain neoplasms/genetics	HSPB1	0.491090027111315	0.037037037037037	1	0	3.21494655714812e-11	1.51878509768721e-12
brain neoplasms/genetics	hyaluronan receptors/genetics	0.491090027111315	0.037037037037037	1	0	3.21494655714812e-11	1.51878509768721e-12
brain neoplasms/genetics	SLC40A1	0.491090027111315	0.037037037037037	1	0	3.21494655714812e-11	1.51878509768721e-12
brain neoplasms/genetics	t-lymphocytes cytotoxic/immunology	0.491090027111315	0.037037037037037	1	0	3.21494655714812e-11	1.51878509768721e-12
cation transport proteins/genetics	CD44	0.491090027111315	0.037037037037037	1	0	3.21494655714812e-11	1.51878509768721e-12
cation transport proteins/genetics	gene expression regulation neoplastic	0.491090027111315	0.074074074074074	1	0	6.33368658790105e-05	1.62808224802857e-05
cation transport proteins/genetics	glioblastoma/genetics	0.491090027111315	0.037037037037037	1	0	3.21494655714812e-11	1.51878509768721e-12
cation transport proteins/genetics	heat-shock proteins/genetics	0.491090027111315	0.037037037037037	1	0	3.21494655714812e-11	1.51878509768721e-12
