PMID	QuerySet
31043744	pmid-ferroptosis_ImmuneSystem.txt
34717678	pmid-ferroptosis_ImmuneSystem.txt
31554642	pmid-ferroptosis_ImmuneSystem.txt
33691090	pmid-ferroptosis_ImmuneSystem.txt
34811833	pmid-ferroptosis_ImmuneSystem.txt
32814895	pmid-ferroptosis_ImmuneSystem.txt
34991659	pmid-ferroptosis_ImmuneSystem.txt
34093872	pmid-ferroptosis_ImmuneSystem.txt
33311482	pmid-ferroptosis_ImmuneSystem.txt
30787033	pmid-ferroptosis_ImmuneSystem.txt
34593794	pmid-ferroptosis_ImmuneSystem.txt
35197507	pmid-ferroptosis_ImmuneSystem.txt
34985903	pmid-ferroptosis_ImmuneSystem.txt
30830879	pmid-ferroptosis_ImmuneSystem.txt
32778843	pmid-ferroptosis_ImmuneSystem.txt
33277233	pmid-ferroptosis_ImmuneSystem.txt
35778693	pmid-ferroptosis_ImmuneSystem.txt
32134361	pmid-ferroptosis_ImmuneSystem.txt
34062295	pmid-ferroptosis_ImmuneSystem.txt
34396451	pmid-ferroptosis_ImmuneSystem.txt
33236624	pmid-ferroptosis_ImmuneSystem.txt
31775041	pmid-ferroptosis_ImmuneSystem.txt
33547170	pmid-ferroptosis_ImmuneSystem.txt
32686685	pmid-ferroptosis_ImmuneSystem.txt
33926261	pmid-ferroptosis_ImmuneSystem.txt
31980600	pmid-ferroptosis_ImmuneSystem.txt
31509699	pmid-ferroptosis_ImmuneSystem.txt
26152356	('apoptosis/drug effects', 'cytokines/metabolism', 'tumor microenvironment')
26398122	('apoptosis/drug effects', 'cytokines/metabolism', 'tumor microenvironment')
33237729	('apoptosis/drug effects', 'cytokines/metabolism', 'tumor microenvironment')
29642007	('apoptosis/drug effects', 'cytokines/metabolism', 'tumor microenvironment')
34285232	('apoptosis/drug effects', 'cytokines/metabolism', 'tumor microenvironment')
23972545	('apoptosis/drug effects', 'cytokines/metabolism', 'tumor microenvironment')
24280212	('apoptosis/drug effects', 'cytokines/metabolism', 'tumor microenvironment')
28683469	('apoptosis/drug effects', 'cytokines/metabolism', 'tumor microenvironment')
32495392	('apoptosis/drug effects', 'cytokines/metabolism', 'tumor microenvironment')
27651484	('apoptosis/drug effects', 'cytokines/metabolism', 'tumor microenvironment')
27235608	('apoptosis/drug effects', 'cytokines/metabolism', 'tumor microenvironment')
29408569	('apoptosis/drug effects', 'cytokines/metabolism', 'tumor microenvironment')
22926264	('apoptosis/drug effects', 'cytokines/metabolism', 'tumor microenvironment')
28591705	('apoptosis/drug effects', 'cytokines/metabolism', 'tumor microenvironment')
31681329	('apoptosis/drug effects', 'cytokines/metabolism', 'tumor microenvironment')
28534943	('apoptosis/drug effects', 'cytokines/metabolism', 'tumor microenvironment')
34362880	('apoptosis/drug effects', 'cytokines/metabolism', 'tumor microenvironment')
27349166	('apoptosis/drug effects', 'cytokines/metabolism', 'tumor microenvironment')
30352911	('apoptosis/drug effects', 'cytokines/metabolism', 'tumor microenvironment')
31996991	('apoptosis/drug effects', 'cytokines/metabolism', 'tumor microenvironment')
28455246	('apoptosis/drug effects', 'cytokines/metabolism', 'tumor microenvironment')
32610185	('apoptosis/drug effects', 'cytokines/metabolism', 'tumor microenvironment')
25140317	('apoptosis/drug effects', 'cytokines/metabolism', 'tumor microenvironment')
25253531	('apoptosis/drug effects', 'cytokines/metabolism', 'tumor microenvironment')
26956049	('apoptosis/drug effects', 'cytokines/metabolism', 'tumor microenvironment')
29587825	('apoptosis/drug effects', 'cytokines/metabolism', 'tumor microenvironment')
33762321	('apoptosis/drug effects', 'cytokines/metabolism', 'tumor microenvironment')
29486738	('apoptosis/drug effects', 'cytokines/metabolism', 'tumor microenvironment')
33508878	('apoptosis/drug effects', 'cytokines/metabolism', 'tumor microenvironment')
27070705	('apoptosis/drug effects', 'cytokines/metabolism', 'tumor microenvironment')
29124315	('apoptosis/drug effects', 'cytokines/metabolism', 'tumor microenvironment')
27253488	('apoptosis/drug effects', 'cytokines/metabolism', 'tumor microenvironment')
32055920	('apoptosis/drug effects', 'cytokines/metabolism', 'tumor microenvironment')
27732933	('apoptosis/drug effects', 'cytokines/metabolism', 'tumor microenvironment')
21261597	('apoptosis/drug effects', 'cytokines/metabolism', 'tumor microenvironment')
29436393	('apoptosis/drug effects', 'cytokines/metabolism', 'tumor microenvironment')
23826077	('apoptosis/drug effects', 'cytokines/metabolism', 'tumor microenvironment')
22952424	('apoptosis/drug effects', 'cytokines/metabolism', 'tumor microenvironment')
29592953	('apoptosis/drug effects', 'cytokines/metabolism', 'tumor microenvironment')
28129639	('apoptosis/drug effects', 'cytokines/metabolism', 'tumor microenvironment')
22194466	('apoptosis/drug effects', 'cytokines/metabolism', 'tumor microenvironment')
21692746	('apoptosis/drug effects', 'cytokines/metabolism', 'tumor microenvironment')
23953881	('apoptosis/drug effects', 'cytokines/metabolism', 'tumor microenvironment')
30420335	('apoptosis/drug effects', 'cytokines/metabolism', 'tumor microenvironment')
29915309	('apoptosis/drug effects', 'cytokines/metabolism', 'tumor microenvironment')
33657989	('apoptosis/drug effects', 'cytokines/metabolism', 'tumor microenvironment')
23536722	('apoptosis/drug effects', 'cytokines/metabolism', 'tumor microenvironment')
23481325	('apoptosis/drug effects', 'cytokines/metabolism', 'tumor microenvironment')
33130472	('apoptosis/drug effects', 'cytokines/metabolism', 'tumor microenvironment')
23785504	('apoptosis/drug effects', 'cytokines/metabolism', 'tumor microenvironment')
31552695	('apoptosis/drug effects', 'cytokines/metabolism', 'tumor microenvironment')
24337970	('apoptosis/drug effects', 'cytokines/metabolism', 'tumor microenvironment')
34037385	('apoptosis/drug effects', 'cytokines/metabolism', 'tumor microenvironment')
22204817	('apoptosis/drug effects', 'cytokines/metabolism', 'tumor microenvironment')
27241844	('apoptosis/drug effects', 'cytokines/metabolism', 'tumor microenvironment')
32106002	('apoptosis/drug effects', 'cytokines/metabolism', 'tumor microenvironment')
33158173	('apoptosis/drug effects', 'cytokines/metabolism', 'tumor microenvironment')
33000204	('apoptosis/drug effects', 'cytokines/metabolism', 'tumor microenvironment')
25312253	('apoptosis/drug effects', 'cytokines/metabolism', 'tumor microenvironment')
22804248	('apoptosis/drug effects', 'cytokines/metabolism', 'tumor microenvironment')
18727400	('antioxidants/pharmacology', 'oxidative stress', 't-lymphocytes cytotoxic/metabolism')
27855523	('antioxidants/pharmacology', 'oxidative stress', 't-lymphocytes cytotoxic/metabolism')
33656766	('ACSL4', 'autophagy/drug effects', 'neoplasms/drug therapy')
29589006	('IL4', 'interleukin-10/metabolism', 'TP53')
35480082	('IL4', 'interleukin-10/metabolism', 'TP53')
31173258	('IL4', 'interleukin-10/metabolism', 'TP53')
22893064	('IL4', 'interleukin-10/metabolism', 'TP53')
31655430	('aniline compounds/chemistry', 'b7-h1 antigen/metabolism', 'interferon-gamma/metabolism')
29131020	('cell proliferation', 'SLC7A11', 'tumor suppressor protein p53/metabolism')
35271947	('cell proliferation', 'SLC7A11', 'tumor suppressor protein p53/metabolism')
27269634	('cell proliferation', 'SLC7A11', 'tumor suppressor protein p53/metabolism')
33137095	('cell proliferation', 'SLC7A11', 'tumor suppressor protein p53/metabolism')
33469287	('cell proliferation', 'SLC7A11', 'tumor suppressor protein p53/metabolism')
35968603	('cell proliferation', 'SLC7A11', 'tumor suppressor protein p53/metabolism')
26646452	('cell proliferation', 'SLC7A11', 'tumor suppressor protein p53/metabolism')
32801360	('cell proliferation', 'SLC7A11', 'tumor suppressor protein p53/metabolism')
32776119	('cell proliferation', 'SLC7A11', 'tumor suppressor protein p53/metabolism')
34964421	('cell survival/drug effects', 'raw 264.7 cells', 'tumor-associated macrophages/drug effects')
32559360	('cell survival/drug effects', 'raw 264.7 cells', 'tumor-associated macrophages/drug effects')
19180118	('apoptosis regulatory proteins/metabolism', 'cd8-positive t-lymphocytes/drug effects', 'jurkat cells')
17891455	('apoptosis regulatory proteins/metabolism', 'cd8-positive t-lymphocytes/drug effects', 'jurkat cells')
18034189	('apoptosis regulatory proteins/metabolism', 'cd8-positive t-lymphocytes/drug effects', 'jurkat cells')
22159898	('apoptosis regulatory proteins/metabolism', 'cd8-positive t-lymphocytes/drug effects', 'jurkat cells')
16951739	('apoptosis regulatory proteins/metabolism', 'cd8-positive t-lymphocytes/drug effects', 'jurkat cells')
34686340	('drug resistance neoplasm', 'lymphocytes tumor-infiltrating/drug effects', 'tumor-associated macrophages/drug effects')
28775962	('bacterial toxins/metabolism', 'cells cultured', 'host-pathogen interactions')
33022384	('bacterial toxins/metabolism', 'cells cultured', 'host-pathogen interactions')
19965467	('bacterial toxins/metabolism', 'cells cultured', 'host-pathogen interactions')
28438125	('bacterial toxins/metabolism', 'cells cultured', 'host-pathogen interactions')
26299277	('bacterial toxins/metabolism', 'cells cultured', 'host-pathogen interactions')
32735984	('bacterial toxins/metabolism', 'cells cultured', 'host-pathogen interactions')
31844879	('bacterial toxins/metabolism', 'cells cultured', 'host-pathogen interactions')
31099073	('bacterial toxins/metabolism', 'cells cultured', 'host-pathogen interactions')
25674816	('bacterial toxins/metabolism', 'cells cultured', 'host-pathogen interactions')
23302685	('bacterial toxins/metabolism', 'cells cultured', 'host-pathogen interactions')
35130333	('bacterial toxins/metabolism', 'cells cultured', 'host-pathogen interactions')
30977272	('bacterial toxins/metabolism', 'cells cultured', 'host-pathogen interactions')
31009148	('bacterial toxins/metabolism', 'cells cultured', 'host-pathogen interactions')
23684309	('bacterial toxins/metabolism', 'cells cultured', 'host-pathogen interactions')
24167293	('bacterial toxins/metabolism', 'cells cultured', 'host-pathogen interactions')
25837248	('bacterial toxins/metabolism', 'cells cultured', 'host-pathogen interactions')
32470006	('bacterial toxins/metabolism', 'cells cultured', 'host-pathogen interactions')
25183734	('bacterial toxins/metabolism', 'cells cultured', 'host-pathogen interactions')
22837490	('bacterial toxins/metabolism', 'cells cultured', 'host-pathogen interactions')
34126152	('bacterial toxins/metabolism', 'cells cultured', 'host-pathogen interactions')
25910247	('bacterial toxins/metabolism', 'cells cultured', 'host-pathogen interactions')
24928996	('bacterial toxins/metabolism', 'cells cultured', 'host-pathogen interactions')
25358860	('bacterial toxins/metabolism', 'cells cultured', 'host-pathogen interactions')
22317749	('bacterial toxins/metabolism', 'cells cultured', 'host-pathogen interactions')
33970534	('bacterial toxins/metabolism', 'cells cultured', 'host-pathogen interactions')
27001539	('bacterial toxins/metabolism', 'cells cultured', 'host-pathogen interactions')
27955998	('bacterial toxins/metabolism', 'cells cultured', 'host-pathogen interactions')
26934588	('bacterial toxins/metabolism', 'cells cultured', 'host-pathogen interactions')
26352738	('bacterial toxins/metabolism', 'cells cultured', 'host-pathogen interactions')
25829141	('bacterial toxins/metabolism', 'cells cultured', 'host-pathogen interactions')
25371213	('bacterial toxins/metabolism', 'cells cultured', 'host-pathogen interactions')
22981600	('bacterial toxins/metabolism', 'cells cultured', 'host-pathogen interactions')
31937566	('bacterial toxins/metabolism', 'cells cultured', 'host-pathogen interactions')
28512145	('bacterial toxins/metabolism', 'cells cultured', 'host-pathogen interactions')
28074026	('bacterial toxins/metabolism', 'cells cultured', 'host-pathogen interactions')
23184526	('bacterial toxins/metabolism', 'cells cultured', 'host-pathogen interactions')
23504825	('bacterial toxins/metabolism', 'cells cultured', 'host-pathogen interactions')
29746831	('bacterial toxins/metabolism', 'cells cultured', 'host-pathogen interactions')
19169824	('bacterial toxins/metabolism', 'cells cultured', 'host-pathogen interactions')
32817457	('bacterial toxins/metabolism', 'cells cultured', 'host-pathogen interactions')
26676578	('bacterial toxins/metabolism', 'cells cultured', 'host-pathogen interactions')
28630064	('bacterial toxins/metabolism', 'cells cultured', 'host-pathogen interactions')
33918753	('bacterial toxins/metabolism', 'cells cultured', 'host-pathogen interactions')
23357873	('bacterial toxins/metabolism', 'cells cultured', 'host-pathogen interactions')
26689559	('bacterial toxins/metabolism', 'cells cultured', 'host-pathogen interactions')
29328525	('bacterial toxins/metabolism', 'cells cultured', 'host-pathogen interactions')
18005241	('bacterial toxins/metabolism', 'cells cultured', 'host-pathogen interactions')
25633080	('bacterial toxins/metabolism', 'cells cultured', 'host-pathogen interactions')
19438515	('bacterial toxins/metabolism', 'cells cultured', 'host-pathogen interactions')
20375548	('bacterial toxins/metabolism', 'cells cultured', 'host-pathogen interactions')
20430892	('bacterial toxins/metabolism', 'cells cultured', 'host-pathogen interactions')
22943291	('bacterial toxins/metabolism', 'cells cultured', 'host-pathogen interactions')
19497950	('bacterial toxins/metabolism', 'cells cultured', 'host-pathogen interactions')
28720485	('bacterial toxins/metabolism', 'cells cultured', 'host-pathogen interactions')
33563838	('bacterial toxins/metabolism', 'cells cultured', 'host-pathogen interactions')
21750675	('bacterial toxins/metabolism', 'cells cultured', 'host-pathogen interactions')
28675605	('bacterial toxins/metabolism', 'cells cultured', 'host-pathogen interactions')
29679741	('bacterial toxins/metabolism', 'cells cultured', 'host-pathogen interactions')
29921669	('bacterial toxins/metabolism', 'cells cultured', 'host-pathogen interactions')
28396321	('bacterial toxins/metabolism', 'cells cultured', 'host-pathogen interactions')
24286610	('bacterial toxins/metabolism', 'cells cultured', 'host-pathogen interactions')
34552584	('bacterial toxins/metabolism', 'cells cultured', 'host-pathogen interactions')
19617532	('bacterial toxins/metabolism', 'cells cultured', 'host-pathogen interactions')
26928903	('bacterial toxins/metabolism', 'cells cultured', 'host-pathogen interactions')
28531220	('bacterial toxins/metabolism', 'cells cultured', 'host-pathogen interactions')
27997721	('bacterial toxins/metabolism', 'cells cultured', 'host-pathogen interactions')
