x
ARL17A; ARL17B
BOLA2; BOLA2B
BPY2; BPY2B; BPY2C
C4B; C4B_2
CCL3L1; CCL3L3
CCL4L1; CCL4L2
CDY1; CDY1B
CDY2A; CDY2B
CGB3; CGB5; CGB8
CKMT1A; CKMT1B
CSAG2; CSAG3
CT47A1; CT47A2; CT47A3; CT47A4; CT47A5; CT47A6; CT47A7; CT47A8; CT47A9; CT47A10; CT47A11; CT47A12
CTAG1A; CTAG1B
CXorf49; CXorf49B
Cyp3a41a; Cyp3a41b
DEFA1; DEFA1B
Defa6; Defa12
DEFB103A; DEFB103B
DEFB104A; DEFB104B
DEFB105A; DEFB105B
DEFB106A; DEFB106B
DEFB107A; DEFB107B
DEFB108A; DEFB108C
DEFB4A; DEFB4B
DMRTC1; DMRTC1B
Dppa5b; Dppa5c
F8A1; F8A2; F8A3
FAM156A; FAM156B
FAM27B; FAM27C
FAM74A4; FAM74A6
FAM90A16P; FAM90A17P
FAM90A18P; FAM90A19P
GAGE12B; GAGE12C; GAGE12D; GAGE12E
GAGE2B; GAGE2C
GAGE2D; GAGE8
GOLGA8F; GOLGA8G
GTF2H2C; GTF2H2C_2
H2AB2; H2AB3
H2AC11; H2AC13; H2AC15; H2AC16; H2AC17
H2AC18; H2AC19
H2AC4; H2AC8
H2al1a; H2al1c; H2al1d; H2al1f; H2al1g; H2al1h; H2al1i
H2BC4; H2BC6; H2BC7; H2BC8; H2BC10
H2bc4; H2bc6; H2bc8
H2bc7; H2bc11; H2bc13; H2bc15
H3-3a; H3-3b
H3-3A; H3-3B
H3C1; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8; H3C10; H3C11; H3C12
H3c1; H3c8; H3c10; H3c11
H3C15; H3C14; H3C13
H3c2; H3c3; H3c4; H3c6; H3c7; H3c13; H3c14; H3c15
H4C1; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9; H4C11; H4C12; H4C13; H4C14; H4C15; H4-16
H4c1; H4c2; H4c3; H4c4; H4c6; H4c8; H4c9; H4c11; H4c12; Hist1h4m; H4c14; H4f16
HBA1; HBA2
Hist2h2aa1; Hist2h2aa2
HSFX1; HSFX2
HSFY1; HSFY2
IFNA1; IFNA13
LGALS7; LGALS7B
MAGEA2; MAGEA2B
MAGEA9; MAGEA9B
MAGED4; MAGED4B
NXF2; NXF2B
OR2A1; OR2A42
OR4F3; OR4F16; OR4F29
PABPC1L2A; PABPC1L2B
PLGLB1; PLGLB2
PRH1; PRH2
PRY; PRY2; PRYP3; PRYP4
RBMY1F; RBMY1J
RGPD5; RGPD6
RPL9; RPL9P7; RPL9P8; RPL9P9
SERF1A; SERF1B
SLX1A; SLX1B
SMN1; SMN2
SPACA5; SPACA5B
SPANXA1; SPANXA2
SSX2; SSX2B
SSX4; SSX4B
TEX28; TEX28P1; TEX28P2
TP53TG3; TP53TG3B; TP53TG3C; TP53TG3D; TP53TG3E; TP53TG3F
TRIM49D1; TRIM49D2
Tuba3a; Tuba3b
USP17L24; USP17L25; USP17L26; USP17L27; USP17L28; USP17L29; USP17L30
VCY; VCY1B
XAGE1A; XAGE1B
