human_genes	mouse_genes
MT-ND1	mt-Nd1
MT-ND2	mt-Nd2
MT-CO1	mt-Co1
MT-CO2	mt-Co2
MT-ATP8	mt-Atp8
MT-ATP6	mt-Atp6
MT-CO3	mt-Co3
MT-ND3	mt-Nd3
MT-ND4L	mt-Nd4l
MT-ND4	mt-Nd4
MT-ND5	mt-Nd5
MT-ND6	mt-Nd6
MT-CYB	mt-Cytb
PRAMEF15	Gm16367
PRAMEF2	Gm16367
PRAMEF9	Gm16367
PRAMEF26	Gm16367
PRAMEF17	Gm16367
PRAMEF19	Gm16367
PRAMEF6	Gm16367
PRAMEF20	Gm16367
PRAMEF18	Gm16367
PRAMEF10	Gm16367
PRAMEF8	Gm16367
PRAMEF1	Gm16367
PRAMEF12	Gm16367
PRAMEF25	Gm16367
PRAMEF14	Gm16367
PRAMEF4	Gm16367
PRAMEF11	Gm16367
PRAMEF7	Gm16367
PRAMEF13	Gm16367
PRAMEF5	Gm16367
PRAMEF33	Gm16367
PRAMEF27	Gm16367
SYCP3	Gm20817
SYCP3	Gm28490
SYCP3	Gm21094
SYCP3	Gm20838
SYCP3	Gm20888
SYCP3	Gm20869
SYCP3	Gm20870
SYCP3	Gm20855
SYCP3	Gm20843
SYCP3	Gm20896
SYCP3	Gm20903
SYCP3	Gm20835
SYCP3	Gm29110
SYCP3	Gm20905
SYCP3	Gm20814
SYCP3	Gm20850
SYCP3	Gm20897
SYCP3	Gm21173
SYCP3	Gm21865
SYCP3	Gm21650
SYCP3	Gm29564
SYCP3	Gm29276
SYCP3	Gm20916
SYCP3	Gm21760
SYCP3	Gm21739
SYCP3	Gm28897
SYCP3	Gm20911
SYCP3	Gm21317
SYCP3	Gm28827
SYCP3	Gm21256
SYCP3	Gm20792
SYCP3	Gm21095
SYCP3	Gm28553
SYCP3	Gm21409
SYCP3	Gm21209
SYCP3	Gm28870
SYCP3	Gm20820
SYCP3	Gm20883
SYCP3	Gm21117
SYCP3	Gm21477
SYCP3	Gm20906
SYCP3	Gm20920
SYCP3	Gm28102
SYCP3	Gm21294
SYCP3	Gm21258
SYCP3	Gm21996
SYCP3	Gm20837
SYCP3	Gm20929
SYCP3	Gm20931
SYCP3	Gm21858
SYCP3	Sly
SYCP3	Gm28961
SYCP3	Gm21861
SYCP3	Gm28891
SYCP3	1700040F15Rik
SYCP3	Gm21497
SYCP3	Gm21518
SYCP3	Gm21627
SYCP3	Gm20908
SYCP3	Gm20736
SYCP3	Gm20937
SYCP3	Gm31571
SYCP3	Gm21366
SYCP3	Gm20890
SYCP3	Gm21488
SYCP3	Gm20894
SYCP3	Gm29582
RBMY1E	Gm29289
RBMY1J	Gm29289
RBMY1A1	Gm29289
RBMY1F	Gm29289
RBMY1D	Gm29289
RBMY1B	Gm29289
RBMY1E	Gm21677
RBMY1J	Gm21677
RBMY1A1	Gm21677
RBMY1F	Gm21677
RBMY1D	Gm21677
RBMY1B	Gm21677
RBMY1E	Gm21693
RBMY1J	Gm21693
RBMY1A1	Gm21693
RBMY1F	Gm21693
RBMY1D	Gm21693
RBMY1B	Gm21693
RBMY1E	Gm21704
RBMY1J	Gm21704
RBMY1A1	Gm21704
RBMY1F	Gm21704
RBMY1D	Gm21704
RBMY1B	Gm21704
RBMY1E	Gm21708
RBMY1J	Gm21708
RBMY1A1	Gm21708
RBMY1F	Gm21708
RBMY1D	Gm21708
RBMY1B	Gm21708
RBMY1E	Gm3376
RBMY1J	Gm3376
RBMY1A1	Gm3376
RBMY1F	Gm3376
RBMY1D	Gm3376
RBMY1B	Gm3376
SYCP3	Gm28919
SYCP3	Gm28998
SYCP3	Gm28576
SYCP3	Gm20824
SYCP3	Gm28510
SYCP3	Gm29554
SYCP3	Gm30737
SYCP3	Gm35134
SYCP3	Gm29866
ZNF418	Zfy1
ZNF773	Zfy1
ZNF419	Zfy1
ZNF548	Zfy1
ZNF792	Zfy1
ZNF584	Zfy1
ZNF154	Zfy1
ZNF256	Zfy1
ZNF134	Zfy1
ZNF772	Zfy1
ZNF304	Zfy1
ZNF793	Zfy1
ZNF586	Zfy1
ZNF561	Zfy1
ZNF562	Zfy1
ZNF587B	Zfy1
ZNF552	Zfy1
ZNF837	Zfy1
ZNF480	Zfy1
ZNF610	Zfy1
ZNF549	Zfy1
KDM5D	Kdm5d
RNA5S9	n-R5s1
EIF2S3B	Eif2s3y
EIF2S3	Eif2s3y
UTY	Uty
DDX3Y	Ddx3y
USP9Y	Usp9y
RNU6-1136P	Gm25565
ZNF418	Zfy2
ZNF773	Zfy2
ZNF419	Zfy2
ZNF548	Zfy2
ZNF792	Zfy2
ZNF584	Zfy2
ZNF154	Zfy2
ZNF256	Zfy2
ZNF134	Zfy2
ZNF772	Zfy2
ZNF304	Zfy2
ZNF793	Zfy2
ZNF586	Zfy2
ZNF561	Zfy2
ZNF562	Zfy2
ZNF587B	Zfy2
ZNF552	Zfy2
ZNF837	Zfy2
ZNF480	Zfy2
ZNF610	Zfy2
ZNF549	Zfy2
H2AL1RP	H2al2c
SRY	Sry
H2AL1RP	H2al2b
RBMY1E	Gm4064
RBMY1J	Gm4064
RBMY1A1	Gm4064
RBMY1F	Gm4064
RBMY1D	Gm4064
RBMY1B	Gm4064
RBMY1E	Rbmy
RBMY1J	Rbmy
RBMY1A1	Rbmy
RBMY1F	Rbmy
RBMY1D	Rbmy
RBMY1B	Rbmy
RBMY1E	Gm10256
RBMY1J	Gm10256
RBMY1A1	Gm10256
RBMY1F	Gm10256
RBMY1D	Gm10256
RBMY1B	Gm10256
RBMY1E	Gm10352
RBMY1J	Gm10352
RBMY1A1	Gm10352
RBMY1F	Gm10352
RBMY1D	Gm10352
RBMY1B	Gm10352
CHST9	Chst9
RN7SKP244	7SK
CDH2	Cdh2
RN7SKP276	7SK
CEP120	Cep120
SNORD114-14	Gm23787
SNORD114-23	Gm25854
SNORD114-24	Gm22205
SNORD114-24	Gm25224
MIR299	Mir299a
LRATD1	Lratd1
MIR323A	Mir323
VSX2	Vsx2
MIR494	Mir494
MIR381	Mir381
CSNK1G3	Csnk1g3
TRIB2	Trib2
HEATR5A	Heatr5a
ZNF608	Zfp608
RN7SKP289	7SK
RN7SKP29	7SK
GRAMD2B	Gramd3
ABCD4	Abcd4
DTD2	Dtd2
GPR33	Gpr33
VRTN	Vrtn
MIR382	Mir382
MIR134	Mir134
MIR668	Mir668
MIR154	Mir154
MIR496	Mir496a
MIR377	Mir377
