Gene stable ID	Gene stable ID version	Human gene stable ID	Human gene name	Gene name	Gene description
ENSMUSG00000064341	ENSMUSG00000064341.1	ENSG00000198888	MT-ND1	mt-Nd1	mitochondrially encoded NADH dehydrogenase 1 [Source:MGI Symbol;Acc:MGI:101787]
ENSMUSG00000064345	ENSMUSG00000064345.1	ENSG00000198763	MT-ND2	mt-Nd2	mitochondrially encoded NADH dehydrogenase 2 [Source:MGI Symbol;Acc:MGI:102500]
ENSMUSG00000064351	ENSMUSG00000064351.1	ENSG00000198804	MT-CO1	mt-Co1	mitochondrially encoded cytochrome c oxidase I [Source:MGI Symbol;Acc:MGI:102504]
ENSMUSG00000064354	ENSMUSG00000064354.1	ENSG00000198712	MT-CO2	mt-Co2	mitochondrially encoded cytochrome c oxidase II [Source:MGI Symbol;Acc:MGI:102503]
ENSMUSG00000064356	ENSMUSG00000064356.1	ENSG00000228253	MT-ATP8	mt-Atp8	mitochondrially encoded ATP synthase 8 [Source:MGI Symbol;Acc:MGI:99926]
ENSMUSG00000064357	ENSMUSG00000064357.1	ENSG00000198899	MT-ATP6	mt-Atp6	mitochondrially encoded ATP synthase 6 [Source:MGI Symbol;Acc:MGI:99927]
ENSMUSG00000064358	ENSMUSG00000064358.1	ENSG00000198938	MT-CO3	mt-Co3	mitochondrially encoded cytochrome c oxidase III [Source:MGI Symbol;Acc:MGI:102502]
ENSMUSG00000064360	ENSMUSG00000064360.1	ENSG00000198840	MT-ND3	mt-Nd3	mitochondrially encoded NADH dehydrogenase 3 [Source:MGI Symbol;Acc:MGI:102499]
ENSMUSG00000065947	ENSMUSG00000065947.1	ENSG00000212907	MT-ND4L	mt-Nd4l	mitochondrially encoded NADH dehydrogenase 4L [Source:MGI Symbol;Acc:MGI:102497]
ENSMUSG00000064363	ENSMUSG00000064363.1	ENSG00000198886	MT-ND4	mt-Nd4	mitochondrially encoded NADH dehydrogenase 4 [Source:MGI Symbol;Acc:MGI:102498]
ENSMUSG00000064367	ENSMUSG00000064367.1	ENSG00000198786	MT-ND5	mt-Nd5	mitochondrially encoded NADH dehydrogenase 5 [Source:MGI Symbol;Acc:MGI:102496]
ENSMUSG00000064368	ENSMUSG00000064368.1	ENSG00000198695	MT-ND6	mt-Nd6	mitochondrially encoded NADH dehydrogenase 6 [Source:MGI Symbol;Acc:MGI:102495]
